cid,label,ipfs_io_ok,dweb_link_ok,ipfs_feralfile_com_ok
bafybeieevi7otn2qlkiojtbx2hdpeeaqv24n4nmoi7hispvvspbb2ppyfy,bitmark-era-series: Scrampled,ok 200 text/html 1.5s,ok 200 text/html 1.6s,ok 200 text/html 1.3s
bafybeieri6cmzieyadfmuc7a6rf5fqe6skn6dwa2khro4euucj7ikk3r7u,bitmark-era-series: Kubo Final,ok 200 text/html 1.2s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeiduauytlixl3xerjqnbaq73d2npiim2bkeflpavrnmdx66guov5ua,bitmark-era-series: 36 Points #18,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeigm72alzwctmru2xzbuv4is2wgpvsxmqjrhcrenlug3j6ggnmyr5i,bitmark-era-series: Strange Fruit,ok 200 text/html 1.4s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeibzbskdaqkph42dwcc4nxj65yoxqw2s66kvptmjq6thvto7tndsiu,bitmark-era-series: Entity,ok 200 text/html 0.9s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeifxsa334seer4g6tjrdi5nrasbxpvaf4liamhf257v5jlrpvp6lci,bitmark-era-series: Free Fall Study III,ok 200 text/html 3.2s,ok 200 text/html 2.1s,ok 200 text/html 0.9s
bafybeicdzq262k5kbjp4nta2de6ranlt44hv2glv5ldfphykqqg2bb67yy,bitmark-era-series: dada data,ok 200 text/html 2.9s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeidgyes76zhactav3bkm6epsorq3gq6ccjwrki2rktrgowpicdf22u,bitmark-era-series: One Million Manga Pages,ok 200 text/html 1.2s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeibm3vo3hq5h35hpuga2zrbfi7ety4hmz5w6zo7qfhxaixwma55hgi,bitmark-era-series: The Interfered Microscopy Plot,ok 200 text/html 1.2s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeidyzd54zbfcgzjolduf23yo5mjg353e744bd3nc3a7piy3ifrlbde,bitmark-era-series: 36 Points #17,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
