series_id,artworks_bytes,artworks_objects,previews_bytes,previews_objects
00f8e853-e20e-49bb-9f2f-8190507b8066,364642560,8,265438,10
03c9301f-e338-4419-8830-3e790fdc936b,390324751,5,38057343,22
05c97416-7379-4d26-a61d-61277b939d3f,367691203,14,167897,22
063ccfde-866d-4dbd-95ed-5213336cfbca,208397825,7,228914529,3
0698273e-13fc-43e9-910e-0f6d81827a01,2762657422,6,95177330,1
06dccbad-8fee-4c3c-934a-7eb45bd0b9d1,544588047,5,45648933,1
07c766f0-edc4-45fd-be50-83f89228b08c,365012705,8,462248,5
094b8bd3-a89b-4127-937f-faef6c6eee96,535393486,5,4340411,1
0c3fa80b-712a-4688-b01a-fb904c658b76,17068057458,11,4319753518,2
0f7a9421-44df-4d9c-a0d0-f850e4fdd43f,367706035,15,207847,28
102f320e-2315-49a5-b0d9-bb96da1bf820,367696862,14,167987,22
11b4449b-e435-4737-bd14-81cd3366ac89,6604492,6,369343,10
1703b594-d76d-49a5-a6c8-ce04f85550ed,670492939,5,42507731,1
17b11372-d1b1-405a-8b54-13b3e1a0738e,6431126,5,195505,5
18125d2a-d424-496f-9949-9c3e625f114e,5088868440,80,250794,45
193dc737-9fe3-4f98-8714-c484cb4ce3e8,367693122,14,167897,22
19c097b4-c440-44e9-b6a8-eb97f3b4513a,1320297572,5,48761150,1
1b1ffd48-5fc2-4d19-a563-364e00ddfb01,380161418,17,209971835,768
1b205395-6654-4174-b170-45c82866270b,426511386,8,14072503,4
1b6bd73c-b612-4c24-a837-e5afe08616f7,6604952,6,369319,10
1e0b019f-60fa-4ae2-96ab-78796310ce0d,544058907,5,271579199,390
1f060e42-3437-444c-b823-a8b8532c449c,365604596,8,1258618,7
1fdd923d-91f0-4b28-a51a-8d01da7cc562,6429778,5,195515,5
21a5bd39-64d0-490b-b578-6c6ecd317b7a,980608765,7,45708694,22
231fa61b-eb94-40d7-9a5c-0d5c7e94f1ed,157907588,5,44652798,1
23d93636-48be-42be-8b9c-59083b481079,6603981,6,369297,10
252527ee-2232-45e0-9ead-27379ff26219,475586295,8,35786925,998
25a0daeb-ec6d-4bfd-8a24-11c44beb5629,838153813,5,76515394,23
25a3d5d3-43a6-495e-bf18-e0583fa11f72,1517126831,5,153120232,1
26433d62-bb36-46f8-bc8e-ed7214967cc2,370398196,10,4245477,8
28cad12d-50f2-4d82-a77d-1284cf934b8c,364509940,8,71608,2
2998a10b-8ddc-4344-9f3d-710ab5ec9287,580043211,5,290167427,392
29b720ff-fcbf-4467-a53d-e79a90ad0d60,8999284287,5,462912594,1
29cd44b3-2ed9-4d8b-beb5-073d248a1a00,306443778,5,9637869,1
2a57c29f-fa5b-440d-8dee-2d58cdb9238c,808885727,8,384634377,15
2a727b17-7890-4464-913d-3fe5ad2af4ae,365289954,8,694207,2
2d1f1330-d66a-4e9e-afd6-c17e5e55f2c4,395968109,8,6640357,87
2da1ec21-e476-40df-bc45-fb07573bdfe5,367689241,14,167861,22
2dbd7ac7-afe2-43fd-a83c-2156406c158e,367691962,14,167859,22
2e68b1a3-6370-4ad5-af12-153de80637eb,6430577,5,195538,5
2ee448fc-b02a-4f74-a8c0-0e4da84f7ab1,635372012,5,52183679,1
2fb649d0-3ed2-4539-8ea2-e073b85e9a21,417848694,34,579470424,1549
30780351-fa82-47f1-9a2d-7d331f460995,6430941,5,195504,5
3110459a-bcad-4dd9-a43d-a0f1eaddc0f8,427006274,5,212657322,388
31a680b4-c00a-4eac-8729-cba633c91c54,747982252,12,5687385,11
31bc21a0-c834-49a3-866f-d4839cbe14df,263499782,5,7514115,1
31eb3d1f-9bf5-4f87-b1ea-b9a4a98a348b,213430422,5,109592687,1
3224d677-f521-415d-86c0-1f2f9c47abef,4772119396,7,97708963,1
