chain,contract,token_id,exhibition,class,animation_or_artifact,image_or_display
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144715,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=10&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144721,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=16&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144708,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=3&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144743,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=38&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144722,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=17&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144728,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=23&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144740,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=35&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144750,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=45&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144711,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=6&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144741,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=36&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144769,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=64&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144712,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=7&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144771,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=66&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144762,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=57&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144709,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=4&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144706,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=1&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144727,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144729,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=24&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144730,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144778,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=73&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144751,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144747,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=42&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144734,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=29&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144707,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144725,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=20&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144718,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=13&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144764,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=59&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144717,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=12&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144752,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144765,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://cdn.feralfileassets.com/thumbnails/a1b6689f-5236-471a-97a6-70ea0879dd42/1630433095
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144767,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=62&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144745,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=40&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144774,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/18a13d7f-1d08-4a81-1125-ae2f78eb9700/thumbnailLarge
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144720,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=15&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144713,Instructions Follow,cdn,https://cdn.feralfileassets.com/previews/a1b6689f-5236-471a-97a6-70ea0879dd42/1630583755/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/18a13d7f-1d08-4a81-1125-ae2f78eb9700/thumbnailLarge
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144737,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=32&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144744,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=39&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
eth,0x1d5bdC75918600541C115b74b81a404C9E4AF7D4,29675870761587803123850255772014231519473951568011717151584536753918684144766,Instructions Follow,all-ipfs,https://ipfs.feralfile.com/ipfs/QmQW2wFuM8VAeYZ1vbnHKfPq893MmKgcGmZKbuPjQhMnnh?edition_number=61&blockchain=bitmark,https://ipfs.feralfile.com/ipfs/QmcTXXsqT6aVb1Gn8X7aV5iRsLsWZ6Z1u7ACQkuZ6ZzwDE?
