cid,present_locally,pinned,note
QmNPkvjHutaJxxKUH6AGhfKPc6GcQWCCy7prruFbWtHfSR,yes,yes,
QmNS56YmVLUdR6G7UGtVZ3RAmwpg5z2UizXdNnh4bRmizh,yes,yes,
QmNXGnXFeAt2MmDDaNrLyiFRZLHStS4Bn2pP7LfjapYa9s,yes,yes,already pinned
QmNYjien2j8VLMgQWfDDXfTcXvct5jyGpZ63T6AbJPisui,yes,yes,already pinned
QmNbp2e8Yc35gogQM2mYL6yfyrbCY8XfqRmdXNjxywRZV9,yes,yes,
QmNdw8xS7Pczctt5oZh3gQCEHo7R6NBBtzg5raqWxVnxDg,yes,yes,
QmNdyGYcqyFipf6EGZDKiWKfFe2EELzsXBYRYWkTRDWxxa,yes,yes,
QmNg4oRauNNE63eUjmEzDRwqNv9v9apFpKST5RCw9L7ios,yes,yes,already pinned
QmNguuNpD7xbxq8dw8hJ4UXxXqNeaC7ek884CNY8awgQpW,yes,yes,
QmNhwoTP3dDwsJ8pC6zXBXkdPMPcwtKCKT1N9UfKwTWz4k,yes,yes,
QmNsi7wuJCkhGHTuX2FGh9V5j7KUAoqt9ziePYBc5t7R4G,yes,yes,
QmPGASiyyD2U1U3WbKj23gdKGAmzK1hiTAPTCBQC1NXrzo,yes,yes,
QmPLQxeoawB28VLQku9wJsi2yPb5MEKBB2xEu8YPhYK1jT,yes,yes,
QmPPGzFBgsrhJf3Zzg14sRULZwk6nEX1LynyBBeXYkp9BY,yes,yes,
QmPUrzaEv2wdx5AVMkZavztRdCfWrt92QSSi7JxSNFihfg,yes,yes,
QmPVJ4doAGvwP5dw91XQvMorDo3sLFqXvmKJh2c57wEyjm,yes,yes,
QmPW5mdcvvV5zUYJYtCqHPTqht6P3FBTnBVeoYPvA4ErkY,yes,yes,
QmPY6SBMZZ8C7iH8nZMxGwrHe2fQ3WGGo6dVJTAiPTZiGQ,yes,yes,
QmPaDUtmFUsmJHPqe4RxTabpMDZooXJhNsGSPxUQKEEgm5,yes,yes,
QmPcgDHx369wdPY3NBNtupWuvVcyKBShcWBZZdCiYLfciL,yes,yes,
QmPdf5mBTff32MBHYDjthymdFbB2b6oZvDXXugwP64m7cf,yes,yes,
QmPeBV2mAzAD2u3RVqfCE167YHk5W7h4K1arD1A3oCXGWN,yes,yes,
QmPnu7xZQxDPJkKSjyww4DU5M1hYnQooiq1FNUDLHE7TgT,yes,yes,already pinned
QmPrZteC886sQK1pUs4cqW8iit7vAvc7djfxB99XMTRCyE,yes,yes,
QmQFzJthsTEPWo2JjKfsbrQtdWtXA8yLcvr7fdLimCXiF9,yes,yes,already pinned
QmQHFYDp3xSfQJddWW6xLvcALKVdBfqDeKwSHbf6xxBcEJ,yes,yes,
QmQLSjvHRyC4KLT3Lh9NtNQ4on9NZrubhH7ZGYHrzu2eiE,yes,yes,
QmQLt91vJ8G2sjEgXDZksp25KGz4wmDEYjittb23XswKue,yes,yes,
QmQR8kDCtNCVAURmqmS4BpVz4guZSrc5YWgvuRX3Ap8XvM,yes,yes,
QmQZHpp8WSZ2B78rMFwjLLqn1gNhJpzFXMEzeD2iDHfVui,yes,yes,
QmQfGh4jf4Z6U54JumNBD98PbqrB12ej4cq83fcNhCiEvJ,yes,yes,already pinned
QmQjhdnigT5enK5bFgw6NpspftYgU4k3sh4mapQEKEmyt6,yes,yes,
QmQriaumxeJYrV6KobchgJjHxniPsTFEnit6Vh7bnJqYXR,yes,yes,already pinned
QmQvCBRnKoAC27rdqkxThapGgjGvMcaEvShbUMGhYCgjTs,yes,yes,
QmR8iExaHYfa4sNtvoxEwPkS5tb96SpBhsteyXkVNLWCj8,yes,yes,already pinned
QmRBFpQicuGZTcNTQpCfL6LgJ7o8y7uNZK7y3TCMJAG42F,yes,yes,already pinned
QmRPw8SwGNYMgN6J7WBX9iZzzNJzyKGWLoD5im6xAYeiw2,yes,yes,
QmRZAnbmYC3AESALn735JyZBbNqoRPxoWQJLJwFUBUN9pD,yes,yes,
QmRdpVpxhNfCjV2gewmm28Tq1YnTgFj7ksRyLKJ6ZHPARP,yes,yes,
QmRgNzWLpuyULdFFQzwFUw6PwV1K5XgddfFsWq39TZsWQm,yes,yes,already pinned
QmS7AgrQf16QxRZM9W1RwwyzFgUxwciTThtciZcFyLU33A,yes,yes,already pinned
QmSDxjdBG8NCFAKZve1ucpMFxsjJoebJe4UA8QXiLGrJfk,yes,yes,already pinned
QmSE3zQTCpz8sAQVYkEX2s2EaEqJJPj8A3G7CGPtsBd4W9,yes,yes,
QmSMJbu9HgMDxQvFBCYzWZhUhcM9RUVj5s1Wj9zAgKFN6q,yes,yes,already pinned
QmSQvVNYewqMSgawWxMMUcJ4jNL6CXiPdhFUg3HHLzU2AT,yes,yes,already pinned
QmSZD8Vay1tifC9kTHSQEssMqj8nLS16yBR9ZgkeGWZEa9,yes,yes,
QmSqHjDKrcRhbfsYQ9H9PwKFzb73FGdkG9qu14DZJi9baf,yes,yes,
QmSxaUSJvzQkFyMqvUiXncg3p6DJis6rTYyGeJDuszPnab,yes,yes,
QmSyA2mH8515ciRoQvZ7ioHVtuwmexcpJQixLAc6Yy3u99,yes,yes,
QmT1SxHnNDRDGR5JXj4LbnWjico8h692ugG6oZ59Y7CRXz,yes,yes,
QmT1kTS9gthiScH4MBDgr5QR15dfg1r1W6MHKeHzsMqfsd,yes,yes,
QmT6rgr5CyBDQTfyzh4BjRnKsBNLdvdcThJUYyG8GbMNcg,yes,yes,already pinned
QmT9xVUonvvSzSUpc7evkXobDxvW9YLeRc8Der1i1ywtvr,yes,yes,
QmTD6S72GxynxugGY6h2GRUQ85HXfQBD6TXAFNB3uuzYPD,yes,yes,
QmTKfCedJtFPjxMTAwJm4i6tz4icTtc6mQqMipKJFfshjt,yes,yes,
