cid,present_locally,pinned,note
QmNLf18VnfUVz3SDtDuiiXGiuQmDXoHHKbNyjVrPUr6fUD,yes,yes,
QmNLffr8uKo7esAyMozapbCEj5tc5icRTjvb5wFihzdQg7,yes,yes,
QmNLh7Hb6y8s5UYctc74GWU3DqrSweH1KeDfVirsYwJds4,yes,yes,
QmNLhFvCDJEnXyLrhPeKRHfRsgFy6sg552ReAieGFp3N87,yes,yes,
QmNLhRqz6GWXy3UjxJB2jo2695CRRQbnMkYzb5wArFUq76,yes,yes,
QmNLiHSG5JTaef4LYv4pRSqWDKrgmEbZAjdfDA8qELYYMh,yes,yes,
QmNLkF9dGgXPe1n4bVSvCXCRSYVofRzMRPCaoy3Y2W9cHE,yes,yes,
QmNLkGMmwv4seUkFcfDKhVL9DKn2BzE1pm42MgVfoz7riL,yes,yes,
QmNLkQCXELfd73bpuGJpobiC89Jc7uppYSLYrKXwLPkmmY,yes,yes,
QmNLkVehpxZp48LejVptptdKJwke3TiBMD674tX1jn9wbL,yes,yes,
QmNLm8x3oLYswZ47UC415muVyGMLAvgAFf9wsqaL98hHe2,yes,yes,
QmNLmJv51gB9MW81y3B85TcPVcGtRiZMuQzoQ8eTwPEHVq,yes,yes,
QmNLncWXMh8xAUpo3E51yGoJfZr4Fxee82hTx4Dp5W3wLz,yes,yes,
QmNLoinDaUbWoVXi4XDHgYU7vSm1kzCGiBUua7jRsNqThD,yes,yes,
QmNLpPrq3V2zvH25pf6a1GJcgXcY727eayBWEyHo4F7RYX,yes,yes,
QmNLqViqwTGZuJ29U47nJjWuVGb9uu1Z2k4pbiV3ANYhti,yes,yes,
QmNLqYhEEv7Awprca1i1crK45f3tuMVqomB316hLhQyuYR,yes,yes,
QmNLqcbJHLj11h7SpvT6NPujtt8o8nToX5T7sxoKvwmu1F,yes,yes,
QmNLqvWsyiAjz6jutXXLBHdS7eTehXEGrcGCMPPBVZPzT8,yes,yes,
QmNLrEErcqjpkwHgsnUv66mzt8nMNRgGEQQAr16CF2a4XU,yes,yes,
QmNLrvFwx6hZKcGNJQhak5c9PNLAkL2KowX9cHbn7cA22Z,yes,yes,
QmNLu1ZMjj6JBg8GTfxG4EzZcnKtgzFypUWQocoCSUEu7E,yes,yes,
QmNLu6pu1mgDDWTR9JUfvZMejbQmVopJ9EYBwtwQWmYdHH,yes,yes,
QmNLvTFmn8yoyGg4cvvaVzHh3yPBSnL4yZBFj4qAbhoNqt,yes,yes,
QmNLveDSCdoMT62vXoSrbvHspq2X4ZH71MvhZtDxBgLkji,yes,yes,
QmNLw1u4gDF8kMhU8pzv9WiwUNiviazH9nhGUWscMt7LPU,yes,yes,
QmNLwNGDXYmLTyAw2SKejm32XgShW1SFnQN7E71D1tGVhC,yes,yes,
QmNLwTZtjjqJAm5zwsAsPMb8WzX5zTjsmJ8PN3Cuc4ypq9,yes,yes,
QmNLxPVCaXWUreWxK2sdRbAFDxSQNoGPdVSMqK27VyG1XX,yes,yes,
QmNLxZYNqcbdDyCSYnnseiEUiAxFPJggE7yP8BMbJL3qJm,yes,yes,
QmNLyVrSAncNTkjmi1XnCDNEESQ56pKmMCcV2sySRQA8fL,yes,yes,
QmNLzFzo3mNVXpgaPSz1ZRj6P9sV4dMTjYgQWKauxyNR7Q,yes,yes,
QmNM2Xpb7tAA5BVd1sXm9ZdzPMyUKNJqEeLiRdmSYrDguB,yes,yes,
QmNM364HAozYo4ZrrB1v8tF2vNfCfq8dJTNFSCapbfC5xT,yes,yes,
QmNM4TxuVzs8VQTwzfmx3pbVfXmUmU7esWwRteCGFjDyx7,yes,yes,
QmNM4qRmu9aSmHNonwBgNoKS77Bgp4qWLQqN8tRinSgtYv,yes,yes,
QmNM69XEx2hwLMQF1mnWn4aaYUZQbR8QUsgiRXszEPTSt9,yes,yes,
QmNM6HSXneawsx7k53SiaRY5RH1x3ysB87mkpcAJLZ4boj,yes,yes,
QmNM8TvUk9i69Tyhawb6d3o3ekjCTYLyXkSaHgrikPEJEA,yes,yes,
QmNMAakSFJAtNHp6EVqukhxaigS5u9wVSFeKPRmsjCUyYC,yes,yes,
QmNMAnMet1ESqkp9VVHx2DHQNfxJQR31jGyGEv9dXN1UUA,yes,yes,
QmNMB4cmQeoaMFiwFFuhTLzGsVpG14qMRrLVhAWbqQHgZ5,yes,yes,
QmNMCG6qyyagdXKRhG2SUhBnn9M5qivJ38ApsdQFDkwsEY,yes,yes,
QmNMD67Ltc6B4qAvxTkEVtyZZrjtAvYq8BcXm3DMzCuey3,yes,yes,
QmNMDfDcm3dtxnvQMUf6taHFTLbnfvgATV4kaJtEwmEBGb,yes,yes,
QmNMDhrwyCKyzoGh7KvxVKqnwAmATc1fKdLSsAKn38XV7W,yes,yes,
QmNMDsgkcgmi1bqXV6BMNEqCdvSSLmkDKyNDVg51pqkXTn,yes,yes,
QmNMDyybvM9Ear3Y4uA8ySY7S7GbKHa62eUPx2NVVhUjRg,yes,yes,
QmNMEvQFMaqJmYi3rzGz5dHkmGCzJCg1Rt76g4Dsh8WpiZ,yes,yes,
QmNMFrpeu9toTaGgyw5AcnqjEMJUeN6nNjHiGXznD17Ns8,yes,yes,
QmNMFzx8RauahnBBQXRVvB8RbuQFgBiZaQjHLQhbY9tRME,yes,yes,
QmNMJ744mhRyFihpnqF2nXuRjh3SmKcTh5tZ1sLy6V77gY,yes,yes,
QmNMJKDxxBWwBJNc7wfKwpGUSJwDzEPVL7yK6N2bpFEgmQ,yes,yes,
QmNMLeE1tV9AcqfNarLYVcvwGWcH1pj5YfRk2Ms1YrfX8i,yes,yes,
QmNMM2iyKx74pxsmXJTbVRgQ9TXDZW8uFEVicQH2jNsC75,yes,yes,
QmNMMCHmtgwSoukFaPk1A9bjxoQzh5XGcFSAZbEMT6Mg6s,yes,yes,
QmNMMrhXS5f8niJn1A6WU8g2BZ99Mhrrzovjq2xik9qqk7,yes,yes,
QmNMN9vouy4kvqt9yUUJs6VNjGWcCL4bcQMntXMj7XJxQN,yes,yes,
QmNMNnHpQN7eD9LYddFi3fTtW6ttMSsCnKv1nQDKJQBPiS,yes,yes,
QmNMNtiFZMrDsWhJYx3FJ68DQz8RdC8nnBHsVhRoiCm8m7,yes,yes,
QmNMQ2nWYUnm9CkNqUL2FRkb5rk1d7AkL733JxKRnRt9GH,yes,yes,
QmNMQcJJBnuiCgwdtoNDM672jjARB2fm1ss86R6gEn9gE3,yes,yes,
QmNMS5gqSq61YSo2MwamC6EL9NuBDc8mHGMyxShKLDQTfb,yes,yes,
QmNMSeqwA45Dkk3gKxptNgMowj4VDRn8sDxku8LYduvdkr,yes,yes,
QmNMU5dKbz4k8qKqtySAtE9yMh6uruRC484E36J5fEU7NQ,yes,yes,
QmNMU86i4Ttts1gDX5SUGiu5KTnd18LwaZ5zBhDAirhsdw,yes,yes,
QmNMUH9bwZaffs1cNrKEL78Sfv8uZPGNQK86ugtLDBVqTg,yes,yes,
QmNMUmVtbAhfK1D8Er8Z1garFCmkEYMCYgGQkj8UqhxrfP,yes,yes,
QmNMUpqZPBioSmvvaR1X46fGj3oSGJoKFWyZz2yYxoFyKG,yes,yes,
QmNMUqLmy18D484ej5wrhxiuFGjjQSBByamQsLzTjFZWz9,yes,yes,
QmNMVAtuBNhqHSFT3UsXPXwsh7XkenmqnMvqvXhnvuGp6b,yes,yes,
QmNMWGVCR1pZP1cfwDByHQp9YwSbiQH8hpuYe97yk2hk4A,yes,yes,
QmNMX1X62pKXJwy7bqVobuRURuy2scYRUEFLEafBH7L4fy,yes,yes,
QmNMY5yncCEyY1Fz5xbZNyyfVZhacZJa36WfAQe9Msoddf,yes,yes,
QmNMYMuNmeg18kqRKPU5pDfBot7Qse2pheoSZhcQ82GD2F,yes,yes,
QmNMYguyXGVmCYq2KaaEBbHFTA1HZsFPU23FtAcmc89imn,yes,yes,
QmNMZeGiberXKRLETK2kk2xmtpVfFQwDSoHMcK855YmGFv,yes,yes,
QmNMZfbEcCaA5RC6v7UP3M2YEqooCJKrYpzAWJCuHZNmSA,yes,yes,
QmNMZwMbQEuDYmWwb3nX7okKPL8KYeBYSDzjYcqCgetSzR,yes,yes,
QmNMaYkLjhpCyPZ4wSQgdmG6z5Uip5eUh1T3kJA6E5sybw,yes,yes,
QmNMagWTwJCcuBDg3CzgRkT3fPVvMkFUGRLxaBPRYSsj7T,yes,yes,
QmNMb4z4bgXH5m7vcSGCvPoUmawFCTzkrfJo9GucHBy1pD,yes,yes,
QmNMc3woDgmj2q6KTCa71tg8Aovz1t4WmDWbWumMTRodYF,yes,yes,
QmNMeWgXdJ5SeFT3jCyTPgR4Vqg8JBawQL69u7kPc9fGz2,yes,yes,
QmNMeXwtS4PGwWrLbJnpc1yBV4h7rwmo61CesHZtvQRpNX,yes,yes,
QmNMg9TDbgPn3mxuprrLfBJTbbBgdYNT9ogMDYnukf6ZRJ,yes,yes,
QmNMgSYmePo57EDAw5ymSg7Wy2VnLDKYi5mwsnc2pULpfW,yes,yes,
QmNMgpGQf6SbvnAQPPjWhYwkMvzwob44yZBvLemvjJddPz,yes,yes,
QmNMgwgrus62X6EahDHJvF7WiEHGyXrdYuQMNwkY1MxmfG,yes,yes,
QmNMiXhyANGV16tphmxFw3rjMQcUvM7r1pCHPekFmUBhkH,yes,yes,
QmNMmgtU23qM4YWGpvVPGGsTTaVUWAie5GfZhPhaVPcuLW,yes,yes,
QmNMncejJoZiaEmhGBHexsHQNV2avZS1FNEE4amLk2TH2Q,yes,yes,
QmNMoCQPweZUkJM7WaME37BXnHSx2Qfrkz2eUhgwZjzada,yes,yes,
QmNMpDmsAW9bQ56SWr7ybukEo2w4AKZx4NaMJviB7JPTQT,yes,yes,
QmNMpFTqRsGLBhcruGR113GpS5VvJ5KGYgDM3QySinnVvN,yes,yes,
QmNMpLaGBXknJVXyAtRMf5Ck7epenCCqGyKNH4sVbaep4D,yes,yes,
QmNMpqbd4DQHZfRnJdqBa2hfBdF8Gk6mrvwZQ8AMXXZXDW,yes,yes,
QmNMqiKkbLy8y15AMf6YBmVyNJM7ry5r56RWbeZkYQZs5G,yes,yes,
QmNMqivdCZXHCAEJQNDw9FuYMSCdS4zRz2bUyabZt4FcsK,yes,yes,
QmNMr7X5uHN4FjcMD3DeJui7uD51W6vq79tZnuG3ysQWbb,yes,yes,
QmNMretuEaiha21kvYVEV3KQhCjWkgVXQP4wQ1HvaCFGP2,yes,yes,
QmNMrgZUA6XdN8unYSDWJo3UUBiDKxDmJ78TtqQDcZ7hN4,yes,yes,
QmNMrvPwgHgHvBpRDLy5pCfXXChENdFS8zr12JcvRsv2Pm,yes,yes,
QmNMt3PLTJ4ZZN863zpHbthC5ywJYSJbozaUsb6WWJWE7w,yes,yes,
QmNMttG4mC6MVqqxjx46c7YC18y7M7q6qzWdsQCu39WHdC,yes,yes,
QmNMuQbBcisrnAnzp1YrANhSuVT73BM61Vk6QaDNdXVUcZ,yes,yes,
QmNMvENSjSxwTsPkuuv5QTh5SQbtnb8gELW8e7BpRsbA3r,yes,yes,
QmNMvGtxjT29dQ2Dg4qhKv9BL8MVDi3Z5KW11aPZvZdGtt,yes,yes,
