edition,class,token_id,old_metadata_cid,old_animation_url,old_image,dir
1,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689460,QmaDJg7mz6JsaSzEa7UYmY9zyfejF2CgZDTC6jvedXzPBL,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/001
2,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689461,QmWyTWWYNwwhZDjihEhSwvUM8TXE4EU8sceBRiwPyL7JTT,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/002
3,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689462,QmZNWDp8PtdMtVrYwZzKafxCWwL36QnGquJrGNGENxnMXG,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/003
4,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689463,QmesfxVu931a6DakrKWLLM34oAvXU6tCHewpC2coD99nZh,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/004
6,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689465,QmPZQUeWhDNp6ynyWXgDFQSGBjz6pwNhyJGr5eL3q4PKWg,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/006
7,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689466,QmbiPRkfC3GSub6xrnFq3mieb2EzPvYS6vTiMFtKcLfEfz,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/007
8,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689467,QmNRXXGckaVffkHuyfMrsu9Lu5w6oDFc8gxCenjhZuq5hp,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/008
9,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689468,QmapQirBGZbbEbwUzhVB7pWQyzLX2qNCvPNyZQKBd9nfPV,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/009
10,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689469,QmZ4Y6j6QV2jkWRMsqMFTj1ozr7KLfPTqbEqdNztLrSRXM,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/010
12,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689471,QmYcKFu7k4PMbDEeHEaX7XDNfJCaQWUG9iYgKsRLYXvwe2,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/012
14,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689473,Qmem7HqsxasYqbXX1tAzBbykwwU4FMUkCFavD5SrAxzBtf,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://cdn.feralfileassets.com/thumbnails/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1653452315,dirs/014
15,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689474,QmWdfbXMVEdrgrqaRNMuh6F3ce8PpoJWiTgJigu64XJwsZ,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/015
17,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689476,QmanmMWNh15a3FyBjmJ9aomrGTeyovBjyobQnFPFLMUeAR,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/017
19,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689478,QmRjdeRCYeNz3YXBUhKEzCVzDoA7FT6JJ1PnxUHzscch6j,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/019
20,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689479,QmSU7hwSrM8ZNDZo9boDn1WvC4eqoNGgPt87K6LxZ19Cgw,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://cdn.feralfileassets.com/thumbnails/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1653452315,dirs/020
23,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689482,QmW9LNcdwYY4NvDoEbGTXdEYKa6UTzBt1eGCgEraPRzt3n,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/023
25,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689484,QmYYjvEi3TMJ6QA4Aq9X5Z9sKoZ4c9Rav3ZoyCwiJZuwrj,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/025
26,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689485,QmWii6Vdsp3Db5Ds8rwUCqDFyHyxJwY74jWsgLMxuux5gs,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/026
27,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689486,QmeDhVxVCd7iBv4GEpWMQJFkui5scDHfRban2KSdxW35Rd,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/1387fb4f-59a3-4fa6-7adc-fea2528d6400/thumbnailLarge,dirs/027
28,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689487,QmQSQFn4MC3wg6dZ72vFBDWzqg4UfYXtjrfwADG7VvKJGi,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/1387fb4f-59a3-4fa6-7adc-fea2528d6400/thumbnailLarge,dirs/028
30,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689489,QmXG8H5Wo99AtUSjuPfZgCnEhrUJpM5JA5iscJEGR7CRD8,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/030
