edition,token_id,old_metadata_cid,new_metadata_cid
1,97339798142417990651546655250958447204136795354879494670137097919969032689460,QmaDJg7mz6JsaSzEa7UYmY9zyfejF2CgZDTC6jvedXzPBL,QmZmPN3aLfbpykdGNuCJQaMhYhVHrUm5Wkmp1gZpaLUe3b
2,97339798142417990651546655250958447204136795354879494670137097919969032689461,QmWyTWWYNwwhZDjihEhSwvUM8TXE4EU8sceBRiwPyL7JTT,QmVVvcvS1jrucmuANhSbSepKKH6WwMnyVa22P37kU9nvk6
3,97339798142417990651546655250958447204136795354879494670137097919969032689462,QmZNWDp8PtdMtVrYwZzKafxCWwL36QnGquJrGNGENxnMXG,QmQFqQaYAAYfiR8My98ECGeqZzsJvBiH4wkSZXjLPnNUn1
4,97339798142417990651546655250958447204136795354879494670137097919969032689463,QmesfxVu931a6DakrKWLLM34oAvXU6tCHewpC2coD99nZh,QmbMM7nniu29kr6uzfS8sqVx9PnQtyAwcePztkEJDox3QN
6,97339798142417990651546655250958447204136795354879494670137097919969032689465,QmPZQUeWhDNp6ynyWXgDFQSGBjz6pwNhyJGr5eL3q4PKWg,QmaWLbRJckXeTom7psPyQ7cwd5XcWh2TMkYDoaM2FBqBkP
7,97339798142417990651546655250958447204136795354879494670137097919969032689466,QmbiPRkfC3GSub6xrnFq3mieb2EzPvYS6vTiMFtKcLfEfz,QmRmTShw6LokozAPUg5mVMS2seoYJDhr4nbak8Age4LnzY
8,97339798142417990651546655250958447204136795354879494670137097919969032689467,QmNRXXGckaVffkHuyfMrsu9Lu5w6oDFc8gxCenjhZuq5hp,QmPwK792gLQ8Rfq6sRmuD1hbf8zSWFHHWi9AkLYnQ1qobo
9,97339798142417990651546655250958447204136795354879494670137097919969032689468,QmapQirBGZbbEbwUzhVB7pWQyzLX2qNCvPNyZQKBd9nfPV,Qmak38hJ7an4pXf2VYrNSWCLiAEskDQvy9ifHzig12DedX
10,97339798142417990651546655250958447204136795354879494670137097919969032689469,QmZ4Y6j6QV2jkWRMsqMFTj1ozr7KLfPTqbEqdNztLrSRXM,QmTB9V7TYuMsXWp1f9toTU3WrCE3JFrBVQkwxbaymocF7H
12,97339798142417990651546655250958447204136795354879494670137097919969032689471,QmYcKFu7k4PMbDEeHEaX7XDNfJCaQWUG9iYgKsRLYXvwe2,QmPy3BvLsRwwNuVZ6CvG6syQ1kVnGWrVUvHvbkTBM8wi4S
14,97339798142417990651546655250958447204136795354879494670137097919969032689473,Qmem7HqsxasYqbXX1tAzBbykwwU4FMUkCFavD5SrAxzBtf,QmZ4uB77kTWLk1vYEEBNM9EFCvFmEnz8TuyDJpuTxK4w7a
15,97339798142417990651546655250958447204136795354879494670137097919969032689474,QmWdfbXMVEdrgrqaRNMuh6F3ce8PpoJWiTgJigu64XJwsZ,QmSK7qfmJi3ThEue15EiiFSVoxHSD1Lu7hxaiWC3st1Rgs
17,97339798142417990651546655250958447204136795354879494670137097919969032689476,QmanmMWNh15a3FyBjmJ9aomrGTeyovBjyobQnFPFLMUeAR,QmaPTgwpUhX7LGEs4iuvUp8HkGBcHRij85B45q8WrVojNX
19,97339798142417990651546655250958447204136795354879494670137097919969032689478,QmRjdeRCYeNz3YXBUhKEzCVzDoA7FT6JJ1PnxUHzscch6j,QmedkAd5ofMywU2JjdkfhxtYdBEcfApZ1GPjj1f8KufNpU
20,97339798142417990651546655250958447204136795354879494670137097919969032689479,QmSU7hwSrM8ZNDZo9boDn1WvC4eqoNGgPt87K6LxZ19Cgw,QmPeqb6jDr1yZz4J3oHUNZkQne3FwzmzT6E5MDxA7KkQbr
23,97339798142417990651546655250958447204136795354879494670137097919969032689482,QmW9LNcdwYY4NvDoEbGTXdEYKa6UTzBt1eGCgEraPRzt3n,QmceT6twUNFm1TFWGdEb9Gez2mewZQtZWnrPiBuBSJ71SB
25,97339798142417990651546655250958447204136795354879494670137097919969032689484,QmYYjvEi3TMJ6QA4Aq9X5Z9sKoZ4c9Rav3ZoyCwiJZuwrj,QmSU4B5w2LKkiHvj6LgbiHqvSnjJoiNSzkY6HsjLXBxcuJ
26,97339798142417990651546655250958447204136795354879494670137097919969032689485,QmWii6Vdsp3Db5Ds8rwUCqDFyHyxJwY74jWsgLMxuux5gs,QmSK4M6ALw1Vk8Xuyfi4EANYvD4FNrWqyjpzfS117g86km
27,97339798142417990651546655250958447204136795354879494670137097919969032689486,QmeDhVxVCd7iBv4GEpWMQJFkui5scDHfRban2KSdxW35Rd,QmNxwndy7JgDYCScbkZ2ZhjtsvhDBXHYAXEaFmNJKJwzez
28,97339798142417990651546655250958447204136795354879494670137097919969032689487,QmQSQFn4MC3wg6dZ72vFBDWzqg4UfYXtjrfwADG7VvKJGi,QmZkMaKhUpkXvAgsXK1Yj3nURuFqfeXe89vHG5N9D7Kg8v
30,97339798142417990651546655250958447204136795354879494670137097919969032689489,QmXG8H5Wo99AtUSjuPfZgCnEhrUJpM5JA5iscJEGR7CRD8,QmddvrzNocLefnXh3g962YoXyJTtowLPmebsAav5S1ro9v
32,97339798142417990651546655250958447204136795354879494670137097919969032689491,QmRx1noVURoGA9urPdyfM21W12CgevMizQqNYFDHkmVKcc,QmQ3TRwLZUHpPSm83SD2cWUWAaSiD8jecSfVsfDXCyXgyE
33,97339798142417990651546655250958447204136795354879494670137097919969032689492,QmYPjyuBM7KC3fMxTrvuSTNkPpTMmjGmcd19R2P27DAKrj,QmRoMJCm4V33JmSPA5qrKMR5eG4BN1iivjrMzHKWmCK1UV
35,97339798142417990651546655250958447204136795354879494670137097919969032689494,QmWKRmAgYGnm74XhriQ79eoztmFFkpPfzFGZ8MbLEAvjDn,QmeXBg3trBJY4Q9uzrjUEYypX5dekYFvtWDWUhAJwqVWjr
36,97339798142417990651546655250958447204136795354879494670137097919969032689495,QmTFdjpLWTig2KPgMWfndjotU57ZVozKVsaYEUfAHAMMxj,QmUKZCgU6kjUwvMCjSEd5Mj9N79xCzLBCENjcCgtXr4V9D
37,97339798142417990651546655250958447204136795354879494670137097919969032689496,QmaiCGLtosVokEjcFLpnHK6N2Kcr32GUGQh4V156ioMFqM,QmXFVo86UKws52Xx2spquNjnuXjCWLMSz5BiV8vU8iHTUh
39,97339798142417990651546655250958447204136795354879494670137097919969032689498,QmPNgAh3Fjofhty4Lk5RyXc4uZ6RmKTqdCwet6wBjWs8QQ,QmUjnGTacFT81XHFg2HpCx7XcutkBDfyuVScx9rVphNiAY
40,97339798142417990651546655250958447204136795354879494670137097919969032689499,QmdPKrmkk3ck8GhkvsnWiKCbKFZnFK8qMJ5KqwVCDMyPJN,QmQcgosjNcaBynzNbeDFmghiAbubW8vigpBunTtwfZqT4i
41,97339798142417990651546655250958447204136795354879494670137097919969032689500,QmTGnqjHHedunSqkMvN6rMpjfKZNow5JUbj52cChw6SbJB,QmS4RBuF6nG2QyVYX4RKPDrNe3gb8gmcPWduxCobsExCue
42,97339798142417990651546655250958447204136795354879494670137097919969032689501,QmZcevkbYvFsmr3Z8ADSfhsszwNgoRGmUfSye4ichAQnym,QmT8DHx7cJo9GXnVGBYWC4cVXQNULzAA4543SHue2JdVzV
46,97339798142417990651546655250958447204136795354879494670137097919969032689505,QmWdLb7JJgGLrXb5ZYvdgJHvAquSrcHMvazBh9BcA7oP3p,QmUVTYtAmrLTtcaf8ZhQzqftA6JEnTKzoF8Y6dUF2orY7E
47,97339798142417990651546655250958447204136795354879494670137097919969032689506,QmZb9S7E8CwqwfTqEVEmP9QkQ9eT4GwDbSraWwdRZRnmfT,QmbicTZ8Dzq8vZHoJMJQSFRNq9zgJnRCDuA9asZPyxXSn2
48,97339798142417990651546655250958447204136795354879494670137097919969032689507,QmWeK8ryw2qP4ehLcRtPUt48mnmrzcbVvnH7yY3B2QR2Jd,QmX6im4x4VcUgsqK5AuVmd58AwPw9v7nC8FsZq5w3zEW83
50,97339798142417990651546655250958447204136795354879494670137097919969032689509,QmfLFrKCKrSgB5QPR1GyHDr5ZaqdUT9FFasYoAbQedAtcd,QmR6YkA6gy9v82g9TxQLhyPcfLEaH7wsrvU68qxNKjvMJD
51,97339798142417990651546655250958447204136795354879494670137097919969032689510,Qma359rb4n5reKZypKvf681cK7fyQgQFDS8nfp79B9mmtY,QmdTvU5NmaduSMuieMqnMWWgEVhQwCWAEpZkPvkTnzutpo
52,97339798142417990651546655250958447204136795354879494670137097919969032689511,QmTnv9rbvBxy9LFcK4uEnyvXLw1tB86HqooC2C5X7wirKq,QmfTivBFsZDmUx4715Xij78pvzmpfMWVscn4KKMb7hWL6n
54,97339798142417990651546655250958447204136795354879494670137097919969032689513,QmYsBf6YhG6Gg32sSVXHNRASBDMnymGWffvnnH4axPP8dR,Qma1d6tQYxkNheNt2cw6tVurUp9ih5BHXHT9wV5bi91q1S
55,97339798142417990651546655250958447204136795354879494670137097919969032689514,QmV34TWuVrQPPGh2WArP52xchkYQnNtag3wdouWgoY7Jfb,QmVA73uZnsb4fAophWEvTFDGX3ivwNLs2TuoMDAZ8tEWks
56,97339798142417990651546655250958447204136795354879494670137097919969032689515,QmbT91JDmCycNkNLNPgRQNeuikaaqghz7agnodBrsYhkDC,QmTWiCA3jMo3EezhJBeA53Fybwyz3zzuQk27TX9rqfRFN9
57,97339798142417990651546655250958447204136795354879494670137097919969032689516,QmUtcs7v9rUxvncnt7LSz2jTyjWmqCs4PBoHpVut7b1Fux,QmbRqvT5fFtGBE1Qoiy3oDQb8BjbqVvqpd9djaDZ65UBvf
58,97339798142417990651546655250958447204136795354879494670137097919969032689517,QmbYPsbsomU3YTX3orwxs4nFs4iFMwrQvGZg5967tW8fop,QmXFKdm9YHKfEzCHYG6BGxnAKNZEoysqjeDaGSdkMiDQce
72,97339798142417990651546655250958447204136795354879494670137097919969032689531,QmcC91DEeD13P6LN9Heq8e4Z6W25nJ3VPRjg7KRRikUrgL,QmRhcehnqUWQPJwMgotaWTjfMWbtYD3QNU9vdyvhMtj9Qn
73,97339798142417990651546655250958447204136795354879494670137097919969032689532,QmeWvSEpRH9BdQAzNqRs82RYxDE8Z6VDrgxLWjLmReB5FL,QmSvH3MwAjpgEZvq5WHECZWEtUTAJBbZ56Y7jQErCp2uDD
77,97339798142417990651546655250958447204136795354879494670137097919969032689536,QmV2M4x3eMdZjEGNgafPho9ZGoC5bubTb9vx9NAqkpUwkL,QmXXYFTnkY5mV7tp3EWEbMAsfGKgidnjWWqoxgqkt7Exhs
78,97339798142417990651546655250958447204136795354879494670137097919969032689537,QmVm4GXAbpkUJuctX2jgHYKFrqt2LQjk466yDQCtU1LqSc,QmaxyXRoT2koWSxGR2YDaDygNy32kjokk37hQWHVZBEz3h
79,97339798142417990651546655250958447204136795354879494670137097919969032689538,QmX7M7tZVFgvAvaYZQ3Nv8cQUFd3ujusf6RxY9fCY6eUMr,QmX78JvqJTjG1JQAKvbz8aTzEm5Q9wSPazauhD8LQMFtqK
81,97339798142417990651546655250958447204136795354879494670137097919969032689540,QmecZoQuSMH2QN74xWicnhyszLNNtaTJsUpWY2vkEkJQpq,QmNvo1aEYcc388PBaitAACCRB632Wd4hUHwoW2JFF4Ner2
82,97339798142417990651546655250958447204136795354879494670137097919969032689541,QmSopT7FnWv3czoRaDhR5Ee3wj5EN7FeXK8gHAN4Ripee4,QmRLnpSNE24bSTMhL7Q3oX1cUxHd5NVNrToQ7aYLJs3u4U
91,97339798142417990651546655250958447204136795354879494670137097919969032689550,QmbrFXYs4YAkHW39hiVzP3YAHdjEhyoRL2FbWBHAV7BUWs,QmS9sPDD5iegpG6ptQqdJB8xB1mGW4AnQZXGQseQ8EjYYj
96,97339798142417990651546655250958447204136795354879494670137097919969032689555,QmXLFyVCzixHzG3HFzTAAiW2bfuJksUmMEtfx6wtuvXX9L,QmUn5zrV2VCvPrTAGSTMXbqMgsP7wNtX3PPHhVMyqX8gZG
