edition,class,token_id,metadata_ipfs_cid,animation_url
0,MP4-IPFS,97339798142417990651546655250958447204136795354879494670137097919969032689459,QmRWig1QwEzjRsqASx2cBXAGayjwtihMrfTnVw13HgvpMD,https://ipfs.feralfile.com/ipfs/QmV6a8NCQDTq1pMddqgMNg9xutBkp7oa2EJTspi5tH7z6C?
1,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689460,QmaDJg7mz6JsaSzEa7UYmY9zyfejF2CgZDTC6jvedXzPBL,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
2,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689461,QmWyTWWYNwwhZDjihEhSwvUM8TXE4EU8sceBRiwPyL7JTT,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
3,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689462,QmZNWDp8PtdMtVrYwZzKafxCWwL36QnGquJrGNGENxnMXG,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
4,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689463,QmesfxVu931a6DakrKWLLM34oAvXU6tCHewpC2coD99nZh,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
6,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689465,QmPZQUeWhDNp6ynyWXgDFQSGBjz6pwNhyJGr5eL3q4PKWg,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
7,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689466,QmbiPRkfC3GSub6xrnFq3mieb2EzPvYS6vTiMFtKcLfEfz,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
8,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689467,QmNRXXGckaVffkHuyfMrsu9Lu5w6oDFc8gxCenjhZuq5hp,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
9,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689468,QmapQirBGZbbEbwUzhVB7pWQyzLX2qNCvPNyZQKBd9nfPV,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
10,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689469,QmZ4Y6j6QV2jkWRMsqMFTj1ozr7KLfPTqbEqdNztLrSRXM,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
12,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689471,QmYcKFu7k4PMbDEeHEaX7XDNfJCaQWUG9iYgKsRLYXvwe2,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
14,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689473,Qmem7HqsxasYqbXX1tAzBbykwwU4FMUkCFavD5SrAxzBtf,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4
15,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689474,QmWdfbXMVEdrgrqaRNMuh6F3ce8PpoJWiTgJigu64XJwsZ,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
17,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689476,QmanmMWNh15a3FyBjmJ9aomrGTeyovBjyobQnFPFLMUeAR,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
19,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689478,QmRjdeRCYeNz3YXBUhKEzCVzDoA7FT6JJ1PnxUHzscch6j,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
20,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689479,QmSU7hwSrM8ZNDZo9boDn1WvC4eqoNGgPt87K6LxZ19Cgw,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4
23,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689482,QmW9LNcdwYY4NvDoEbGTXdEYKa6UTzBt1eGCgEraPRzt3n,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
24,MP4-IPFS,97339798142417990651546655250958447204136795354879494670137097919969032689483,QmXemxViRQKjRbCczCsnboiRW19Bpz2ara79BGwtFtqNAk,https://ipfs.feralfile.com/ipfs/QmV6a8NCQDTq1pMddqgMNg9xutBkp7oa2EJTspi5tH7z6C?
25,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689484,QmYYjvEi3TMJ6QA4Aq9X5Z9sKoZ4c9Rav3ZoyCwiJZuwrj,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
26,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689485,QmWii6Vdsp3Db5Ds8rwUCqDFyHyxJwY74jWsgLMxuux5gs,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
27,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689486,QmeDhVxVCd7iBv4GEpWMQJFkui5scDHfRban2KSdxW35Rd,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4
28,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689487,QmQSQFn4MC3wg6dZ72vFBDWzqg4UfYXtjrfwADG7VvKJGi,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4
30,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689489,QmXG8H5Wo99AtUSjuPfZgCnEhrUJpM5JA5iscJEGR7CRD8,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
31,MP4-IPFS,97339798142417990651546655250958447204136795354879494670137097919969032689490,QmcS4S9SYpFncQew21HmMZMwPC7BDuAPXowiudFnr2sJ8k,https://ipfs.feralfile.com/ipfs/QmV6a8NCQDTq1pMddqgMNg9xutBkp7oa2EJTspi5tH7z6C?
32,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689491,QmRx1noVURoGA9urPdyfM21W12CgevMizQqNYFDHkmVKcc,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
33,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689492,QmYPjyuBM7KC3fMxTrvuSTNkPpTMmjGmcd19R2P27DAKrj,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
35,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689494,QmWKRmAgYGnm74XhriQ79eoztmFFkpPfzFGZ8MbLEAvjDn,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
36,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689495,QmTFdjpLWTig2KPgMWfndjotU57ZVozKVsaYEUfAHAMMxj,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
37,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689496,QmaiCGLtosVokEjcFLpnHK6N2Kcr32GUGQh4V156ioMFqM,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
38,MP4-IPFS,97339798142417990651546655250958447204136795354879494670137097919969032689497,Qmb97EaGd3mXU5G9A3jeaJCwxjQwfpw41vh7AULpxt3S6C,https://ipfs.feralfile.com/ipfs/QmV6a8NCQDTq1pMddqgMNg9xutBkp7oa2EJTspi5tH7z6C?
39,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689498,QmPNgAh3Fjofhty4Lk5RyXc4uZ6RmKTqdCwet6wBjWs8QQ,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
40,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689499,QmdPKrmkk3ck8GhkvsnWiKCbKFZnFK8qMJ5KqwVCDMyPJN,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
41,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689500,QmTGnqjHHedunSqkMvN6rMpjfKZNow5JUbj52cChw6SbJB,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4
42,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689501,QmZcevkbYvFsmr3Z8ADSfhsszwNgoRGmUfSye4ichAQnym,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
46,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689505,QmWdLb7JJgGLrXb5ZYvdgJHvAquSrcHMvazBh9BcA7oP3p,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
47,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689506,QmZb9S7E8CwqwfTqEVEmP9QkQ9eT4GwDbSraWwdRZRnmfT,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
48,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689507,QmWeK8ryw2qP4ehLcRtPUt48mnmrzcbVvnH7yY3B2QR2Jd,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
50,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689509,QmfLFrKCKrSgB5QPR1GyHDr5ZaqdUT9FFasYoAbQedAtcd,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
51,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689510,Qma359rb4n5reKZypKvf681cK7fyQgQFDS8nfp79B9mmtY,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
52,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689511,QmTnv9rbvBxy9LFcK4uEnyvXLw1tB86HqooC2C5X7wirKq,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
54,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689513,QmYsBf6YhG6Gg32sSVXHNRASBDMnymGWffvnnH4axPP8dR,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
55,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689514,QmV34TWuVrQPPGh2WArP52xchkYQnNtag3wdouWgoY7Jfb,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4
56,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689515,QmbT91JDmCycNkNLNPgRQNeuikaaqghz7agnodBrsYhkDC,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
57,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689516,QmUtcs7v9rUxvncnt7LSz2jTyjWmqCs4PBoHpVut7b1Fux,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
58,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689517,QmbYPsbsomU3YTX3orwxs4nFs4iFMwrQvGZg5967tW8fop,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
72,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689531,QmcC91DEeD13P6LN9Heq8e4Z6W25nJ3VPRjg7KRRikUrgL,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4
73,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689532,QmeWvSEpRH9BdQAzNqRs82RYxDE8Z6VDrgxLWjLmReB5FL,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
77,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689536,QmV2M4x3eMdZjEGNgafPho9ZGoC5bubTb9vx9NAqkpUwkL,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
78,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689537,QmVm4GXAbpkUJuctX2jgHYKFrqt2LQjk466yDQCtU1LqSc,https://ipfs.feralfile.com/ipfs/QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4?
