contract,trustee,owner,token_base_uri,tokens,needs_fix,errors
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,24,15,0
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,550,52,0
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,670,278,28
0x29c9e04e05c5d261836e458bc5b779a7de3c58d6,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,382,116,7
0x377d8e26d145c9ba0db766a0a577baba9de9ec17,,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,209,0,0
0x513ac47320798fb6d74543242a9c0f686682998d,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,108,28,28
0x63c8282c8705e7873b3302bd623b2bc8ebcdddd3,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,414,28,1
0x6dba130221a1c39f6623908a136976686050059a,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,705,124,0
0x6e906b2e355294a6aecd6b4f75816eda9f703dda,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,371,79,0
0x7a15b36cb834aea88553de69077d3777460d73ac,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,5261,4310,278
0x7a9ea7c036f6aab113e2563096ef1e0e56375a39,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,54,22,0
0x9294c5787f5bc7462e991fe8b6feac75f433ac39,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,45,6,0
0x979316f5b3f3d8db956af519553c853525a5b1af,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,650,146,1
0xaa02cc02f4531ee75d1b78cb5a155d4f3b54f830,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,719,151,2
0xadb387798599f5777cd0531c2ecb36007c1d1a51,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,336,73,0
0xd8eed224e1b358fa6f7b167124c2c1afe42275b4,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,635,251,0
0xdb5f1adcffa1869b9711cbfbe3bf46cc5d5319e5,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,175,89,2
0xe5163c74ffe6563d75d750e5d767122500a1c337,0xbeb9f810862c40a144925f568b1853d72acc492f,0x1d05cf6c6beb0c869851bfdb9510d4e44e855ad6,https://ipfs.bitmark.com/ipfs/,229,84,7
