contract,token_id,token_id_db,onchain_cid,token_base_uri,animation_url,image,anim_class,image_class,needs_fix,legacy_format,db_cid,db_cid_match,error
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,100259033651638840688415246311962179533043394327511689573082289244072844454040,100259033651638840688415246311962179533043394327511689573082289244072844454040,QmcRobYTXMwTC1Vsfr3rUcFzSs4REgi2mLf1Bsao2kxqJb,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/2e68b1a3-6370-4ad5-af12-153de80637eb/1646913539/index.html,https://cdn.feralfileassets.com/thumbnails/2e68b1a3-6370-4ad5-af12-153de80637eb/1646913538,cdn,cdn,1,0,QmcRobYTXMwTC1Vsfr3rUcFzSs4REgi2mLf1Bsao2kxqJb,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,103477453257555427386413623329468338494139360419570205787103098657772417578369,103477453257555427386413623329468338494139360419570205787103098657772417578369,QmQNKQuPW2b275UvKmAdSa1yJZeEgPpcgqwwq8m8VFmumw,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/6dde453e-259f-49b7-b5db-02c7a41d049b/1646914008/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/84a6c06e-c3ce-4776-28cd-8cf237b39000/thumbnailLarge,cdn,imagedelivery,1,0,QmQNKQuPW2b275UvKmAdSa1yJZeEgPpcgqwwq8m8VFmumw,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,11853453751090959671312000797032361782895431600033878255608787696727826569744,11853453751090959671312000797032361782895431600033878255608787696727826569744,QmfJL8dSYCAQwTr7KBokMYW8bhhPL7W9F1pA6RdwEyT2qB,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/11b4449b-e435-4737-bd14-81cd3366ac89/1646913406/index.html,https://cdn.feralfileassets.com/thumbnails/11b4449b-e435-4737-bd14-81cd3366ac89/1646913404,cdn,cdn,1,0,QmfJL8dSYCAQwTr7KBokMYW8bhhPL7W9F1pA6RdwEyT2qB,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1763616891931023837042453769144482006254932093168986980699649370227086293946,1763616891931023837042453769144482006254932093168986980699649370227086293946,QmXVvXmpnTJDTRQK9kBRZ6tS26H9RwDTJBFF1AXvFB2rB2,https://ipfs.bitmark.com/ipfs/,ipfs://QmPoWQDCJLSnpUwy27vE1fJgNk9GXtpteXox1HSNsxXCbA?edition_number=1&blockchain=bitmark,ipfs://QmRnEK8XG9i4eN4Kz6weGvkjqe2zfXfe9kPGyViGa2v7qF,ipfs,ipfs,0,0,QmXVvXmpnTJDTRQK9kBRZ6tS26H9RwDTJBFF1AXvFB2rB2,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,17873001452543386695883496786953153816036152459857767890440812893061390884781,17873001452543386695883496786953153816036152459857767890440812893061390884781,QmX5KPW9Zb9zsDAr5ydETkeLfxXPQmxAAk9jHVWv4Xafmd,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/34f52c05-cde0-4dee-880b-df96eebf37be/1646914127/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/d5b3e440-1eab-4ea1-a221-b380d2dd7400/thumbnailLarge,cdn,imagedelivery,1,0,QmX5KPW9Zb9zsDAr5ydETkeLfxXPQmxAAk9jHVWv4Xafmd,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,21067873574976294185535690840982352517173866994219361188766956749967822402154,21067873574976294185535690840982352517173866994219361188766956749967822402154,QmcQj4jKb2d1qANnLfEpBRqMpGMCf4Njb7wD3BNwku1KLq,https://ipfs.bitmark.com/ipfs/,ipfs://QmQAjsz7q3TDBodp6hQkM84UaqwM82L9yodw5csxEWXzNV?edition_number=1&blockchain=bitmark,ipfs://QmWieoadrqqo5SGCWKQGe6G4mhNve6QHkJ3Ee9RqgkKjuu,ipfs,ipfs,0,0,QmcQj4jKb2d1qANnLfEpBRqMpGMCf4Njb7wD3BNwku1KLq,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,21827525339015493852879098446115618810266725129353170517195385021115583630648,21827525339015493852879098446115618810266725129353170517195385021115583630648,QmY8PodQvdNZ9yzfegsxRw4TeGjChmCwFaqfjFg79KoVVy,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/47ab1047-708d-4f36-b5de-68e5995e175f/1646913658/index.html,https://cdn.feralfileassets.com/thumbnails/47ab1047-708d-4f36-b5de-68e5995e175f/1646913655,cdn,cdn,1,0,QmY8PodQvdNZ9yzfegsxRw4TeGjChmCwFaqfjFg79KoVVy,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,22771107291080455747174181672465688559893222727372222944131169711608991463754,22771107291080455747174181672465688559893222727372222944131169711608991463754,QmRCdyVDKzyqYh13WN9p5mXaLsbv2wrPeCJa4unMGRJ57m,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/37e6066c-9997-4939-ac9a-e92685e71cf6/1646913886/index.html,https://cdn.feralfileassets.com/thumbnails/37e6066c-9997-4939-ac9a-e92685e71cf6/1646913882,cdn,cdn,1,0,QmRCdyVDKzyqYh13WN9p5mXaLsbv2wrPeCJa4unMGRJ57m,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,26659148232774163787642208418883770997794245462506354088137640072544072163828,26659148232774163787642208418883770997794245462506354088137640072544072163828,QmU62qGicMU2itpBMopDE1hp94drvJXuZWYpWq8L6gJqhq,https://ipfs.bitmark.com/ipfs/,ipfs://QmVX4yDL9QN8sFAK5o2x38xLavZisy3Y6ErvdRry3vhanE?edition_number=1&blockchain=bitmark,ipfs://QmWhMmpv34BJAPxB1VvXKBi8Js5BF5oaCBm7vzCAzzv6fs,ipfs,ipfs,0,0,QmU62qGicMU2itpBMopDE1hp94drvJXuZWYpWq8L6gJqhq,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,26777294115911794943872678479575265637406102913803209848320883791959191358224,26777294115911794943872678479575265637406102913803209848320883791959191358224,QmdQmYLingxkamvhxzVo3hjHHtxepa8dWXU5McJSQWdASV,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/3aca483a-59b7-4839-b66e-74d5e75c4735/1646913453/index.html,https://cdn.feralfileassets.com/thumbnails/3aca483a-59b7-4839-b66e-74d5e75c4735/1646913452,cdn,cdn,1,0,QmdQmYLingxkamvhxzVo3hjHHtxepa8dWXU5McJSQWdASV,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,27804310658862194628130446355476079614363841963043044947411206069758096659326,27804310658862194628130446355476079614363841963043044947411206069758096659326,QmcMALZzJZVw4x8ZwY4TYDxCPT6BMvkdYCxZGGaC4P5qBy,https://ipfs.bitmark.com/ipfs/,ipfs://QmfRgPbeMwETWpE7jxfkeKNqo69KmWjaiztc6DnGzkzBPe?edition_number=1&blockchain=bitmark,ipfs://QmQth3XA5Zs1UsZMSFwDryDA2eXj3MnMhQcPtgfgE2sHWP,ipfs,ipfs,0,0,QmcMALZzJZVw4x8ZwY4TYDxCPT6BMvkdYCxZGGaC4P5qBy,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,35734477414191267536182241740263814124031024446329880450548076200218345681267,35734477414191267536182241740263814124031024446329880450548076200218345681267,QmWVWMMLxA6kDDt1owiWTnwgB9TVeDK4ods7HDooMrmdEV,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/23d93636-48be-42be-8b9c-59083b481079/1646913114/index.html,https://cdn.feralfileassets.com/thumbnails/23d93636-48be-42be-8b9c-59083b481079/1646913108,cdn,cdn,1,0,QmWVWMMLxA6kDDt1owiWTnwgB9TVeDK4ods7HDooMrmdEV,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,3600379894897785441890175511807893754450730869030016812905817072879542671856,3600379894897785441890175511807893754450730869030016812905817072879542671856,Qmchxo8YD9U11idWEqZCm7enwTf7GfEHxh4VPBrdhXkSPz,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/17b11372-d1b1-405a-8b54-13b3e1a0738e/1646914227/index.html,https://cdn.feralfileassets.com/thumbnails/17b11372-d1b1-405a-8b54-13b3e1a0738e/1646914224,cdn,cdn,1,0,Qmchxo8YD9U11idWEqZCm7enwTf7GfEHxh4VPBrdhXkSPz,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,42548676928814898295310508924935752434654792129753083415050785322793230237933,42548676928814898295310508924935752434654792129753083415050785322793230237933,QmXVWWCYG5szFXUssecN8CpALARYN1NhqPjHaYbp4izc8Y,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/ed25109e-3e36-429d-aafd-a9cd12f854fb/1646913052/index.html,https://cdn.feralfileassets.com/thumbnails/ed25109e-3e36-429d-aafd-a9cd12f854fb/1646913050,cdn,cdn,1,0,QmXVWWCYG5szFXUssecN8CpALARYN1NhqPjHaYbp4izc8Y,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,51405502197975593020006428012979698169421745577070862472572939978086684899049,51405502197975593020006428012979698169421745577070862472572939978086684899049,QmZBr6Gr969XGfbKJwqE3ReALA267WSdEhgzJePyxRbQV9,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/cf44b110-3b40-471a-8415-c805c80baae9/1646913357/index.html,https://cdn.feralfileassets.com/thumbnails/cf44b110-3b40-471a-8415-c805c80baae9/1646913354,cdn,cdn,1,0,QmZBr6Gr969XGfbKJwqE3ReALA267WSdEhgzJePyxRbQV9,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,51517200951363190976476841985696264911236621803303093126297032304284847774058,51517200951363190976476841985696264911236621803303093126297032304284847774058,QmUo7kuo6tu5HvfdkWLYLo56NVgu4VMMnaPq5faq7dZvfG,https://ipfs.bitmark.com/ipfs/,https://cdn.feralfileassets.com/previews/ee826cf5-9273-4b58-850c-0615668d9e2d/1646914066/index.html,https://cdn.feralfileassets.com/thumbnails/ee826cf5-9273-4b58-850c-0615668d9e2d/1646914064,cdn,cdn,1,0,QmUo7kuo6tu5HvfdkWLYLo56NVgu4VMMnaPq5faq7dZvfG,1,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,55861989739187960215136136703619702158229932998201582286228944845009418350282,55861989739187960215136136703619702158229932998201582286228944845009418350282,QmNcyWdBwj9Gjv9F2qWMfV5ZqDgD1iHQbeJmoaTD19scoc,https://ipfs.bitmark.com/ipfs/,ipfs://QmcVyid7mStyaZMnYBow6WwEAb3hbZSDGgzLifZmCUvGr6?edition_number=1&blockchain=bitmark,ipfs://Qmf6HGEozhBiLFepC5rAKN5cLZBRMCT4XbfKGv26qtHEn6,ipfs,ipfs,0,0,QmNcyWdBwj9Gjv9F2qWMfV5ZqDgD1iHQbeJmoaTD19scoc,1,
