"title","edition","artwork_id","token_id","swap_cid","artwork_meta_cid","artwork_updated_at","swap_updated_at"
"36 Points #01",1,"44fd180930afd8626bfa248a120f0723383cfb28f23250a922f39ac1207494ff","6229100147646990607419186448973685356003330360291535307888976845307913171916",QmXzVncURE6ayxZTwQWnUbA4LF8pMpiaUbgwxWYc76nVD3,QmXF3wzxarA6NnW2XyvTqtMEuTD8CVpVPmWTMZANPdTSEN,2025-12-26 16:59:26.000 +0800,2023-04-07 00:01:28.434 +0800
"36 Points #02",1,"31de7942720d414c9faccca0ed5b8bd6ee06177f9331ee93db435149a7ae48bd","60555235769946072280257368134421579233129900805931125862653074656717210657350",QmdSfeZhbsXHmVQdW9ZWgE5ef8Ek2nuN15hRPaaLSokBBJ,QmUKoE3j7pbFpnoHMCAX9Mf5WtU1eTfWjwBC9oGEnDEJSz,2025-12-26 16:59:25.000 +0800,2023-04-15 00:28:29.325 +0800
"36 Points #03",1,a84553164de68015c476d80cc9405d1a2528b007a9e49119aab69cf08ec62e73,"11664021220004922721158142696805109385017351455970048986406817807233226597982",QmVFhaA9SjbrM3AAH4wMx3aptTUVMwTgcHt8Y5i35J7kk7,QmdZ5sCetTQ2tLckcB2MbDTyAF4LFLwqwg7FHuE7zMjjXN,2025-12-26 16:59:25.000 +0800,2023-04-15 04:08:48.571 +0800
"36 Points #04",1,"940574a4443494cf3aa4b985ae231e64c7da74d0bad86181a1b0a87d5ec6c648","54950933058261189443811690230205364815834649260599699471843244737216885808589",QmNSNBSRsZaSnXT2BCTd89ZZPFfySk7qbM4SV1zH7bBcSu,QmYF2DYj1hcEzCzM1P6euoQQEG4VqEqi6Wr7JLmkids1rG,2025-12-26 16:59:25.000 +0800,2023-05-31 12:17:07.544 +0800
"36 Points #05",1,f46754183cbbdf52e76a1d86621a4c6760b4f749d1fe68ea2e80ede324c34d6b,"18698764637565186712817975068720307980521463968285219645773655026414864292038",QmaJSzaYVcDKMkZpp7pxQuA9dfZdt6MzeQicByWQWVcmB1,QmfSPqTXr7qPsek9c93Q9anJ8meKy9LZyodsJtdWVFAVdZ,2025-12-26 16:59:25.000 +0800,2023-04-12 14:19:58.589 +0800
"36 Points #06",1,e774a33585f397cc94a72cd6b21321c68631a9a72cc1d6c53e38b43d20b92778,"86901163340150327158931737285279027599235005837676884064067046790749010992666",QmQN37cKXiN1fpXvvPnu6Fd3WaBLhVEBqxUeAijZQmm7zJ,QmbPvj97Z91Z19Fct9aTZWR3xSPAfkDgf4RAiQNA66jxYj,2025-12-26 16:59:25.000 +0800,2022-11-23 00:29:19.509 +0800
"36 Points #07",1,ff9a0731683458973997eca3d0a54233844d68785bf49cb204384962f52715da,"30169743894372405399814053470325713857822493152084656191451240314612461820657",Qmcwc6Lj35GJ3gkPZqDdqrcrCeySykmx3sV4Lc7PuFuBHb,QmURL2BCYdyjXhGwbAAPHMJiHSjsPk5iM5euNmaReAJWfe,2025-12-26 16:59:25.000 +0800,2022-12-28 11:08:19.002 +0800
"36 Points #08",1,"3dd8dbba079f649f834869c66ce00670f5940c124a5d05756dd1202f244b9042","113889147401935052428898332763019184710835162451406557728929988943288507065367",QmSHKRf1knE8E8HPrFMHc71Bn6py2y6qpStwxf7nkd24Fc,QmTrcaA28dwHBjR7wjfUq6oicjEovCsAK6ba2W9h45nCR7,2025-12-26 16:59:25.000 +0800,2023-05-31 12:16:46.122 +0800
"36 Points #09",1,"74ec34bc4b8900633fb8e65784622cd6116c38a654eb4d8c24f4c13adc410d06","113631258753652137686654951879316359262553048824792126652063215429159754885130",QmepY6pRQNgda4VampZY5Ge2AdSvczAVqUL6Q6k7sZTitu,Qmf9p5JnrhGEx9Qt2tuJGJ8992Y265rVKV8VbUkJ8cV7di,2025-12-26 16:59:25.000 +0800,2023-04-07 23:46:42.990 +0800
"36 Points #10",1,cfaff79aa630da7d97fcc114735035726144b027e49bacd97b9684b697fb5fad,"13891659075551035516373525909732448135021462143183580713795785540908171327833",QmavEQihbVfb6ijgem3AKkpmrFyfunSvwe4Meyde24umza,QmXvLrUWxQ7eERPvPqTRm5r2GX97tfYGxPjMWeGo2k94aJ,2025-12-26 16:59:25.000 +0800,2022-12-28 11:07:01.978 +0800
