"title","series_id","medium","artworks","series_updated_at","reference_uri","ipfs_uri","upload_time","reference_created_at","reference_updated_at","is_current_preview"
"36 Points #01",f65cb7b3-89e2-47eb-9e73-3b371105e15e,software,2,2023-09-18 16:13:26.977 +0800,previews/f65cb7b3-89e2-47eb-9e73-3b371105e15e/1645051900/?edition_number=1&blockchain=bitmark,ipfs://QmcoYm5mJuiFh9ZT72eDrcsG4k12PYZJBrHYxanqGgehfF?edition_number=1&blockchain=bitmark,2022-02-17 06:51:40.000 +0800,2023-03-20 12:28:56.352 +0800,2023-03-20 12:28:56.352 +0800,false
"36 Points #01",f65cb7b3-89e2-47eb-9e73-3b371105e15e,software,2,2023-09-18 16:13:26.977 +0800,previews/f65cb7b3-89e2-47eb-9e73-3b371105e15e/1645051900/index.html,ipfs://QmcLvRe7CHeD5WUY3rChLTwuWe8BXJL6XJ7be5BsNiS3ac,2022-02-17 06:51:40.000 +0800,2023-02-02 16:36:16.490 +0800,2023-02-02 16:36:16.490 +0800,false
"36 Points #01",f65cb7b3-89e2-47eb-9e73-3b371105e15e,software,2,2023-09-18 16:13:26.977 +0800,previews/f65cb7b3-89e2-47eb-9e73-3b371105e15e/1645051900/,ipfs://QmcoYm5mJuiFh9ZT72eDrcsG4k12PYZJBrHYxanqGgehfF,2022-02-17 06:51:40.000 +0800,2023-03-20 12:28:56.992 +0800,2023-03-20 12:28:56.992 +0800,false
"36 Points #01",f65cb7b3-89e2-47eb-9e73-3b371105e15e,software,2,2023-09-18 16:13:26.977 +0800,previews/f65cb7b3-89e2-47eb-9e73-3b371105e15e/1645051900/?edition_number=0&blockchain=bitmark,ipfs://QmcoYm5mJuiFh9ZT72eDrcsG4k12PYZJBrHYxanqGgehfF?edition_number=0&blockchain=bitmark,2022-02-17 06:51:40.000 +0800,2023-03-20 12:29:02.963 +0800,2023-03-20 12:29:02.963 +0800,false
"36 Points #01",f65cb7b3-89e2-47eb-9e73-3b371105e15e,software,2,2023-09-18 16:13:26.977 +0800,previews/f65cb7b3-89e2-47eb-9e73-3b371105e15e/1725620464/index.html,ipfs://QmULUtZqzwwPcR5b2cmMzJTjgq3CJNUktx6rEBBVho4x8g,2024-09-06 19:01:04.000 +0800,2024-09-10 12:03:02.182 +0800,2024-09-10 12:03:02.182 +0800,true
"36 Points #02",a2ba079e-319b-425a-b3df-6bb68c1b7343,software,2,2023-09-18 16:13:14.206 +0800,previews/a2ba079e-319b-425a-b3df-6bb68c1b7343/1645051926/?edition_number=1&blockchain=bitmark,ipfs://QmPqHRWghGAYzv5rYf3YtrWTZEgWBU5Hi88vV4jn3ag14v?edition_number=1&blockchain=bitmark,2022-02-17 06:52:06.000 +0800,2023-03-20 12:30:01.340 +0800,2023-03-20 12:30:01.340 +0800,false
"36 Points #02",a2ba079e-319b-425a-b3df-6bb68c1b7343,software,2,2023-09-18 16:13:14.206 +0800,previews/a2ba079e-319b-425a-b3df-6bb68c1b7343/1645051926/index.html,ipfs://QmUtcSNTyR5tjHuyeHsvJSSq5EjtgmqLSwMcboKvb1APTx,2022-02-17 06:52:06.000 +0800,2023-02-02 16:36:21.773 +0800,2023-02-02 16:36:21.773 +0800,false
"36 Points #02",a2ba079e-319b-425a-b3df-6bb68c1b7343,software,2,2023-09-18 16:13:14.206 +0800,previews/a2ba079e-319b-425a-b3df-6bb68c1b7343/1645051926/?edition_number=0&blockchain=bitmark,ipfs://QmPqHRWghGAYzv5rYf3YtrWTZEgWBU5Hi88vV4jn3ag14v?edition_number=0&blockchain=bitmark,2022-02-17 06:52:06.000 +0800,2023-03-20 12:29:50.521 +0800,2023-03-20 12:29:50.521 +0800,false
"36 Points #02",a2ba079e-319b-425a-b3df-6bb68c1b7343,software,2,2023-09-18 16:13:14.206 +0800,previews/a2ba079e-319b-425a-b3df-6bb68c1b7343/1645051926/,ipfs://QmPqHRWghGAYzv5rYf3YtrWTZEgWBU5Hi88vV4jn3ag14v,2022-02-17 06:52:06.000 +0800,2023-03-20 12:29:50.613 +0800,2023-03-20 12:29:50.613 +0800,false
"36 Points #02",a2ba079e-319b-425a-b3df-6bb68c1b7343,software,2,2023-09-18 16:13:14.206 +0800,previews/a2ba079e-319b-425a-b3df-6bb68c1b7343/1725623570/index.html,ipfs://QmX3jGgBHKK4JkptQN248ZFmyPH3d5zyBQzgcXhKgXYgiq,2024-09-06 19:52:50.000 +0800,2024-09-10 12:03:05.229 +0800,2024-09-10 12:03:05.229 +0800,true
"36 Points #03","6f5db274-ea1f-47b6-82ab-13b0ad650d36",software,2,2023-09-18 16:13:15.395 +0800,previews/6f5db274-ea1f-47b6-82ab-13b0ad650d36/1645051931/,ipfs://QmQePafe7L2Z4X4G9awSeZXD4bDLH6QP1tLyoS1boPULhD,2022-02-17 06:52:11.000 +0800,2023-03-20 12:29:35.616 +0800,2023-03-20 12:29:35.616 +0800,false
"36 Points #03","6f5db274-ea1f-47b6-82ab-13b0ad650d36",software,2,2023-09-18 16:13:15.395 +0800,previews/6f5db274-ea1f-47b6-82ab-13b0ad650d36/1645051931/index.html,ipfs://QmPQaCzMQ6HXwYWMeZDzrXtYATp27F2uM6AdGnXKApQfwh,2022-02-17 06:52:11.000 +0800,2023-02-02 16:36:26.898 +0800,2023-02-02 16:36:26.898 +0800,false
"36 Points #03","6f5db274-ea1f-47b6-82ab-13b0ad650d36",software,2,2023-09-18 16:13:15.395 +0800,previews/6f5db274-ea1f-47b6-82ab-13b0ad650d36/1645051931/?edition_number=0&blockchain=bitmark,ipfs://QmQePafe7L2Z4X4G9awSeZXD4bDLH6QP1tLyoS1boPULhD?edition_number=0&blockchain=bitmark,2022-02-17 06:52:11.000 +0800,2023-03-20 12:30:15.805 +0800,2023-03-20 12:30:15.805 +0800,false
