"title","edition","artwork_id","token_id","swap_metadata_cid","status","is_migration","swap_created_at","swap_updated_at","tx_id","preview_uri","preview_ipfs_uri","thumbnail_uri","thumbnail_ipfs_uri","artwork_updated_at"
"36 Points #01",1,"44fd180930afd8626bfa248a120f0723383cfb28f23250a922f39ac1207494ff","6229100147646990607419186448973685356003330360291535307888976845307913171916",QmXzVncURE6ayxZTwQWnUbA4LF8pMpiaUbgwxWYc76nVD3,complete,true,2023-04-06 23:58:51.083 +0800,2023-04-07 00:01:28.434 +0800,"",previews/f65cb7b3-89e2-47eb-9e73-3b371105e15e/1725620464/index.html,ipfs://QmULUtZqzwwPcR5b2cmMzJTjgq3CJNUktx6rEBBVho4x8g,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/46dda78f-541a-4438-3d71-be8e7f2be900,ipfs://QmSa4cAK6nb344PpnxjyiXRkm9m9GgVZggN6eQ2cfpEn7a,2025-12-26 16:59:26.000 +0800
"36 Points #02",1,"31de7942720d414c9faccca0ed5b8bd6ee06177f9331ee93db435149a7ae48bd","60555235769946072280257368134421579233129900805931125862653074656717210657350",QmdSfeZhbsXHmVQdW9ZWgE5ef8Ek2nuN15hRPaaLSokBBJ,complete,true,2023-04-15 00:26:19.215 +0800,2023-04-15 00:28:29.325 +0800,"",previews/a2ba079e-319b-425a-b3df-6bb68c1b7343/1725623570/index.html,ipfs://QmX3jGgBHKK4JkptQN248ZFmyPH3d5zyBQzgcXhKgXYgiq,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/0b6deec8-366c-4232-3b5e-a7bd76c3fb00,ipfs://QmUrg8sUgyht4eL9jXRke7GwqWzWB9td2Xnnxw6pZRGHbL,2025-12-26 16:59:25.000 +0800
"36 Points #03",1,a84553164de68015c476d80cc9405d1a2528b007a9e49119aab69cf08ec62e73,"11664021220004922721158142696805109385017351455970048986406817807233226597982",QmVFhaA9SjbrM3AAH4wMx3aptTUVMwTgcHt8Y5i35J7kk7,complete,true,2023-04-15 00:26:20.986 +0800,2023-04-15 04:08:48.571 +0800,"",previews/6f5db274-ea1f-47b6-82ab-13b0ad650d36/1725623638/index.html,ipfs://QmZkpq1V956YyfMcaEvwSfN1xybCmcJzZhNQxvGkwVe9nd,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/d6760b65-6f9f-46e3-50b9-097144f6b400,ipfs://Qmav4YYQoVEa942LfyZGaycuewMTb8WkP8mRSQGW9vGfUi,2025-12-26 16:59:25.000 +0800
"36 Points #04",1,"940574a4443494cf3aa4b985ae231e64c7da74d0bad86181a1b0a87d5ec6c648","54950933058261189443811690230205364815834649260599699471843244737216885808589",QmNSNBSRsZaSnXT2BCTd89ZZPFfySk7qbM4SV1zH7bBcSu,complete,true,2023-05-31 12:12:16.893 +0800,2023-05-31 12:17:07.544 +0800,"",previews/bfecf42e-41e0-46a7-a948-435c5439d574/1725623694/index.html,ipfs://QmQpxuRBt3PvAyEdXkvK6FC3evqJMJwsN3ggbTXBWXaPk2,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/40553fa8-48d1-4e21-8aea-0697eeabe800,ipfs://QmX4ypcpcDSAdtHfdpCs7ujtfUq5jAZMeZfuSoDnofEdj2,2025-12-26 16:59:25.000 +0800
"36 Points #05",1,f46754183cbbdf52e76a1d86621a4c6760b4f749d1fe68ea2e80ede324c34d6b,"18698764637565186712817975068720307980521463968285219645773655026414864292038",QmaJSzaYVcDKMkZpp7pxQuA9dfZdt6MzeQicByWQWVcmB1,complete,false,2023-04-12 14:16:44.271 +0800,2023-04-12 14:19:58.589 +0800,"",previews/f4cf4ad5-b654-48d3-8ea0-85ec65eb17fa/1725623734/index.html,ipfs://QmemE8HcJdCGeuMENiT3qGRNJLSZ5neD4i9HVPoA4uChrw,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/4de69c6f-c8c6-4fd7-9fca-c82931cdd600,ipfs://QmVs5qiwtvXBuCr4aUEysfxs3ndQTdmqSjKGdopT5zHoua,2025-12-26 16:59:25.000 +0800
"36 Points #06",1,e774a33585f397cc94a72cd6b21321c68631a9a72cc1d6c53e38b43d20b92778,"86901163340150327158931737285279027599235005837676884064067046790749010992666",QmQN37cKXiN1fpXvvPnu6Fd3WaBLhVEBqxUeAijZQmm7zJ,complete,false,2022-11-23 00:27:03.967 +0800,2022-11-23 00:29:19.509 +0800,"",previews/e5437c4c-e32c-40e4-9b0a-074db2d11a6a/1725623770/index.html,ipfs://QmP3P77QmqWf2GyunAQPqJRw3bgQJAaif1Fa6KQRdYwKp9,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/7ae2d852-3dea-4bc6-36c3-d5e78a251900,ipfs://QmUTNPN9og4ZuhzcA7rxpdfMLU5om1isQ581us1AEW8ytk,2025-12-26 16:59:25.000 +0800
"36 Points #07",1,ff9a0731683458973997eca3d0a54233844d68785bf49cb204384962f52715da,"30169743894372405399814053470325713857822493152084656191451240314612461820657",Qmcwc6Lj35GJ3gkPZqDdqrcrCeySykmx3sV4Lc7PuFuBHb,complete,false,2022-12-28 11:06:41.453 +0800,2022-12-28 11:08:19.002 +0800,"",previews/c32b4f0b-d3dc-43b8-bce2-011b82e57c97/1725623799/index.html,ipfs://QmWFTJUsZo2MJQkowiciTM2h3WRxeCD9b7dzrd1CAW9eEC,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/49713ea2-f74e-4629-ccfa-1232389d1400,ipfs://QmaaRnvLqzSFB3YDnqdMGGgZ5B4XTciC7Y1hxHiRoobWsF,2025-12-26 16:59:25.000 +0800
"36 Points #08",1,"3dd8dbba079f649f834869c66ce00670f5940c124a5d05756dd1202f244b9042","113889147401935052428898332763019184710835162451406557728929988943288507065367",QmSHKRf1knE8E8HPrFMHc71Bn6py2y6qpStwxf7nkd24Fc,complete,true,2023-05-31 12:12:17.288 +0800,2023-05-31 12:16:46.122 +0800,"",previews/2dbd7ac7-afe2-43fd-a83c-2156406c158e/1725623822/index.html,ipfs://QmZJPP7KG6jUHgDQ4TpigrQRU6hsbsmzCes97kvvwCAX84,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/7a62adea-1029-4e23-8f4e-0c90ea7a7b00,ipfs://QmYtuAj7KJoGW1cXFWEzscaaaeeFrPrVzEBCCQBXu4koyR,2025-12-26 16:59:25.000 +0800
"36 Points #09",1,"74ec34bc4b8900633fb8e65784622cd6116c38a654eb4d8c24f4c13adc410d06","113631258753652137686654951879316359262553048824792126652063215429159754885130",QmepY6pRQNgda4VampZY5Ge2AdSvczAVqUL6Q6k7sZTitu,complete,true,2023-04-07 23:45:31.750 +0800,2023-04-07 23:46:42.990 +0800,"",previews/ff673a40-0bfb-4ac9-b6a3-2d9cc8385463/1725623849/index.html,ipfs://QmVZdzre1YEmrEyzS9GaCrc2yRs5QxQkno6fFqJsc7JH94,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/8e098876-301d-4ab3-1339-02083eafbb00,ipfs://QmeZMR28Zmz9q54oCgJRUrMoKrjb1KTQGF7T3s1F7w7SbW,2025-12-26 16:59:25.000 +0800
"36 Points #10",1,cfaff79aa630da7d97fcc114735035726144b027e49bacd97b9684b697fb5fad,"13891659075551035516373525909732448135021462143183580713795785540908171327833",QmavEQihbVfb6ijgem3AKkpmrFyfunSvwe4Meyde24umza,complete,false,2022-12-28 11:04:44.905 +0800,2022-12-28 11:07:01.978 +0800,"",previews/2da1ec21-e476-40df-bc45-fb07573bdfe5/1725623878/index.html,ipfs://QmVTLx9L8dYd1Fjs6AefpVobnjWwYiBim3mdGSAfRMWmP2,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/22f72cbe-8082-4c42-24a6-e556541d6000,ipfs://QmcpHB3hmncT4AnNv4F8DMMkNnS3d2ZENHdC6PiLY5dpLv,2025-12-26 16:59:25.000 +0800
