contract,edition,token_id,old_metadata_cid,old_animation_url,old_image,new_animation_url,new_image,dir,token_id_db,db_cid,source,changed_params
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,826926332651362942322512888064699544900818606713106726950616943073530830193,QmNtDCqNW797x5ob9ajLiZ5YnaRCYc6jf3NgTarnoKfWdN,https://cdn.feralfileassets.com/previews/8fc2a19f-4393-4fa4-aee0-91c365232cef/1646913493/index.html,https://cdn.feralfileassets.com/thumbnails/8fc2a19f-4393-4fa4-aee0-91c365232cef/1646913492,ipfs://QmbAS9t8gXtdeiVGGrbmPvfH7MMg7eEjngsK2Y22boria1?edition_number=1&blockchain=bitmark,ipfs://QmXKiXQUkx8TTeecyK5kiEagvZFCkDBx5yKCG9yBSCQpwX,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/826926332651362942322512888064699544900818606713106726950616943073530830193,826926332651362942322512888064699544900818606713106726950616943073530830193,QmNtDCqNW797x5ob9ajLiZ5YnaRCYc6jf3NgTarnoKfWdN,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,3600379894897785441890175511807893754450730869030016812905817072879542671856,Qmchxo8YD9U11idWEqZCm7enwTf7GfEHxh4VPBrdhXkSPz,https://cdn.feralfileassets.com/previews/17b11372-d1b1-405a-8b54-13b3e1a0738e/1646914227/index.html,https://cdn.feralfileassets.com/thumbnails/17b11372-d1b1-405a-8b54-13b3e1a0738e/1646914224,ipfs://QmXUdWRVnShSvAixXPE5c5Vf81FKGonMDGdBUv2Fvcs3sZ?edition_number=1&blockchain=bitmark,ipfs://QmXFHk8XA4JBmTEwPoZtApcFtLvRDnPfxjhgzZoU8acjzf,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/3600379894897785441890175511807893754450730869030016812905817072879542671856,3600379894897785441890175511807893754450730869030016812905817072879542671856,Qmchxo8YD9U11idWEqZCm7enwTf7GfEHxh4VPBrdhXkSPz,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,11853453751090959671312000797032361782895431600033878255608787696727826569744,QmfJL8dSYCAQwTr7KBokMYW8bhhPL7W9F1pA6RdwEyT2qB,https://cdn.feralfileassets.com/previews/11b4449b-e435-4737-bd14-81cd3366ac89/1646913406/index.html,https://cdn.feralfileassets.com/thumbnails/11b4449b-e435-4737-bd14-81cd3366ac89/1646913404,ipfs://Qmeg2NRTk9R2fTUmWnxqmjS4zXjYdYYrL4DaGbdrTxL8VF?edition_number=1&blockchain=bitmark,ipfs://QmbXr6etpZgLdLnVLxFUEB8fKRXNQrtTmpmE6NcyrVNXsK,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/11853453751090959671312000797032361782895431600033878255608787696727826569744,11853453751090959671312000797032361782895431600033878255608787696727826569744,QmfJL8dSYCAQwTr7KBokMYW8bhhPL7W9F1pA6RdwEyT2qB,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,17873001452543386695883496786953153816036152459857767890440812893061390884781,QmX5KPW9Zb9zsDAr5ydETkeLfxXPQmxAAk9jHVWv4Xafmd,https://cdn.feralfileassets.com/previews/34f52c05-cde0-4dee-880b-df96eebf37be/1646914127/index.html,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/d5b3e440-1eab-4ea1-a221-b380d2dd7400/thumbnailLarge,ipfs://QmcnW827n5nrtHtJkfqjCguayYZjmMCuW2DFNwHgYjUZcf?edition_number=1&blockchain=bitmark,ipfs://QmSebLxAEA27Di1Y46HyyPcaPpqfZw6mVMWie3NptQzHFH,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/17873001452543386695883496786953153816036152459857767890440812893061390884781,17873001452543386695883496786953153816036152459857767890440812893061390884781,QmX5KPW9Zb9zsDAr5ydETkeLfxXPQmxAAk9jHVWv4Xafmd,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,21827525339015493852879098446115618810266725129353170517195385021115583630648,QmY8PodQvdNZ9yzfegsxRw4TeGjChmCwFaqfjFg79KoVVy,https://cdn.feralfileassets.com/previews/47ab1047-708d-4f36-b5de-68e5995e175f/1646913658/index.html,https://cdn.feralfileassets.com/thumbnails/47ab1047-708d-4f36-b5de-68e5995e175f/1646913655,ipfs://QmXVWfoqSmkXpx2hmtL1DSAQQzPKNAiZ9fV6mFCXZrZULN?edition_number=1&blockchain=bitmark,ipfs://QmRRyWiSsac3dzW74gFi1m58TzGim4ovyvdGpLU8H2oNgj,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/21827525339015493852879098446115618810266725129353170517195385021115583630648,21827525339015493852879098446115618810266725129353170517195385021115583630648,QmY8PodQvdNZ9yzfegsxRw4TeGjChmCwFaqfjFg79KoVVy,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,22771107291080455747174181672465688559893222727372222944131169711608991463754,QmRCdyVDKzyqYh13WN9p5mXaLsbv2wrPeCJa4unMGRJ57m,https://cdn.feralfileassets.com/previews/37e6066c-9997-4939-ac9a-e92685e71cf6/1646913886/index.html,https://cdn.feralfileassets.com/thumbnails/37e6066c-9997-4939-ac9a-e92685e71cf6/1646913882,ipfs://QmaetsCAmd5ekqXH7vtcwLfCApjar3E2MtS2fBSc7q92Gu?edition_number=1&blockchain=bitmark,ipfs://QmQtdWnRuCfcjzfviMXpzxgYU1ZYWiRnqXeMdj5zQEUKRh,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/22771107291080455747174181672465688559893222727372222944131169711608991463754,22771107291080455747174181672465688559893222727372222944131169711608991463754,QmRCdyVDKzyqYh13WN9p5mXaLsbv2wrPeCJa4unMGRJ57m,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,26777294115911794943872678479575265637406102913803209848320883791959191358224,QmdQmYLingxkamvhxzVo3hjHHtxepa8dWXU5McJSQWdASV,https://cdn.feralfileassets.com/previews/3aca483a-59b7-4839-b66e-74d5e75c4735/1646913453/index.html,https://cdn.feralfileassets.com/thumbnails/3aca483a-59b7-4839-b66e-74d5e75c4735/1646913452,ipfs://QmYeJeS2EXg8Zv18Qfdh4xss71nWHxR8K5DEH84WPErKPc?edition_number=1&blockchain=bitmark,ipfs://QmPUkUBy9ut7avfrh3Mtipi3Nt4HZfCVaDSLzTsWmCPX3x,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/26777294115911794943872678479575265637406102913803209848320883791959191358224,26777294115911794943872678479575265637406102913803209848320883791959191358224,QmdQmYLingxkamvhxzVo3hjHHtxepa8dWXU5McJSQWdASV,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,35734477414191267536182241740263814124031024446329880450548076200218345681267,QmWVWMMLxA6kDDt1owiWTnwgB9TVeDK4ods7HDooMrmdEV,https://cdn.feralfileassets.com/previews/23d93636-48be-42be-8b9c-59083b481079/1646913114/index.html,https://cdn.feralfileassets.com/thumbnails/23d93636-48be-42be-8b9c-59083b481079/1646913108,ipfs://QmSFZ42ehcixLFMQRCRwRvFXFLqCUGs9BXiShhZMjtGPzw?edition_number=1&blockchain=bitmark,ipfs://QmcwB4HfH5UMpHh7VYnuZisrDZ6zn2CVYQDLUJ8KQX2YLC,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/35734477414191267536182241740263814124031024446329880450548076200218345681267,35734477414191267536182241740263814124031024446329880450548076200218345681267,QmWVWMMLxA6kDDt1owiWTnwgB9TVeDK4ods7HDooMrmdEV,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,42548676928814898295310508924935752434654792129753083415050785322793230237933,QmXVWWCYG5szFXUssecN8CpALARYN1NhqPjHaYbp4izc8Y,https://cdn.feralfileassets.com/previews/ed25109e-3e36-429d-aafd-a9cd12f854fb/1646913052/index.html,https://cdn.feralfileassets.com/thumbnails/ed25109e-3e36-429d-aafd-a9cd12f854fb/1646913050,ipfs://Qmbj2uzNbaMiEYTtKCm2LenVjTRrxQ1cpFUBzEcUyQ7Qtm?edition_number=1&blockchain=bitmark,ipfs://QmRM64L9bdj2F3YRjP1vMNhnfd9Jvki37jFCs98Pcn34Uh,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/42548676928814898295310508924935752434654792129753083415050785322793230237933,42548676928814898295310508924935752434654792129753083415050785322793230237933,QmXVWWCYG5szFXUssecN8CpALARYN1NhqPjHaYbp4izc8Y,chain,
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,51405502197975593020006428012979698169421745577070862472572939978086684899049,QmZBr6Gr969XGfbKJwqE3ReALA267WSdEhgzJePyxRbQV9,https://cdn.feralfileassets.com/previews/cf44b110-3b40-471a-8415-c805c80baae9/1646913357/index.html,https://cdn.feralfileassets.com/thumbnails/cf44b110-3b40-471a-8415-c805c80baae9/1646913354,ipfs://QmR7abVzUwSN3gnzuStxdPRxpigHopAJ1wGGofF2r2mph9?edition_number=1&blockchain=bitmark,ipfs://QmQ9WbbxHiFQzEvEh59nKoX6vgXB6NAdedntcu9mLqYL6q,dirs/0x0a5c44da5f71b884c16a195cec304f47ac0233cf/51405502197975593020006428012979698169421745577070862472572939978086684899049,51405502197975593020006428012979698169421745577070862472572939978086684899049,QmZBr6Gr969XGfbKJwqE3ReALA267WSdEhgzJePyxRbQV9,chain,
