contract,edition,token_id,old_metadata_cid,new_metadata_cid,token_id_db,db_cid
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,826926332651362942322512888064699544900818606713106726950616943073530830193,QmNtDCqNW797x5ob9ajLiZ5YnaRCYc6jf3NgTarnoKfWdN,QmWqY4RP6eWt2hTFiN7gHn29QVr5qHaS4wCESK9nTxGswN,826926332651362942322512888064699544900818606713106726950616943073530830193,QmNtDCqNW797x5ob9ajLiZ5YnaRCYc6jf3NgTarnoKfWdN
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,3600379894897785441890175511807893754450730869030016812905817072879542671856,Qmchxo8YD9U11idWEqZCm7enwTf7GfEHxh4VPBrdhXkSPz,QmVS8x8bHGtHAtnkjJcpPuky55P1cizp5dwiuafdZJd3Y2,3600379894897785441890175511807893754450730869030016812905817072879542671856,Qmchxo8YD9U11idWEqZCm7enwTf7GfEHxh4VPBrdhXkSPz
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,11853453751090959671312000797032361782895431600033878255608787696727826569744,QmfJL8dSYCAQwTr7KBokMYW8bhhPL7W9F1pA6RdwEyT2qB,QmT6G9RnPpvWTq3K47XRhwjUbjw1XKD7agVYkWpdfeh8kP,11853453751090959671312000797032361782895431600033878255608787696727826569744,QmfJL8dSYCAQwTr7KBokMYW8bhhPL7W9F1pA6RdwEyT2qB
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,17873001452543386695883496786953153816036152459857767890440812893061390884781,QmX5KPW9Zb9zsDAr5ydETkeLfxXPQmxAAk9jHVWv4Xafmd,QmfYgNqBnLSy27Fftmn8G5x2RAchrvvGJqvx5KmFfx7RgE,17873001452543386695883496786953153816036152459857767890440812893061390884781,QmX5KPW9Zb9zsDAr5ydETkeLfxXPQmxAAk9jHVWv4Xafmd
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,21827525339015493852879098446115618810266725129353170517195385021115583630648,QmY8PodQvdNZ9yzfegsxRw4TeGjChmCwFaqfjFg79KoVVy,QmYykvYPNcQMTEHdjfPNLo5W5HAbU7VxZiu6LcdVmDrhVL,21827525339015493852879098446115618810266725129353170517195385021115583630648,QmY8PodQvdNZ9yzfegsxRw4TeGjChmCwFaqfjFg79KoVVy
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,22771107291080455747174181672465688559893222727372222944131169711608991463754,QmRCdyVDKzyqYh13WN9p5mXaLsbv2wrPeCJa4unMGRJ57m,QmRqmHFkfMQjEfW3aXaqfAJd2eo5rNteCWyeSqXDVgCYjo,22771107291080455747174181672465688559893222727372222944131169711608991463754,QmRCdyVDKzyqYh13WN9p5mXaLsbv2wrPeCJa4unMGRJ57m
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,26777294115911794943872678479575265637406102913803209848320883791959191358224,QmdQmYLingxkamvhxzVo3hjHHtxepa8dWXU5McJSQWdASV,QmeA9GcuPPrmbpqZeMpo6JFu2GojDTgjwjYqEiNnewoWVV,26777294115911794943872678479575265637406102913803209848320883791959191358224,QmdQmYLingxkamvhxzVo3hjHHtxepa8dWXU5McJSQWdASV
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,35734477414191267536182241740263814124031024446329880450548076200218345681267,QmWVWMMLxA6kDDt1owiWTnwgB9TVeDK4ods7HDooMrmdEV,QmVJkkUTaGajT2qKq4jadXrRPBBgm2wuKRcND4VRFQn75o,35734477414191267536182241740263814124031024446329880450548076200218345681267,QmWVWMMLxA6kDDt1owiWTnwgB9TVeDK4ods7HDooMrmdEV
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,42548676928814898295310508924935752434654792129753083415050785322793230237933,QmXVWWCYG5szFXUssecN8CpALARYN1NhqPjHaYbp4izc8Y,QmRZRAjjCEhaGJ2YfKQowviMtJFUyivuvVn5cUidE3X9ZQ,42548676928814898295310508924935752434654792129753083415050785322793230237933,QmXVWWCYG5szFXUssecN8CpALARYN1NhqPjHaYbp4izc8Y
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,51405502197975593020006428012979698169421745577070862472572939978086684899049,QmZBr6Gr969XGfbKJwqE3ReALA267WSdEhgzJePyxRbQV9,QmYS5mHWm38JrFJbppZLX6mMVS2Fj6JRYBTYmGmdfob9g9,51405502197975593020006428012979698169421745577070862472572939978086684899049,QmZBr6Gr969XGfbKJwqE3ReALA267WSdEhgzJePyxRbQV9
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,51517200951363190976476841985696264911236621803303093126297032304284847774058,QmUo7kuo6tu5HvfdkWLYLo56NVgu4VMMnaPq5faq7dZvfG,QmeEkqMQcCyGN2roZWNdERiU97KzRa7B1wPzWWQ6GUJWY4,51517200951363190976476841985696264911236621803303093126297032304284847774058,QmUo7kuo6tu5HvfdkWLYLo56NVgu4VMMnaPq5faq7dZvfG
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,61626451917981075964144752202971575062412728116712793624101268021305155848410,QmaaVQCdHjo5Mb8rYtcjDskPEDhdFxWXqzK193tZwkVJGi,QmRhT9w6NgCf2Mo8SKueJFk19aHu4MyUxhmVvmnBD5BXxY,61626451917981075964144752202971575062412728116712793624101268021305155848410,QmaaVQCdHjo5Mb8rYtcjDskPEDhdFxWXqzK193tZwkVJGi
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,86169228976179627066030249859924298435682583862228694534446344658158027085387,QmbYu1n2aHe5mB5sNeeSoSj5FTcn8QHqn7oa8DwcugaLKm,QmeyZGiFfDiBtGH8VJsyytKttcS5sQKG3Uf5PWYCUym44e,86169228976179627066030249859924298435682583862228694534446344658158027085387,QmbYu1n2aHe5mB5sNeeSoSj5FTcn8QHqn7oa8DwcugaLKm
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,100259033651638840688415246311962179533043394327511689573082289244072844454040,QmcRobYTXMwTC1Vsfr3rUcFzSs4REgi2mLf1Bsao2kxqJb,QmV22hkLBaXbPnLF6MaEi3Pfmn6vQEubbSSiysxfhgwnoj,100259033651638840688415246311962179533043394327511689573082289244072844454040,QmcRobYTXMwTC1Vsfr3rUcFzSs4REgi2mLf1Bsao2kxqJb
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1,103477453257555427386413623329468338494139360419570205787103098657772417578369,QmQNKQuPW2b275UvKmAdSa1yJZeEgPpcgqwwq8m8VFmumw,QmXwofP72d1i5s12V68tqeXyfUYgoJkrL36ybVVkYH74G7,103477453257555427386413623329468338494139360419570205787103098657772417578369,QmQNKQuPW2b275UvKmAdSa1yJZeEgPpcgqwwq8m8VFmumw
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,0,12840682995913677806001798836709465389866153646272085769634026756001512030506,QmeV8sLrZ84irknYpHgKXRm2EhjSr6eTcy7zD1LhLmhJ7b,QmegHTFwuom15xMsW1qs9c2pTS9RT6BMbm5fT8rDjZUi5o,12840682995913677806001798836709465389866153646272085769634026756001512030506,QmeV8sLrZ84irknYpHgKXRm2EhjSr6eTcy7zD1LhLmhJ7b
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,22,12840682995913677806001798836709465389866153646272085769634026756001512030528,QmbgyKpc3baorTaSzoJdN46TV697s4Xh8ySoRzRhaQZEUu,QmRZjUCWyniL7pcTHud3our1b4nDyiGcC7HRPBZZpeffKf,12840682995913677806001798836709465389866153646272085769634026756001512030528,QmbgyKpc3baorTaSzoJdN46TV697s4Xh8ySoRzRhaQZEUu
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,45,12840682995913677806001798836709465389866153646272085769634026756001512030551,QmdXzf8scVsvGcJ9sybV8VqecEAtMyGQan9fCCdee6wXk8,Qmb61b5xVWBQd2A6Yzfv6BbtMnonmr7DrwakQwVD6tsb7N,12840682995913677806001798836709465389866153646272085769634026756001512030551,QmdXzf8scVsvGcJ9sybV8VqecEAtMyGQan9fCCdee6wXk8
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,54,12840682995913677806001798836709465389866153646272085769634026756001512030560,QmR2LWPeiy6sUt9LqGViJDM4YiAq7G9iwispZC31G5QExf,QmWmYwEHZbN1V6ne4VzyhMixa3jjqXZRPMFLq6kg5uCAow,12840682995913677806001798836709465389866153646272085769634026756001512030560,QmR2LWPeiy6sUt9LqGViJDM4YiAq7G9iwispZC31G5QExf
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,57,12840682995913677806001798836709465389866153646272085769634026756001512030563,QmUdSuwMzT1F3QMPjKpGX22mLnKvUDVajSru7dXi9KkK32,QmYkaazkj1Mdndjytjs8yvawqmJNoi9YgfnyCpNBvscGyZ,12840682995913677806001798836709465389866153646272085769634026756001512030563,QmUdSuwMzT1F3QMPjKpGX22mLnKvUDVajSru7dXi9KkK32
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,58,12840682995913677806001798836709465389866153646272085769634026756001512030564,QmV5Y3UfWn5JYnR9w8HwFEH5QTVAUx8W2rgYMUSmbjaXwt,QmamwcMQdziQHY6CQBPejTxaiSW3DUXborpoGVRGLyHvaJ,12840682995913677806001798836709465389866153646272085769634026756001512030564,QmV5Y3UfWn5JYnR9w8HwFEH5QTVAUx8W2rgYMUSmbjaXwt
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,60,12840682995913677806001798836709465389866153646272085769634026756001512030566,QmVkzufdV2berdVbQ1K1kdhMrZRQcCbQUVmircTpuZmE9d,QmfFdvNY5fC9mLdVArEBFH2pFNLQvNHZXsbz59HzUyUHS3,12840682995913677806001798836709465389866153646272085769634026756001512030566,QmVkzufdV2berdVbQ1K1kdhMrZRQcCbQUVmircTpuZmE9d
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,68,12840682995913677806001798836709465389866153646272085769634026756001512030574,QmYVgjgsdYzukPWPLgeUNWbSfTFjNxHbDCfQAydEonZxkL,QmcYLJ22drWR8bSsqQWcy1KJzEMiqtP8AHmf3vETnXAqkX,12840682995913677806001798836709465389866153646272085769634026756001512030574,QmYVgjgsdYzukPWPLgeUNWbSfTFjNxHbDCfQAydEonZxkL
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,73,12840682995913677806001798836709465389866153646272085769634026756001512030579,QmVm8tgnaj4RuCai2kAAkdGBNrSUtWbvCmrAe7Pshjr8Xm,QmWTgeVJdAnJiUWbtWkCRqJd8yCCW4EcoL7BKwdJYFW5wG,12840682995913677806001798836709465389866153646272085769634026756001512030579,QmVm8tgnaj4RuCai2kAAkdGBNrSUtWbvCmrAe7Pshjr8Xm
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,9,13843231308003667629763411009854807364049237540643953179739929600368051091856,QmdJSciJjTCDEkTfXi5kybStQBpmXgUWLad6yeWbVbXt65,QmaSjkSbKDAd2da7onQecj49Z2JRh5wyb1HCgEZThTDZhN,13843231308003667629763411009854807364049237540643953179739929600368051091856,QmdJSciJjTCDEkTfXi5kybStQBpmXgUWLad6yeWbVbXt65
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,49,13843231308003667629763411009854807364049237540643953179739929600368051091896,Qmcz7XUCnT6UiP4i9jZ3CVkJ7ofKE57QE5ZrAFy9uJMWKp,QmNV38BiMS9oVAxovvqDnb1SsueKwQkXMMCaUHQCB9Kr5P,13843231308003667629763411009854807364049237540643953179739929600368051091896,Qmcz7XUCnT6UiP4i9jZ3CVkJ7ofKE57QE5ZrAFy9uJMWKp
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,59,13843231308003667629763411009854807364049237540643953179739929600368051091906,QmbWxCKd5MVeZkSQmNi3HCpkU8RjqFGdsDD1VX6dWwR3Ps,QmVT2rYeXfximT2MLFwvK3nqcNzPAsEg1RwGR37kKJAgjV,13843231308003667629763411009854807364049237540643953179739929600368051091906,QmbWxCKd5MVeZkSQmNi3HCpkU8RjqFGdsDD1VX6dWwR3Ps
