contract,token_id,group,status
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,100259033651638840688415246311962179533043394327511689573082289244072844454040,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,103477453257555427386413623329468338494139360419570205787103098657772417578369,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,11853453751090959671312000797032361782895431600033878255608787696727826569744,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,1763616891931023837042453769144482006254932093168986980699649370227086293946,control:untouched,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,17873001452543386695883496786953153816036152459857767890440812893061390884781,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,21827525339015493852879098446115618810266725129353170517195385021115583630648,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,22771107291080455747174181672465688559893222727372222944131169711608991463754,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,26777294115911794943872678479575265637406102913803209848320883791959191358224,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,35734477414191267536182241740263814124031024446329880450548076200218345681267,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,3600379894897785441890175511807893754450730869030016812905817072879542671856,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,42548676928814898295310508924935752434654792129753083415050785322793230237933,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,51405502197975593020006428012979698169421745577070862472572939978086684899049,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,51517200951363190976476841985696264911236621803303093126297032304284847774058,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,61626451917981075964144752202971575062412728116712793624101268021305155848410,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,826926332651362942322512888064699544900818606713106726950616943073530830193,fixed:goal2,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,86169228976179627066030249859924298435682583862228694534446344658158027085387,fixed:goal2,DelistedItem
0x29c9e04e05c5d261836e458bc5b779a7de3c58d6,105407197227404785108315597710184983582473381433138657116787723337294696803951,control:untouched,DelistedItem
0x29c9e04e05c5d261836e458bc5b779a7de3c58d6,105407197227404785108315597710184983582473381433138657116787723337294696803961,control:untouched,DelistedItem
0x29c9e04e05c5d261836e458bc5b779a7de3c58d6,105407197227404785108315597710184983582473381433138657116787723337294696803965,control:untouched,DelistedItem
0x513ac47320798fb6d74543242a9c0f686682998d,35521017362997486661227184386262019050944532469219603439542027056911404432989,control:untouched,DelistedItem
0x513ac47320798fb6d74543242a9c0f686682998d,43593768040483625743468770500373785749685714786564201072059172213178285065644,control:untouched,DelistedItem
0x513ac47320798fb6d74543242a9c0f686682998d,44167818044023130787199848224279273835352034260250746807952745844318335090285,control:untouched,DelistedItem
0x63c8282c8705e7873b3302bd623b2bc8ebcdddd3,107536683400151968778805872819354389507338832579302201024848977590280338321381,control:untouched,DelistedItem
0x7a15b36cb834aea88553de69077d3777460d73ac,106246018777602716151571873331818585646615221152111297965994288240674568755515,control:untouched,DelistedItem
0x7a9ea7c036f6aab113e2563096ef1e0e56375a39,55101717102472383165900431158850540805090957492666401575443795825019132509407,control:untouched,DelistedItem
0x7a9ea7c036f6aab113e2563096ef1e0e56375a39,55101717102472383165900431158850540805090957492666401575443795825019132509413,control:untouched,DelistedItem
0xadb387798599f5777cd0531c2ecb36007c1d1a51,61159305339113441985817533060594473710734401475288473968922067998918381350844,control:untouched,DelistedItem
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,21067873574976294185535690840982352517173866994219361188766956749967822402154,control:untouched,Item
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,26659148232774163787642208418883770997794245462506354088137640072544072163828,control:untouched,Item
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,27804310658862194628130446355476079614363841963043044947411206069758096659326,control:untouched,Item
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,55861989739187960215136136703619702158229932998201582286228944845009418350282,control:untouched,Item
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,77837256269103713722031479764155817512429123826666795182240064561368205491680,control:untouched,Item
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,78802201715239772403650903435731202702932143727737886986039066792154804561256,control:untouched,Item
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,80873606583012552094828631365804039101764623163508961614117094688229438116765,control:untouched,Item
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,82833902095837532502743339324974578109576942960407542010178306350547470299302,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944492,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944493,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944494,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944495,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944497,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944501,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944502,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944503,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944504,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944505,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944507,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944508,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944509,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944512,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944514,control:untouched,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944522,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,114134603993208105336569614100180464145718343141944688776188492901127728944537,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030506,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030528,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030551,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030560,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030563,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030564,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030566,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030574,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,12840682995913677806001798836709465389866153646272085769634026756001512030579,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,13843231308003667629763411009854807364049237540643953179739929600368051091856,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,13843231308003667629763411009854807364049237540643953179739929600368051091896,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,13843231308003667629763411009854807364049237540643953179739929600368051091906,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,13843231308003667629763411009854807364049237540643953179739929600368051091910,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,13843231308003667629763411009854807364049237540643953179739929600368051091913,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,13843231308003667629763411009854807364049237540643953179739929600368051091914,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,13843231308003667629763411009854807364049237540643953179739929600368051091917,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144707,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144713,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144727,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144730,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144731,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144751,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144752,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144765,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,29675870761587803123850255772014231519473951568011717151584536753918684144774,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,49680436437337850500957598925994160948465521154464009609768089907101356076696,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,49680436437337850500957598925994160948465521154464009609768089907101356076762,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,56118370897972180535083884653105777704508589841726951274442774583420870303368,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,56118370897972180535083884653105777704508589841726951274442774583420870303371,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,65701061192416629647091860341813823518299396124148428848093552523919884889957,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,65701061192416629647091860341813823518299396124148428848093552523919884889971,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,65701061192416629647091860341813823518299396124148428848093552523919884889978,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,70585773858598475291209973498859065267624231135253536894691595122958978116750,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,70585773858598475291209973498859065267624231135253536894691595122958978116768,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,70585773858598475291209973498859065267624231135253536894691595122958978116774,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,70585773858598475291209973498859065267624231135253536894691595122958978116779,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,71476444588005777011178902025495148361331893381891419132241003166976552058076,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,71476444588005777011178902025495148361331893381891419132241003166976552058104,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,71476444588005777011178902025495148361331893381891419132241003166976552058107,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,72831279254957510195555145377250501155718231347682912715173209101067739974744,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,72831279254957510195555145377250501155718231347682912715173209101067739974783,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,72831279254957510195555145377250501155718231347682912715173209101067739974785,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,72831279254957510195555145377250501155718231347682912715173209101067739974787,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,72831279254957510195555145377250501155718231347682912715173209101067739974792,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,88065805420627234584524446777167433688187033905063730310714169570369193825422,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,88065805420627234584524446777167433688187033905063730310714169570369193825464,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,88065805420627234584524446777167433688187033905063730310714169570369193825465,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,88065805420627234584524446777167433688187033905063730310714169570369193825473,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,90379567454205647636033329874469847986296395573646273342206903320923923053778,fixed:goal2,Item
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,90379567454205647636033329874469847986296395573646273342206903320923923053790,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934880,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934881,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934882,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934884,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934885,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934886,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934887,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934888,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934889,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934890,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934891,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934892,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934893,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934894,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934895,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934896,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934897,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934898,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934899,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934900,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934901,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934902,fixed:goal2,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934903,control:untouched,Item
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,101203243301117787559401599223798510155457323902733064063026283969832858934904,control:untouched,Item
