dir_or_file,n_rows,n_tokens,n_distinct_urls,exhibitions,sample_url
https://cdn.feralfileassets.com/previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/,18096,9048,18096,46a0f68b-a657-4364-92a0-32a88b65fbd9,https://cdn.feralfileassets.com/previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_1000_img.jpg?variant=small
https://cdn.feralfileassets.com/thumbnails/91765bc5-8815-4620-8268-80516d531dc0/1667336455,466,466,1,48a442ae-3003-483e-b107-e9d37ae694bc,https://cdn.feralfileassets.com/thumbnails/91765bc5-8815-4620-8268-80516d531dc0/1667336455
https://cdn.feralfileassets.com/previews/91765bc5-8815-4620-8268-80516d531dc0/1668956899/,466,466,466,48a442ae-3003-483e-b107-e9d37ae694bc,https://cdn.feralfileassets.com/previews/91765bc5-8815-4620-8268-80516d531dc0/1668956899/?edition_number=0&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=25811853076941608055270457512038717433705462539422789705262203111341130500760&token_id_hash=0x657b8ee9784f92d891011d25d68a45a47499f7f9c7b1f95d11b18969d1222deb
https://cdn.feralfileassets.com/thumbnails/fa38844a-ecc1-45be-b260-ceab60504697/1670301091,156,156,1,24e7d8fd-01b9-4673-9f46-6f69118feda1,https://cdn.feralfileassets.com/thumbnails/fa38844a-ecc1-45be-b260-ceab60504697/1670301091
https://cdn.feralfileassets.com/previews/fa38844a-ecc1-45be-b260-ceab60504697/1670992452/,156,156,156,24e7d8fd-01b9-4673-9f46-6f69118feda1,https://cdn.feralfileassets.com/previews/fa38844a-ecc1-45be-b260-ceab60504697/1670992452/?edition_number=0&blockchain=ethereum&contract=0x6003994adeca13407e8dbee808280cc3ef2ab820&token_id=57129125216325247059066131395135709425197979245094347477997960213448800830459&token_id_hash=0x2528198338ad1492618c3cd6f22b2695234b082167b63d1a4e3d40d276e74796
https://cdn.feralfileassets.com/previews/71e2bed5-e224-4ead-8fea-88a8cc067dbe/1706081014/,128,128,128,6d5ee1fb-91ce-41ea-b81a-6b2f2b42e297,https://cdn.feralfileassets.com/previews/71e2bed5-e224-4ead-8fea-88a8cc067dbe/1706081014/index.html?edition_number=0&artwork_number=1&blockchain=ethereum&contract=0xBb12686c360e9057be3CD031140035A705e19ceC&token_id=2439046679443273982118864381573244666655869184&token_id_hash=0x24549d9c4200fb1c06d243fff577cb323640f16ab4352a8e0f0fcf30fa91f572
https://cdn.feralfileassets.com/previews/f56c905f-1a43-4759-b110-a684805ac2b6/1677738427/,200,100,200,484087f9-3121-4ad5-9056-e76c49ddceb7,https://cdn.feralfileassets.com/previews/f56c905f-1a43-4759-b110-a684805ac2b6/1677738427/?edition_number=0&blockchain=ethereum&contract=0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1&token_id=21448038574106388099498729698156229932988054978307315072895959449711736813719&token_id_hash=0x96af7d43efcc2469b7ff3d3198237ab1e71b240e6925eab7704822f5276cfac5
https://cdn.feralfileassets.com/previews/5041f962-1cde-463a-a68b-8fc4b12acad0/1678076231/,200,100,101,484087f9-3121-4ad5-9056-e76c49ddceb7,https://cdn.feralfileassets.com/previews/5041f962-1cde-463a-a68b-8fc4b12acad0/1678076231/_unique-thumbnails/0-large.jpg
https://cdn.feralfileassets.com/previews/91eda99c-03a0-4821-9726-eb9c31e12ab4/1678172231/,200,100,101,484087f9-3121-4ad5-9056-e76c49ddceb7,https://cdn.feralfileassets.com/previews/91eda99c-03a0-4821-9726-eb9c31e12ab4/1678172231/_unique-thumbnails/0-large.jpg
https://cdn.feralfileassets.com/previews/fb935df6-9ee2-4f45-aa0c-c31367aa6962/1674842809/,200,100,101,484087f9-3121-4ad5-9056-e76c49ddceb7,https://cdn.feralfileassets.com/previews/fb935df6-9ee2-4f45-aa0c-c31367aa6962/1674842809/_unique-thumbnails/0-large.jpg
