contract,contract_version,exhibition,token_id,artwork_id,edition,series_id,series_title,medium,ipfs_cid,preview_uri,preview_ipfs_uri,thumbnail_uri,thumbnail_ipfs_uri
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182272,31946296525744824328753280828797417080692251952513183340713878305007073182272,0,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182272,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=168,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_168_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182273,31946296525744824328753280828797417080692251952513183340713878305007073182273,1,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182273,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=169,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_169_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182274,31946296525744824328753280828797417080692251952513183340713878305007073182274,2,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182274,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=170,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_170_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182275,31946296525744824328753280828797417080692251952513183340713878305007073182275,3,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182275,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=171,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_171_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182276,31946296525744824328753280828797417080692251952513183340713878305007073182276,4,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182276,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=172,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_172_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182277,31946296525744824328753280828797417080692251952513183340713878305007073182277,5,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182277,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=173,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_173_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182278,31946296525744824328753280828797417080692251952513183340713878305007073182278,6,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182278,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=174,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_174_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182279,31946296525744824328753280828797417080692251952513183340713878305007073182279,7,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182279,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=175,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_175_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182280,31946296525744824328753280828797417080692251952513183340713878305007073182280,8,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182280,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=176,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_176_img.jpg?variant=small,
0xBE0A4E26a156B2a60cF515E86b3Df9756DEE1952,FeralfileExhibitionV4_2,crystalline work,31946296525744824328753280828797417080692251952513183340713878305007073182281,31946296525744824328753280828797417080692251952513183340713878305007073182281,9,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline work (arctic),software,QmY67Gq1514Zj1yWtHxoHeoVj8FpFLM5ZNSNQejjirxKTo/31946296525744824328753280828797417080692251952513183340713878305007073182281,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/nft.html?hourIdx=177,,previews/4e7c1eba-7c17-4c38-9454-36c72ae98249/1717761156/generated_images/crystal_177_img.jpg?variant=small,
