edition,token_id,old_metadata_cid,new_metadata_cid
0,15042014439770355205730296321097090521853295916950766059900103364979980239529,Qmeb3hrS8YfCJp3XAuP3Xxhf2C3tPEYKmSFCVh6UasXsRL,QmR5dQ8thyjU3REARfq1LzkmsCqh9mWsSAGPNMyn8NsXo2
1,15042014439770355205730296321097090521853295916950766059900103364979980239530,QmdKsnjRLHdGrmLsAToWgGiQ8FjZcefTXFCMQh5UKGutQY,QmZBdwuZKAJMbkpJjt2tYhPp2KDEaAX6PK3j9fXtWtg5GU
2,15042014439770355205730296321097090521853295916950766059900103364979980239531,QmQbxSehx3rkNCcutA1BEbMfnZFZsez8ivemD8VNZAojMD,QmV4hgYaa5MivvozZreF6JEnsYUknzEweUAXz7ZZT28PDn
3,15042014439770355205730296321097090521853295916950766059900103364979980239532,Qmanz6EJkZ64sg9J9VN2iTEi2N48NtyRRYJwaKMnYcxGwJ,QmYu6Sb1ac1i8AvUcg71tSKmSvQ6Q8d1YYtnwjGsCzieqX
4,15042014439770355205730296321097090521853295916950766059900103364979980239533,QmPAHAqoSLT1qu9NNRXC2NeCiSsLfLvGwPR1qFZJMJmeKo,QmPEujFeV9mJs63XRn2mZZsVuhXeGmvq5g6zGxXTkuSKob
5,15042014439770355205730296321097090521853295916950766059900103364979980239534,QmcRoJ7R28zNbiMjHPuycMfrF2Um1jfuVUh2T3gGVBh6T1,QmUDRRdaFoyy64fBbCPpUNhAUudvk7VADExHbhWpLnBt7L
6,15042014439770355205730296321097090521853295916950766059900103364979980239535,Qmbu6F3yxccnh8FiNzXJ7PXbEbvnTiH7n5SpgUH8pyezZm,QmPD3xHawASqKC1iLaDZH1h7o76R43eKJFaybuFPDnoMHV
7,15042014439770355205730296321097090521853295916950766059900103364979980239536,QmPCdDeyxHBdo8bdbBv1qDhcYz3AhNNgEM1LX181nti5VT,QmewhUhsxGNXi22KHZQSzZtz8LJyXd4ax361PebdTrFJHD
8,15042014439770355205730296321097090521853295916950766059900103364979980239537,QmV6BMKuF3qKf7UuxMzKdTeJh5Wg9Tn3zcq95fFc3zXfQf,QmbEueYNWmeQab5AJ1KuWAKWimWSXmVE1bCSoDn66trk2n
9,15042014439770355205730296321097090521853295916950766059900103364979980239538,QmQAzqiFA1okStFuN1cQXZcGRpSy7Xvsj9vLmuSN2FdY36,QmerycwtMF74V5m9Mp8YMtqzh96nzNgy8ASCrHXPbnhFCd
10,15042014439770355205730296321097090521853295916950766059900103364979980239539,QmVU2CH3Cn9ZRZKAHPLufrpUa4yhVGgXK5fKNN67zFPqsd,QmbzWtRngr5TaHjjoJv8f8YNw5awJuKxb51duR7cvvzyNm
11,15042014439770355205730296321097090521853295916950766059900103364979980239540,QmSbrQfqKiLm6PHhRhwZRLTmDLaRWJNY4LaQD9SarwHf3U,QmNQUdSWEHFb2Go4cscsiJRXmVwquMP2XKQcEXgb7ivUSA
12,15042014439770355205730296321097090521853295916950766059900103364979980239541,QmQenmcrvaz8NwHkbkFaATxF5SV1mH3vvRTnNLbK3ppfhV,QmWGZtt2XavrwdvG8XmcuDb2mAtZVdXYzQpMD9Bv5qy6tu
13,15042014439770355205730296321097090521853295916950766059900103364979980239542,QmeeZqu25cCmseLU5Yjq3YdEZFDsEGSASvyUDRKnbB2XN4,QmXURj2XRFi7ZBHpvqQqcr51V9sA62PCDqjUmVXN17Jfbx
14,15042014439770355205730296321097090521853295916950766059900103364979980239543,QmPHK98LNpHiBgizKje6CP2sQ1onDnDaSLiTzJBT1s2Wmd,QmUzKxD2Ld26GKm34aUshMJwTmZwP6TbMTLkjH3jsbB8qH
15,15042014439770355205730296321097090521853295916950766059900103364979980239544,Qmf8AsvFtAAuwRoAiVdfSHYdb7KfVLnsFRaDrQbHv9ryr6,QmNTxkNz4BnaPACkLbbkzZ7TuovfLqpwscDJGJbR7YQAAL
