edition,token_id,old_metadata_cid,new_metadata_cid
0,19926596094255126125166421402975005060328841433878809074115704782911025446719,QmZrnYsAQVbQuMWSmhSAPWn4PQ4TZq9sNJcXwUVXbj4BkQ,QmTxiMkRajBrfSduMo3rxA5EibMQEpHB84XeZwa3S19tdx
0,31407201287127526542816856047451791715680458487654720084356565537967265406231,QmcavQEMd5rG6Xch4ymTtDRCjZU658Vc2NUzxsgBgB4CYk,QmZXM7Eh47RxqkNCJcgmUpPgUEVwJ3rsey8h5ySMMv2jTe
0,43812773355323655352919296225043877433270052855456306374873853632824884117360,QmQGB5CAiFbgCFsvFzY1xJwrejLBc64kYyqCR1sxfEMUNp,Qmdw4sdmyPDNcKRw9rKe281UWBeM61NKGkLpu5h5P4R4jv
1,43812773355323655352919296225043877433270052855456306374873853632824884117361,QmUdLCbk6To5ixbfAjYBDKZ3y4onRVT6NrymD5JumuvfFx,QmcpynJwg4aodQzqD5W3JYkcXbccmHAGGannGJ3CXdZZo9
2,43812773355323655352919296225043877433270052855456306374873853632824884117362,QmXxJMrgKLLzc5n2MDcqv5KccjPek7sfVoP2PaDdm6Hb11,QmdGL2ENRhwGutuyYsz1WxYYFxsaEwbECB9zTaPkALp1JD
0,57129125216325247059066131395135709425197979245094347477997960213448800830459,QmNhBSPbjQMzXjS6WHxm1Bfh9UK8r1Kmshq6N8YJmsnaW5,QmeT154x4ELuvzYTBAJX34E3qtxC6wRQTmQ2zUaNi4icS3
1,57129125216325247059066131395135709425197979245094347477997960213448800830460,QmWSU8QUZhvuwdPTVFkpZqGSrMJfdA9Ln4KV2HHMaBPJnR,QmdG77TNGaGNLCYi6qpVwzKF7P5Fx8zUTQLaWiRVoxYJjV
2,57129125216325247059066131395135709425197979245094347477997960213448800830461,QmS4bxACnnRf4PYUEtvAsqXxuM9bGptHUKJUWd74VPBfkF,Qmche9Ndat5HGNULXucqZHFgPaLiof5QHzpr5gxLK2JawG
3,57129125216325247059066131395135709425197979245094347477997960213448800830462,QmbDTsa6szNQSzRFk9kfcpaHxjKh7fJY3Ng58owSph5gF6,QmZbU3vgWH1T7GFi8BcMpWhtkSp4xdy2ePJNYgbwK8c3Y8
4,57129125216325247059066131395135709425197979245094347477997960213448800830463,QmeMRhkN7th9qArxM2xYGQGWPA1j8HGo4q84vvaCwPmwpf,QmYqW5ZbWWEQS5D2ixWEW2joW9WrnPC6Q6EG6L1MXYM9gS
