edition,token_id,old_metadata_cid,new_metadata_cid
0,18508392712335859217281546756689095982136889956180325835747044186697182425048,QmTfTzb84tStajs4usgJMLWVgrsPHmFQMBU8Dh7serDqkp,Qmb2pTseae1123N8fSisFNjnj3eiBetV2gb8gBcHvDwA9R
1,18508392712335859217281546756689095982136889956180325835747044186697182425049,QmU3PyMmQP9ctGvLLj4vbKCL9BQbTEUqs9odW7EvehPDAN,QmVkLarHho4g2P1apY6HV5LQoyD9sPaUQ4Zk48YbiZFHwB
2,18508392712335859217281546756689095982136889956180325835747044186697182425050,QmdtKAwyiyWefHNDStutH8Q9hEiuPrBYGUVrCA3eNy9GhA,QmPbQ8YtTmVV4CySzxxkEcLev9jfCEFEgDTLoGJWohXpPF
3,18508392712335859217281546756689095982136889956180325835747044186697182425051,QmVmrZRHkFhK7g7NXRFaFrcSpmtsFMYfmmdAnjEwPUjBQz,QmZQyXFFiFhWfx8sCvdeNBb1tgWLXXNh1ybPBhosKjYrAn
4,18508392712335859217281546756689095982136889956180325835747044186697182425052,QmVK4FvDzo6WK8Gvr62CYAWXrhhz9JCM8i7Ba1fJY6RdVA,QmcBnoaYEo9UVyGDsK6fB2idePwMuMYGxJykMMyS9tTV6M
5,18508392712335859217281546756689095982136889956180325835747044186697182425053,QmafPie1HKqN3QkipyW8VTHAyXUPYtdSMuLpXZusXmbFgf,QmR6D8ULKk1E4LTSjWNRzdedRWfUx9hLa1G2Z2GEf8Q8Zq
6,18508392712335859217281546756689095982136889956180325835747044186697182425054,QmRTtu2XAtbMLByZCdR5wEbiXvX2ZuAXm2jTrShpWCUEDc,QmToCT6HwWExMMnXCx5eDzrcRCwhEi3TW3ery5WVC8bENf
7,18508392712335859217281546756689095982136889956180325835747044186697182425055,QmTeT6FYyjJEdkvUnjewZMELHEzxZLbFcsy2oStMYvtnWs,QmakQTQTTuQPHjAnzmiDSYETbuEA7UxpyGb2se9Nw2bZoS
8,18508392712335859217281546756689095982136889956180325835747044186697182425056,QmSuQBNm2xTp85SCaVFV1GZ5qRQRuxq5HqRVk818XnDut9,QmXPavqcB9rJqmBBtmAjHbWQqDG9Dreyqkk6RmiV2BXAu8
9,18508392712335859217281546756689095982136889956180325835747044186697182425057,QmU9XoJheJn6rYeQ8LGhav1N6S4T4dS6uYkAwPU5SAcvNQ,QmT8LfnM6U1QAj8Pjx4x5LYmvJq4rjZK116ggzs3XkhcEV
10,18508392712335859217281546756689095982136889956180325835747044186697182425058,QmX2KCpRLbVm1nwYcjD6VnWWvYNTx1UWUZisXwayArP4Es,QmTdpaR94YXov5cGFotzGMNkJMKrXGya1Rz5ZrNU4tDdwq
0,26784186576786734221113338868184730699905253695798607540572045023095617009768,QmUsKiG8fJnqXfJAUXwSu7TVdPxvH4HGJfr3VbGaQhyYs1,QmR9hu9LsjtBQn2xNYQBRiHYBxyxEYuzzSq8CSFGw5f2N5
1,26784186576786734221113338868184730699905253695798607540572045023095617009769,QmeWKJuz6ofUxURhZ61uMLhX7kdj4itM2Trzw97wCjxhbM,QmYYywvFg4MrbaTZhjCbGtfR66AQURHTQ7yhuTttAJzYBc
2,26784186576786734221113338868184730699905253695798607540572045023095617009770,QmS7ARNxvKd1TCETUfMAEEm7RLtR2AtmgnY9v3mQ5ASaAj,QmSa4BRLsF11ir1XVETepnzDygfcNK55bzeBKocG7uThPN
3,26784186576786734221113338868184730699905253695798607540572045023095617009771,QmPEoqaQREkQmoWGbJvQ9fQtL9WmCtXKaUgYLBs9VTUptf,QmWoiCrayjvqQJzPqbKYox8YyQTJbfDYY6sskxrYdTqThZ
4,26784186576786734221113338868184730699905253695798607540572045023095617009772,QmW4MWMW9mXwMBsPfNhwYM7xFDzvQGkcSHfpfwBvnQsA1S,QmWiRZ2v1qGGaRET7CoJENTNavNTgoj556dBWx3V6RPPw6
