edition,token_id,old_metadata_cid,new_metadata_cid
0,2492964552115222111455723893464644415786209733158740338236313478633292903956,QmYUMRvv5kdrPgsc6URSKioQuVuhj74Z6HQNQ4c5r4PpL7,QmWCYmJXwWEm4NpUh6A6EBkGkoowVAzQQFmycknNAJa7nu
1,2492964552115222111455723893464644415786209733158740338236313478633292903957,QmVEk4ipZzEgCeVdmWvxtknXtSaLwbY1J6afyNpcLCKn8z,QmRZbQG3Frj7ERRH2Wtv2Z5XB8qFP5xJdeHbcpVQtwHSbK
0,30557345746184669595663040401756320711447993718270973898970391747135121472976,QmQz1Ucyx7rpmb8asYcUEtrU4qjEj7Lgysgio1PTz9JySi,Qma6BFN5UhHSaTXsYg6GfFkRpMFPfkaVn3ARaMfAfRzStM
1,30557345746184669595663040401756320711447993718270973898970391747135121472977,QmWhg4S6cAdpF6MpmrTcY9fdbnYMjH5qfGdAkFizkXNY5g,QmfGWSWqerBXWxVppUEjx9TkE7fLk1R8PVfWtzYEF8vMge
0,31830990513774020773856075078173769724056013930901601507946534590488789174621,QmTt3JSkF3MJmHvwYeXXEX7dLwNPmRd5hr1dGpyXWiFEzG,QmZWM28G1joNFynYurhgd2sfeANF7KSNr62ARe79f1Tkfh
1,31830990513774020773856075078173769724056013930901601507946534590488789174622,Qmd7Wa2BxvDJS4XkfMBvy6uUHTjNtJt1KqVX2yiwrWh4JB,QmX4MUJPaCwNpgiguYc2k3w2oh1e1HMWkNyq8NbVPPpWGz
0,37405486248744233930716135614171504735129073536868819020061938488135423751467,QmPQMdp54tqe4Ppq2Xih8r3BmWTULg5dmDm73Gb3omaU8e,QmNUfoyTsmFYZGaaqn53ngPYhpA23kWcSVcZuw8QGDHA8W
1,37405486248744233930716135614171504735129073536868819020061938488135423751468,QmQHL7dazbE3EkJR6cD4ChLs7z6yijcFF9RdTV1Acp5RBC,QmTkT7wZA99595Pk6JWv3NfPGgntf2EBtv4pZF3kYLsHcW
0,49331212307299913695431248663336053857151499231527615863517194291341458754529,QmeZTgxdQDKXzUajVpcFSkjzKsZWdiQCpPVmHzt8ctRpJz,QmP2o9BwDGHLEYsy5MAhNP3wL6H7ZMr1jHJp9KuDhPttS4
1,49331212307299913695431248663336053857151499231527615863517194291341458754530,QmUt63qza2tgr5vww4NcNVTFJnJekoedpJrEW78348f8eF,QmPrkmKxLdYNiq9BFQyiFhM6ABdGWmTpkMKGE6fi4fa1Y4
0,64083282194581793942215293811836391478974900789963845024963281200227193839067,Qmbvej4jcHYGcvGrkqaStAaeKJij74tMjxr39oVg7MY6Hu,QmbarmcNKcN9rgzpbhpGTtBmfop1zWitaewQg95rNMBcSg
1,64083282194581793942215293811836391478974900789963845024963281200227193839068,QmXRG3uFss2hXq9R5tFRBHQWXqMXufkdJyBk7kxz1xSVac,Qmdtgu1CqTF6AfDvzizkHZdeuNy9jMPTBDReP6323TA6ax
