edition,token_id,old_metadata_cid,new_metadata_cid
0,21448038574106388099498729698156229932988054978307315072895959449711736813719,QmcxyoQKFyxFvS3phf1abt7pEtHx5tD713cg7DpDLUofTN,QmXVMbuPRExv5okdy5uRbauUQvxQYFpJumHYsywi3ctxbP
1,21448038574106388099498729698156229932988054978307315072895959449711736813720,QmNubkEMzYH8Q4o5zfunfVjGhUGhAHChz6pwMNaEGRVWRw,QmPfnLGz9tqAWb7LoeovVknDGY8Voa8fbnhxK2VCKRKNBe
2,21448038574106388099498729698156229932988054978307315072895959449711736813721,Qmb79AXFzEJ1w9dZv329fe6HWqto61URze9FEtvDRqAgGH,QmSZAuFkRESwQ4jBzPfKrtKM1N29Y9KZCsBST45amzgBrK
3,21448038574106388099498729698156229932988054978307315072895959449711736813722,QmU3X21YjqPm3oGPtAPyaK8GpDoG8x1zCE1TYJmQc2cXX8,QmZ7FKRGU2gdnGnhcp1zLzB8LN6DaQri4bhZfQPATST5tM
4,21448038574106388099498729698156229932988054978307315072895959449711736813723,QmVdMEcEYbCckxzQWjpDgqRwxZhLizTA65axEH9VC8Hzky,QmYEHwK2tapPTkQQa8W1gbFmD8jHJ8hBAUVszxpftTanqu
5,21448038574106388099498729698156229932988054978307315072895959449711736813724,QmeEpy2JRjpgmijYUtDPfhQLpo4nftuLF3vQjeDAED4P16,Qma7DA5H8KwudUgwBurjuYmXwx5irpbcu4R7nY2hWVBeZU
6,21448038574106388099498729698156229932988054978307315072895959449711736813725,QmW8cWhxGjxGM8UBGyEEw6HeyC81sq54mrmu71hLFoghCh,QmdfFAoc24kS2wwPZpkFZFrGNSNFuY9Ksb6UW3tmM5Ay3W
7,21448038574106388099498729698156229932988054978307315072895959449711736813726,QmPUXeXexW1TaGdtDp8b77YGrrHWkWFDMvNZrbMtg387SH,QmfQqD2aHKwArAj5zr8jCZWLCymuBk6UaAZBxFpXoYjZZw
8,21448038574106388099498729698156229932988054978307315072895959449711736813727,QmU8AK9GCyxQEGMnXX3D9hxDqcwwf9j3xi9QrZtwZtWtqi,QmXLHJBJHmnjau8PtCLUKwqpnkj15tzJavUfLZpTHtrgdg
9,21448038574106388099498729698156229932988054978307315072895959449711736813728,QmRDAVdoUc9eKC6KsXnmHCtAAZRPpqG2vvT43fC2SsTPWT,QmToYU8QP1jaAqc8n2zkkfv7CCAt55wxMWEbWYjBr4PSUs
10,21448038574106388099498729698156229932988054978307315072895959449711736813729,QmX8XmEFsemxqERvJmQnqhkUtHBQx1P2yZ4stT71cFU88D,QmfTeQ2om5U5LLG2sBqQjk2b5T25nbDBja8TZKoUnSjzxy
11,21448038574106388099498729698156229932988054978307315072895959449711736813730,QmY1WhdfwS3zuvYNRAG42zPiVnzxUD3pzzGfMyTqFpFB5x,Qme6RoQ7dzGiT4kAuJWdbsbXgEbsoz57aAjvh8CjBgEy3C
12,21448038574106388099498729698156229932988054978307315072895959449711736813731,QmeJt4MSdfz83VWVZvTemnGyMMeq42Gjz5XJFuGQKVAwFq,QmaPjFepE88uB6awsb7gJSaJZF1ZcLPY1LwxLV32CoXKAG
13,21448038574106388099498729698156229932988054978307315072895959449711736813732,QmcM59GsKnDJL4PyKpdrEhx5SgNRHMnidGR8vnVZ31Nc1o,QmVp9biAQv3QeTHSpyXbQk883pUX65RQk1ftWerK6c5ps7
14,21448038574106388099498729698156229932988054978307315072895959449711736813733,QmbRVSDbAYb4rrQXT458dJqZky8KPwpVwMRPNkAWr8ZhHk,QmV5CX4hGCpx3jxTwgk38tGCMgAxx1LRQkZsxuNuB2LC2a
15,21448038574106388099498729698156229932988054978307315072895959449711736813734,QmZBhMQ9JrHAJ6TXN3YyQzxhGTS6iWiQcQh1LD6jNc7xJA,QmdY4ZEgUWEEc1QvxXFGq15MYmjvxX9XW3tFSciCxczuK6
16,21448038574106388099498729698156229932988054978307315072895959449711736813735,Qma67cfSa4ZjHLFJQf43MLkexWtziXpbocyTVR9b2TVcvK,QmdvwncDTz5WFjY7Eu7szG97UcYjvhGgyJ1xW5rYGMM1as
17,21448038574106388099498729698156229932988054978307315072895959449711736813736,QmSijSsr5cb3rqxPu68FWRsm2t2SdM3uEke4DEzCzsYvQo,QmVfcRjd9FzTLLNhPurvKiDAf5PmqtzWHKyNLTjUWqiZu4
18,21448038574106388099498729698156229932988054978307315072895959449711736813737,QmUPtBpQiJ9ytjkpnGjtgPrrhVQPWt2sGcHBAq1YK3MBTC,QmXy2nsKZnaAxe8kGEvHoNHWampdrTyN61MHmrFeuMykUH
19,21448038574106388099498729698156229932988054978307315072895959449711736813738,Qmf9v4GPmsaDuooLcp34XF2JogYukQFyBxso9p13dHGJ74,QmdTZcrpUFmBeApk6mwkZkPhio6fLPr45u8d83UKf2gkgB
20,21448038574106388099498729698156229932988054978307315072895959449711736813739,QmYdvpEU9xa32MqBTRV29NgzLqihVGWX8emiGdYczFJtYo,QmexSpHAdQZAis97RMfdHoWum9X5oaKyPvRPXbvw44K39U
21,21448038574106388099498729698156229932988054978307315072895959449711736813740,QmcekM5itniYCm49yu9KcJEjwcgeugBtV5puwR9LEDQ2wp,QmeXaHVm1zVFSxnAEekTK1pwNf2oosqrfChawhHvkpanB5
22,21448038574106388099498729698156229932988054978307315072895959449711736813741,QmW6kswyfrJ96Scbbc5WcVJ8CVn1raYCw6TPR5aADGnwXt,QmYCx6ypfkApeqhzQbmPxEdKp7bQAEbmCRX5vzqqYAsKZo
23,21448038574106388099498729698156229932988054978307315072895959449711736813742,QmS17TwNciDx3WC6bFWpqoq7BR9RrAnusqF4ph4JMsCMu5,QmSFY8hSanDrV3jgxsohYCXKMz1QXk2AcQpA97tJhDnbHz
24,21448038574106388099498729698156229932988054978307315072895959449711736813743,QmbqRBwgqPPhhMMYP3TGkZM9UXUKh4t6EKu4aw2bfff7Sz,QmXWzgPFZLTW4RFpLY89Uw62aHxogfFtC33HAYQ7QyeTvP
25,21448038574106388099498729698156229932988054978307315072895959449711736813744,QmYCCo2KSkpea4GGdr9VgX8VxFK4P2VzGuWgoaUbQHL9Ch,QmRtWSmC22fU3NXBmWubxfKx7DViHwr3oGT9YYo3mJiHKd
26,21448038574106388099498729698156229932988054978307315072895959449711736813745,QmeL6p39j6MDjnYTPRFJxxCmKUA8jn3FxyonLpHkEPfiwb,QmSiqG6ecKk1173G5d9H8FBSjqbqfACAPpG9awS1fsM8GY
27,21448038574106388099498729698156229932988054978307315072895959449711736813746,QmNoZGHCLqvrTqoWdihfbonPCL2Az1E5tKTbmhx9oz1WVt,QmT9Uc4mcqtm6v9TSb2MGgW3JhXSkCanNrKatDH9gpbLjS
28,21448038574106388099498729698156229932988054978307315072895959449711736813747,QmbSJAegMSaaNRmfPCMXApNWd8FK2p1wxHyGRcEDgHR6Fp,QmVSRLtbBqrmioCUBvLXawu9msNimf2zU1TCyuW1tY98UB
29,21448038574106388099498729698156229932988054978307315072895959449711736813748,Qma3neuQJo5M5MnNjkZFpcjamotFDPoJh7qaRkBoJkms7f,QmUEdzB6NK2RYCB3g4FCkCmmMHfe4GUhy9gqBN1LCdsPQK
30,21448038574106388099498729698156229932988054978307315072895959449711736813749,QmNc2YQSUyZGhLcw1qhjNToe28Kxj549i5B5FAc4rG4wUt,QmeC8AkZj14c99GGjpsDhzNRKzpSSwsMKjJE6JCzmEawbf
31,21448038574106388099498729698156229932988054978307315072895959449711736813750,Qmbk4YozKjvNgtNZRVkN3fuMJiGUwTgjRz5zH6FDSR7cm6,QmZvtHQNp3DXtyXu1pt2uzQK85TWVnwf6wxSqPS1yf3nWH
32,21448038574106388099498729698156229932988054978307315072895959449711736813751,QmRbyEYw8y3QDgiNf3xko5oLwJdS2PVLDPxfjZD6HmazCC,QmegDPkSWhrRkZ6PpcbX2Z1x5GTfAz9Nra6M1fqAH4yFgF
33,21448038574106388099498729698156229932988054978307315072895959449711736813752,QmR4ct5D4XGvD95so4ZTvFRDMcSCMoY6xUGiGuJf9nBSBC,QmdYboU7cga67PRujoAkEtBB2fhbrHV5nMvc6Rih3eszy2
34,21448038574106388099498729698156229932988054978307315072895959449711736813753,QmXiHL9PdPGGHw1gpBDv6iVfcAqq7cnYK9XMv9SggSJjh4,QmWgLXvqqhMDz7t8jxncjtEzZSgtxaHCPAt6JXvVKFcGGh
35,21448038574106388099498729698156229932988054978307315072895959449711736813754,QmV2F2FbXnh3N6eWxVidRKRuhLDthGjroq8zAV1xxnJtca,QmUc9rtr5Ep8TYcr8zmnKJjLqUrz7RTJwdhA3152zw7h1k
36,21448038574106388099498729698156229932988054978307315072895959449711736813755,Qmb6tzryGM2PE5i7x8wxZzafS8ff8kR8PWka9tMJwSRBqb,QmcSGFQWuChoecozJeDwNXFqtxHpDMHxsEk1LaEatrT94T
37,21448038574106388099498729698156229932988054978307315072895959449711736813756,QmeXA71CxD1skZXCDyUpuH86z2JNfE2aSfigBZ288oKw13,QmWvKN7p4v6L2fAx2UbCCvZr7oaRgwDLDPseLCFYsVU1uR
38,21448038574106388099498729698156229932988054978307315072895959449711736813757,QmcehY4qs8MNmJKj2TuCBZhvbWngpGVoZRTSycPQR2WmYv,QmQEhtMzAyUeSKp2K7HLiU7aPxv3yf63ZaoNrFGitDM2sr
39,21448038574106388099498729698156229932988054978307315072895959449711736813758,QmewCDghh6aTnjoo2JrgLtuDyG7AEZkmavNrX65uhAdKc6,QmeTJgFW3B22VbhR1bH1WYh4ne18oVhJgu6Q7XKLW7Uzg4
40,21448038574106388099498729698156229932988054978307315072895959449711736813759,QmZ5VZExWKTgYPvL3USdo4XGTPnvx9pqahbS6QtHFuFGCc,QmQpmDGq5S9pinXbje1ReZYjkTjZWLnzWSZ3FWn5VQxVL5
41,21448038574106388099498729698156229932988054978307315072895959449711736813760,Qme5YPR78mHk3ecJ3vqv47JxNDumMQDVoK9RzCJTNa6rFG,QmUJuVPwWYpFrCXa7NSX87E1oSBjBEcpLWuWPXwB56Ax1V
42,21448038574106388099498729698156229932988054978307315072895959449711736813761,QmSWaT76Egb5ziYPgd76BUpXRrFU5kwxcb9JAbycd6nMRy,QmaESgsciFQRK2NepBP5CEb1VEauEDJYZrVTDW3Moiq9SB
43,21448038574106388099498729698156229932988054978307315072895959449711736813762,QmSBQH7H8xGibAb7fckUQYfNCvzrKAmJ3ZPy1DUFdLQb3J,Qmf3Tvctx72Q9jvPTY1XFRhMuXDXYCqseJSnn5v618Ltob
44,21448038574106388099498729698156229932988054978307315072895959449711736813763,QmNRz3WS1S6xHVFpqzmBQHXVQhUDKn36UmLH1VvT5nbJp6,QmSHW3hdBLCCyp2i6mrm499ns2RSWhTCgQFMVMuEcmoELb
45,21448038574106388099498729698156229932988054978307315072895959449711736813764,QmeVXFXKkexdH6u6718xDnquXkaistxsztJPvhvzyrHLmh,QmZfHoMpzHa8SKBzxHXqqLa1ohuQ7SpHcooAZPG48hnZrr
46,21448038574106388099498729698156229932988054978307315072895959449711736813765,QmWSBWWJbxLsBBYxTD49tyurjStu6E8guXNaJe6TYrAjEv,QmcRiAmzKWPJb6zRckynSKfkF94NR1U5jceNs9GFBGxnbz
47,21448038574106388099498729698156229932988054978307315072895959449711736813766,QmXFhVyLTGRP12BNb6BhdVTx8h9qGvBC7rAzJmAatFvaa6,QmS199sQMY5nvdX8mf35iWUJ5iCqMxWS9jNkXGG1CYY4B3
48,21448038574106388099498729698156229932988054978307315072895959449711736813767,Qmej9qkYhTRxv9HuVcMsZuo2wqvizdDiq4p1G8kmqF7ueb,QmeZ99gF8rLvMxs9mfDwcLSFTCpyDWUozXSZF2RgJDqn6e
49,21448038574106388099498729698156229932988054978307315072895959449711736813768,QmdKgSix5s1X1Y3qmyPg213LdqdJZrPNKaZGVmcXib68RQ,QmXNeLajb5LdGNE3qXagUhvQA7XsGLuTvWLUv8kRcy4AR7
50,21448038574106388099498729698156229932988054978307315072895959449711736813769,QmUUSfLUQnxKX9Z9ZxRFzW5ZTYLZxR2nbbd3YBrR9GQTXo,QmSTpALa2gQDEgfipeYc3Bwnbw2nHy8TE8oTqdhJvxJsR4
51,21448038574106388099498729698156229932988054978307315072895959449711736813770,QmY2FnsKmMBKMCZLqJDDaJgbg4xsMKRvTXrPFYCsDkwKgK,QmV3hS9ZSJ2vRg3sg2gc68SHAxMDqdYXW5t318hqRZg8AL
52,21448038574106388099498729698156229932988054978307315072895959449711736813771,QmSRD819Ew9HD27cibwjLDTWtSjQAvGHsqtRMJbDpTjGvu,QmXdhbtDt61bmzSnr1EM16EzUFAPPVwacXZR1XNXHwCkGr
53,21448038574106388099498729698156229932988054978307315072895959449711736813772,QmdmrZ8gB8FqrBZd3cz8ob4qprvq2VyAsbfRUh1qstVvoF,QmTxEF3Ap1eGFbFyTUh95Q5C5KAW16gLiNpZSCfzi55mMU
54,21448038574106388099498729698156229932988054978307315072895959449711736813773,QmTJEXLmoP6tK5CCitnnVVpAc8vRyG5mvzHiGetRrznsFq,QmV3hb2awSe9QAzyheirMA2hY4R2K5HntAf4QQ1QWsGqpb
55,21448038574106388099498729698156229932988054978307315072895959449711736813774,QmW4dzer35NuqjDtjStU8vd3HFFp6mmGeoX1XLzySHmmDx,QmVjU7Cde8bphHMmiXHjix9Dr8767rd3JVduGW2GPF3pfh
56,21448038574106388099498729698156229932988054978307315072895959449711736813775,QmV2ZnHFgstyxR8poWmxN93GLWZyH3YEwXndKhUGsowrjY,QmX7LJNZraL9tPt3eGhiYKuC5vJ4Day3eomkDVR7zaeSzx
57,21448038574106388099498729698156229932988054978307315072895959449711736813776,QmYZ1KptPfCrLQCHrYHX6m22CwMP5hTo192BWWyGs5Cnty,QmaTrHFswv4a6khGcZV7id5ijr85DTuBTRu4Fm9mNBhhgG
58,21448038574106388099498729698156229932988054978307315072895959449711736813777,QmPfiGBPwbgcaTD2Mxjqw79agjNAPxTwHPXzyxkmJPr4Uz,QmbSAJDoDhFZY3QLwnSXxJHRNPwo7SbU3QZK4rVaesrx8Y
59,21448038574106388099498729698156229932988054978307315072895959449711736813778,QmSrRQtTXD9FxH7pkFPXyhMqjMJhRBYcikZSgzkbqhr1QY,QmdK7MaWFDMpA1KmhKmVhMpyMK1X7i8ET6MiPQrFWjXg5N
60,21448038574106388099498729698156229932988054978307315072895959449711736813779,Qmeen1BBZC2vbiuySdZBgQFFt1L9u23fnQcMa46M3myYJy,QmbHABQCX1mkuNziZSbzAMTYg3zs9Cb6UQq5KGcTknxx1F
61,21448038574106388099498729698156229932988054978307315072895959449711736813780,QmPUhPvTS7yGdf3tzvhBEhgRQhXqfW7hzDixj1aMBnHBRm,QmdNfFRCpH3yFv8MprcjDU9454TVM9JaHoc33E6ebykQBe
62,21448038574106388099498729698156229932988054978307315072895959449711736813781,QmSg7DF7YFQbxj3uC9VNnBx5Mvyi5VU674V96dWtCXQior,QmeKLi37aDjisuyHV3nS6J8vi9rBfuecT55NWkVSyykt6j
63,21448038574106388099498729698156229932988054978307315072895959449711736813782,QmYpaSq3BYmKskaERodagWr9QgPTtpasLSjKyeLGLhcwMz,QmYCbWDFSZqNQ8CYQST5hGg89VQwHGSkRxXQ56Xq1JVnJy
64,21448038574106388099498729698156229932988054978307315072895959449711736813783,QmaLaD4rupU1zSvNvwwYZ2gSDwfqe2XXU92KtZWuMKo3mZ,QmQJpXgQcp25DqMtgRrFALu8ueFVZwjihGFQk4em8QSMJm
65,21448038574106388099498729698156229932988054978307315072895959449711736813784,QmeSSwD2CHrVXmiEFPsUyvo4AsNumKUFkaitMRVqVYcPbQ,QmP55uz2wWjF5E2pCfZZp4gEgEPeuqsYNpa6vhBwnyvL1y
66,21448038574106388099498729698156229932988054978307315072895959449711736813785,QmZyh6LXWZp5cHFAo4TgxRJVPpzaFgQTiS6Logz1i3qeun,QmVgaX6nx424tXQZshy8ZQEkz5XqTyj4heVsLuCVHJiTcu
67,21448038574106388099498729698156229932988054978307315072895959449711736813786,Qma24W8qtf5LsZCKbPzBkFJnRLXCpfqnN5aJTMbGop5LUQ,QmbA9F763zpxfBXThwZHW7Z95Ssc4fghnZ1pS11wjXjjjV
68,21448038574106388099498729698156229932988054978307315072895959449711736813787,QmY4QfvWVdw1QnDVEHxCsTokTqj1Y8C35kawjtJ9oCoy3v,Qmdfqi1RU9g5ziWBQawQufiX9r6brh2cJgBcoFCu12GzBm
69,21448038574106388099498729698156229932988054978307315072895959449711736813788,QmV9HHqn5CXYoiNXLB2zbjqzLK54bXBHxp6hJRZYjzxmNt,QmPk2s8vDCdhQjuR7f979AQcyjsussBXVPWSGZkKGK3djz
70,21448038574106388099498729698156229932988054978307315072895959449711736813789,QmeQ3wrg7jjmnfetRwHWWeG4UxwZ6ZH5yyWD1WSJNErw2R,QmPFDkxWVepxJYuyoGCxtZsxPKfMCC966rACLXLFiVA2SA
71,21448038574106388099498729698156229932988054978307315072895959449711736813790,QmdQdLFbq3H3Z2RKM3JKrJnHBTCeqGLEH2GJi4BsbDkq9T,QmcSvqTnB1nwVD9oSfVUMDowD9Gv87NHZZZ1pqx6o1j7U3
72,21448038574106388099498729698156229932988054978307315072895959449711736813791,Qmbtzg4nkew7XnSQ13tLzU3AfaHSUZPHcazTHBGZgeDvqm,QmemVMty2ufUZTc8gtTC6KnK6iFBTWv4A6uFRahvjxonyS
73,21448038574106388099498729698156229932988054978307315072895959449711736813792,QmRNGrVrH7dpvyBnqFiSYiifbDu5XvTaUXRpozikDoS3hm,QmTxYyusNjpYVRrweW761C33zRLuq4K6Q3ABHM1kPBh3eS
74,21448038574106388099498729698156229932988054978307315072895959449711736813793,QmV32Z7vwooZR8aZL7XkwYDj8ieXThAAgk7xrd6epnvcUV,QmZxs622HSaaVfXBoxtrTufX3TfcfhpSTGYJRiaQaQizE2
75,21448038574106388099498729698156229932988054978307315072895959449711736813794,QmR3T11ofQ92q7cBGbjRJkem9viTVYL98iwwvhbUZZ6B6p,QmZfrs3rskSQHzCkQLL21VVAsUc66Fv8A2jAqkw7jBW5Gj
76,21448038574106388099498729698156229932988054978307315072895959449711736813795,QmYEgWha8HCxfWuH5bmQJpT2QyBRQLdDA4ZHFwZk9dqVSR,QmeRfgxfuvdrwxhtMuA6YwDC7hCU4rrRojhbgRhosyRhzG
77,21448038574106388099498729698156229932988054978307315072895959449711736813796,QmexBYDxMApUQGDo4PCpRmgWQJVKrQXDWC9bGeXBYBiyAn,QmeXjWQxCfYNfMSd1wVVj29p8m4Pa5dyJYyEDTXfB9vD8K
78,21448038574106388099498729698156229932988054978307315072895959449711736813797,QmTz4TfGEQR4m29dytaA92qSg8WwEKGyLBqV3FuhhpGxqQ,QmTBUCFpqFmMaEMxGDss2jcRsstaMiiPTHsZXxnq3VGVbZ
