edition,token_id,old_metadata_cid,new_metadata_cid
0,4747622386996134347530103051137512757478489873315040866696710228902591236899,QmSVtUuKvm6WE1yhmaQtKiyr6JdFFbCG8QM8hYs1WmGNyj,QmebMtk7gm7GrHUa4Gi5NpkMy4mTkMMkAKvKvBdvppeURN
1,4747622386996134347530103051137512757478489873315040866696710228902591236900,QmVKYwNdrbCM8dZrZfjDc6YWiMuSTk7MhMhG2PeanW5L5T,QmTsuB96qfoQ6hQCrei4UTuQneWR6ATdwTUkXGDQMLi3FG
2,4747622386996134347530103051137512757478489873315040866696710228902591236901,QmYduC5RQAdzER2f8zag95rbgvSbzt1WUA1xov3AS3SisE,QmYFHp6NKXFRzviEc5obRs27P8pEwFdhvQzaRVpJ9J6pLn
3,4747622386996134347530103051137512757478489873315040866696710228902591236902,QmeV6ezx1Ftzv8cKWaXWL7ASbn75tHBufqxgoHp1EzqzF1,QmZ9WzibqWbjR6aASaNpuCKHerbhXNp3akgtqtVtrxe5sz
4,4747622386996134347530103051137512757478489873315040866696710228902591236903,QmNUV97mmUvoowXFirLo3ec5NGCX5H2ERrrZ8Nvxcze8Ca,QmWtfm2hT5NuiKBp5gy64yHHFf9sPZwcqb49a6tbMj8K6F
5,4747622386996134347530103051137512757478489873315040866696710228902591236904,QmfHX6gN8w7z5TijHQXhEx29U1yiQaK74zzq8fJdmZLe9H,QmWGmHLVxDpEFfxe7TxL1c85byWPX56LoC2fTMmMpyEpBA
6,4747622386996134347530103051137512757478489873315040866696710228902591236905,QmUvQpxModDQAxZGmFSgwRwJ1U4nG1rAjGVkS3sKBFTZHP,QmSQwpMa43XS2sfda8aNqvpw8JmAGxFL3WHAoLXD3ykZ5X
7,4747622386996134347530103051137512757478489873315040866696710228902591236906,QmTUDqYkgaHE32RLuAzUdbBaexW8jew3zaMcceeXuX7XGA,QmagmCC9fGDKBsV8BcaLUHkq6YNe79ytPupaNmBsbRVx24
8,4747622386996134347530103051137512757478489873315040866696710228902591236907,QmfWtwA9yHSt65jzEVTLEGijdv4jzmqsYaEPpuM9vzAkKh,QmfK7eHJ6g9kb86wF1vsEm9EeqeL24sVQ8a8BEXXpr5NQN
9,4747622386996134347530103051137512757478489873315040866696710228902591236908,QmR5CcSr4z8SgYgqbvDBHbV6Qhj2CPsiHXvWHZtkhfCTDo,QmPxemEZnAGESJYiSRMyJZSsVBCppMpEz9SWQ2ZvGtm4ry
10,4747622386996134347530103051137512757478489873315040866696710228902591236909,QmXH6GADUZKVrF2MGUXxZoHs8qheDrYNQX8BqaHhaHA2Aj,QmbZkmP99bDupkUTKtXXSXUKg7gcK111gXoNv682dDb2s5
11,4747622386996134347530103051137512757478489873315040866696710228902591236910,QmXvSp9GmirWrZe3UgqwSdsAa8wgyuFQot8M3fZXuxbkwg,QmZiTuttUc1FSDQskrgvJYCxKLzgH2wH2dG6pUuZFcFAbd
12,4747622386996134347530103051137512757478489873315040866696710228902591236911,QmceLcYSL29uzFK2tWTDw8yKcr7wRJW6k2p96b35tHZwyg,QmY2R67VZPLRnDFwdvynzfBMRtqCaghFjgkuJCbja7pxiU
13,4747622386996134347530103051137512757478489873315040866696710228902591236912,Qma3kkHMhwa7KrUn6no9ZQ5nnCPza5ryoBd16YtPVQNy7b,QmaiM55hC4oRbfY4MKXogzjSvzGY7cMARJqP1NQPut6XU4
14,4747622386996134347530103051137512757478489873315040866696710228902591236913,QmaNS92Jb4s22RFVB8LwNZBeExB2hPv6nG3LozsS8R5HMY,Qma24wYny72JdPZ61VZo7Uxt4uSwP4zkWgLrDnYVpxHEvT
15,4747622386996134347530103051137512757478489873315040866696710228902591236914,QmVCBUcC7fihYHL4ZUg3x9bgZL4FvpgGRdeVontCcQQpdk,QmTafeH7rbHozV8aqeEZMQP9ThMjwrSeseGLkDj59GrcfR
16,4747622386996134347530103051137512757478489873315040866696710228902591236915,QmWDgrLZiMmsnA4g2ayy4qcA98WCvztuVoTo6p6hWzohor,QmTHYhzuiYqJXwAxknTsdbn6FgThYowbzrkZq2AsbALnnv
17,4747622386996134347530103051137512757478489873315040866696710228902591236916,QmSZZMncgYhhnuoFY96ah5vBZPEPY8CFFY8nCLosvRnxKE,QmW867mT9YtYUcuf42gFraT9R4mEnRYgYhEVuqzP3o1uNd
18,4747622386996134347530103051137512757478489873315040866696710228902591236917,QmPBwpzacCjKbJvAMsgM2Vu14VTN7VCZw2NbKBUs6fBccf,QmSSsP58PX2tyfiJFGtupXtWQNiXariDKxkJbqtQNoHwSi
19,4747622386996134347530103051137512757478489873315040866696710228902591236918,QmXR1M7vWhJdCn77x6KK1Q4xAvhqHSf765zJnyVEwk4j7e,QmUE3qWP8WhCsXUhEKqyEGiqhjBqeai3aSfnJ7kf2CZghn
20,4747622386996134347530103051137512757478489873315040866696710228902591236919,QmNVog2mKYVS4bAesmVrGBo4sd8fL89r9ipvhPmG6TfmJf,QmPx4Ud2f9w9R8auQ8pGgEhpj3okHvPxZo3U1tLiTqn2Aj
21,4747622386996134347530103051137512757478489873315040866696710228902591236920,QmVRX3nj1SV9Sges5oVivynL3jC5hupAhKCuXKkWDCuJFN,QmU7Y4GkMojTc6u98xkoKFesNdFAvjFrEK6SgLnhVyu75C
22,4747622386996134347530103051137512757478489873315040866696710228902591236921,QmdnvBspoAwMUsYfsXwpFQhELjXtegETbnrLkhcyngnVix,QmdzCBZxoujKf3L7TMhQbotvA668RqoX5nPxbkv9otzben
23,4747622386996134347530103051137512757478489873315040866696710228902591236922,QmT94KAosceiWpk59E2FZvuxYpZhTYiEbKEPa1AVGEym6F,QmQTLRKvH25ZSixNAQjgnSBHhKps1P1LMSBwZB7JfwBEjB
24,4747622386996134347530103051137512757478489873315040866696710228902591236923,Qmcsis3ER3BmfW6hJA3hMrqwQczLhFkVSH88fmVyjB742H,QmcuLNsQHCAKJFnqU3DqERHConKz7UHGSLacVvTNgiJmbo
25,4747622386996134347530103051137512757478489873315040866696710228902591236924,QmbTzvE32bQ4Vu9TnhU6FhKM9BVLcU2Bv6WTgcxzEquy8L,QmQyirdGadeT2QSZNj2i8UH3JHsJGiggEVcsDWiPDTQmYU
26,4747622386996134347530103051137512757478489873315040866696710228902591236925,QmdATcgKRuVptpnnrrnbL2n9Fn8ztRf74DZHapNWtnQJMC,QmYRLmEHLLbXerDQaxiMe3y1wHEiBRsLo9TFxfRk2rRbY9
