"contract","exhibition","series_id","series_title","explicit_uuid","effective_uuid","state","collection_name_base"
"0xe59B7D60d7d7183E09d8ABb6DF8B20EB4CF66632",BLOOMCORE,a00f828f-f402-42e6-b382-0d99e7881da7,BLOOMCORE,,a00f828f-f402-42e6-b382-0d99e7881da7,FALLBACK(series.id),BLOOMCORE
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,dd833c02-3847-40be-ab08-20d574aad3b9,APARTMENT BLOCK,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,fa38844a-ecc1-45be-b260-ceab60504697,EMPTY LOT,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,"949ddc52-1007-4f79-a355-e287a7b55fc6",FACTORY,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,"4c2da678-ac66-4b85-8fd5-75fc26ba0a5b",LUXURY HOME,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0x14a62abFEC0e09159fBE9c050F3B03044fC7ea52",BOOM TOWN,"7b70df63-d20f-44bb-9026-be9e824f0cf8",MONOPOLY SET,,"7b70df63-d20f-44bb-9026-be9e824f0cf8",FALLBACK(series.id),MONOPOLY SET
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,d9002d0a-d209-43da-b71b-f4a9c0024af5,OFFICE PARK,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,d247736f-14d8-4e9a-8408-3f2328ae4459,POWER PLANT,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,"8d857653-9b06-4789-bf98-b5646b0c3f47",SHOPPING PLAZA,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0x6003994adECA13407E8dbEE808280CC3EF2ab820",BOOM TOWN,"9de55d58-68f1-455a-9a41-4296ecc56cad",WAREHOUSE,"24e7d8fd-01b9-4673-9f46-6f69118feda1","24e7d8fd-01b9-4673-9f46-6f69118feda1",FROZEN(explicit),BOOM TOWN by Peter Burr
"0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1",Chain Reaction,"91eda99c-03a0-4821-9726-eb9c31e12ab4",Okra Continuum,,"91eda99c-03a0-4821-9726-eb9c31e12ab4",FALLBACK(series.id),Okra Continuum
"0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1",Chain Reaction,"3a69abd1-7a86-4538-96ed-972252fc2ca0",Public View / Private View,,"3a69abd1-7a86-4538-96ed-972252fc2ca0",FALLBACK(series.id),Public View / Private View
"0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1",Chain Reaction,fb935df6-9ee2-4f45-aa0c-c31367aa6962,Seed Protocol - Dynamical Lunar Indigenous Time (DLITE) 43:28:22.0004124,,fb935df6-9ee2-4f45-aa0c-c31367aa6962,FALLBACK(series.id),Seed Protocol - Dynamical Lunar Indigenous Time (DLITE) 43:28:22.0004124
"0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1",Chain Reaction,"4a747b91-c7a5-41ea-a4a3-4b958d95ab00",Silva Ex Machina,,"4a747b91-c7a5-41ea-a4a3-4b958d95ab00",FALLBACK(series.id),Silva Ex Machina
"0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1",Chain Reaction,"5041f962-1cde-463a-a68b-8fc4b12acad0",Synchronicities,,"5041f962-1cde-463a-a68b-8fc4b12acad0",FALLBACK(series.id),Synchronicities
"0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1",Chain Reaction,f56c905f-1a43-4759-b110-a684805ac2b6,The Dorises - Oystercraft from silicon to saltwater,,f56c905f-1a43-4759-b110-a684805ac2b6,FALLBACK(series.id),The Dorises - Oystercraft from silicon to saltwater
"0xD156b0297f33Ddd706Ddeb018371FFDf02868e79",COLORS OF NOISE,"87d406ed-010f-4b76-91a2-41bcec98f51a",COLORS OF NOISE,,"87d406ed-010f-4b76-91a2-41bcec98f51a",FALLBACK(series.id),COLORS OF NOISE
"0x614d5475FE81ef4b6Dd8093b5C73EfEEE03167e0",Console Spirituality,"4538a452-7e21-46e4-bf3d-5b7cf1e08894",Angelcores & Heavenly Sprites,,"4538a452-7e21-46e4-bf3d-5b7cf1e08894",FALLBACK(series.id),Angelcores & Heavenly Sprites
"0x614d5475FE81ef4b6Dd8093b5C73EfEEE03167e0",Console Spirituality,"8379d2a7-575f-4cde-aade-18b2aa044f7e",Data Pilgrims 01,,"8379d2a7-575f-4cde-aade-18b2aa044f7e",FALLBACK(series.id),Data Pilgrims 01
"0x614d5475FE81ef4b6Dd8093b5C73EfEEE03167e0",Console Spirituality,a3613c63-074d-4aaa-847d-b23a77512a90,Dungeoneer,,a3613c63-074d-4aaa-847d-b23a77512a90,FALLBACK(series.id),Dungeoneer
