verdict,collection_name,collection_uuid,collection_name_source,collection_uuid_source,os_storage_label,os_token_uri,os_collection_slug,os_collection_name,os_collection_verified,os_collection_owner,os_typename,sample_contract,sample_token_id,sampled_tokens,ff_api_http,ff_api_collection_name,ff_api_collection_uuid,ff_api_matches_derivation,os_original_animation,os_original_image,series_id,series_title,series_slug,artist_alias,exhibition_id,exhibition_title,mint_blockchain,contracts,scanned_at,error
Decentralized,ANATOMY of a rabbit but bird by Iskra Velitchkova,fe2f3149-d59c-44dc-ba15-f9bc21798388,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/QmNVdQSp1AvZonLwHzTbbZDPLgbpty15RMQrbPEWd4ooTU/1895471415479101141617488280575446737833854080,anatomy-of-a-rabbit-but-bird-by-iskra-velitchkova,ANATOMY of a rabbit but bird by Iskra Velitchkova,true,FeralFile,Item,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737833854080,3,200,ANATOMY of a rabbit but bird by Iskra Velitchkova,fe2f3149-d59c-44dc-ba15-f9bc21798388,True,https://ipfs2.seadn.io/ipfs/QmV8L3jxdGNDZSZVhDRyDGa9Nr96demsbZMSQiRdpP3vku,https://raw2.seadn.io/ethereum/0xacd3392e9ec2c4d876d09dc38cb52f842ea58096/95e4f034778f289cca9838a78f000e92.jpeg,fe2f3149-d59c-44dc-ba15-f9bc21798388,ANATOMY of a rabbit but bird,anatomy-of-a-rabbit-but-bird-rrb,Iskra Velitchkova,54fef1da-4420-44b7-84ad-83d454f747e3,+GRAPH,ethereum,FeralfileExhibitionV4@0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,2026-09-03T09:27:43Z,
Decentralized,Breakpoint. by James Merrill,abc9532c-3b95-4502-b0ac-fa5a64510ccd,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/QmNVdQSp1AvZonLwHzTbbZDPLgbpty15RMQrbPEWd4ooTU/118466963467443821351093017535965421115490880,breakpoint-by-james-merrill,Breakpoint. by James Merrill,true,FeralFile,Item,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,118466963467443821351093017535965421115490880,3,200,Breakpoint. by James Merrill,abc9532c-3b95-4502-b0ac-fa5a64510ccd,True,https://ipfs2.seadn.io/ipfs/QmTWWzttfxwKwnnUktw9SJ7SHKCEoDHgAscnaMW9FDojQG,https://raw2.seadn.io/ethereum/0xacd3392e9ec2c4d876d09dc38cb52f842ea58096/ffb8f80b49f042a0bf843cef85773774.jpeg,abc9532c-3b95-4502-b0ac-fa5a64510ccd,Breakpoint.,breakpoint-czu,James Merrill,54fef1da-4420-44b7-84ad-83d454f747e3,+GRAPH,ethereum,FeralfileExhibitionV4@0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,2026-09-03T09:27:40Z,
Decentralized,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/QmNVdQSp1AvZonLwHzTbbZDPLgbpty15RMQrbPEWd4ooTU/1895471415479101141617488280575446737834854080,fictional-lullaby-by-licia-he,Fictional Lullaby by Licia He,true,FeralFile,Item,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854080,3,200,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,True,https://ipfs2.seadn.io/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2,https://raw2.seadn.io/ethereum/0xacd3392e9ec2c4d876d09dc38cb52f842ea58096/59b1158161d9e5aa560431f441bc4389.jpeg,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby,fictional-lullaby-pe1,Licia He,54fef1da-4420-44b7-84ad-83d454f747e3,+GRAPH,ethereum,FeralfileExhibitionV4@0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,2026-09-03T09:27:46Z,
Decentralized,Fine Particles by Joanie Lemercier,22356067-3858-46c7-ba80-02f0dafa04b6,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/QmNVdQSp1AvZonLwHzTbbZDPLgbpty15RMQrbPEWd4ooTU/1895471415479101141617488280575446737836854080,fine-particles-by-joanie-lemercier,Fine Particles by Joanie Lemercier,true,FeralFile,Item,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737836854080,3,200,Fine Particles by Joanie Lemercier,22356067-3858-46c7-ba80-02f0dafa04b6,True,,https://raw2.seadn.io/ethereum/0xacd3392e9ec2c4d876d09dc38cb52f842ea58096/180b6f904ece8be3a0efb88c4d028478.jpeg,22356067-3858-46c7-ba80-02f0dafa04b6,Fine Particles,fine-particles-cf1,Joanie Lemercier,54fef1da-4420-44b7-84ad-83d454f747e3,+GRAPH,ethereum,FeralfileExhibitionV4@0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,2026-09-03T09:27:53Z,
Decentralized,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/QmNVdQSp1AvZonLwHzTbbZDPLgbpty15RMQrbPEWd4ooTU/1895471415479101141617488280575446737835854080,mineral-by-julien-gachadoat,Mineral by Julien Gachadoat,true,FeralFile,Item,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854080,3,200,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,True,https://ipfs2.seadn.io/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7,https://raw2.seadn.io/ethereum/0xacd3392e9ec2c4d876d09dc38cb52f842ea58096/8eba95a79d9a939c802b4e1fbff8f289.jpeg,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral,mineral-zu0,Julien Gachadoat,54fef1da-4420-44b7-84ad-83d454f747e3,+GRAPH,ethereum,FeralfileExhibitionV4@0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,2026-09-03T09:27:50Z,
Decentralized,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/QmNVdQSp1AvZonLwHzTbbZDPLgbpty15RMQrbPEWd4ooTU/1895471415479101141617488280575446737837854080,the-space-in-between-by-aleksandra-jovanic,The Space in Between by Aleksandra Jovanić,true,FeralFile,Item,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737837854080,3,200,The Space in Between by Aleksandra Jovanić,688c1976-748d-4b54-8aac-61b5561924e6,True,https://ipfs2.seadn.io/ipfs/QmaMSr4ksSPYaRkX1tLXruPAauPS8iTHK2zGBjYtNMLGkf,https://raw2.seadn.io/ethereum/0xacd3392e9ec2c4d876d09dc38cb52f842ea58096/91c1c22e556be692de66c78e9b1728b0.jpeg,688c1976-748d-4b54-8aac-61b5561924e6,The Space in Between,the-space-in-between-mdw,Aleksandra Jovanić,54fef1da-4420-44b7-84ad-83d454f747e3,+GRAPH,ethereum,FeralfileExhibitionV4@0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,2026-09-03T09:27:57Z,
Decentralized,BLOOMCORE by Rick Silva,a00f828f-f402-42e6-b382-0d99e7881da7,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmUy58wRfgbmsMoFB5WsowcrmHMmU9Sp8RBn7e4AuBNJg8,bloomcore-by-rick-silva,BLOOMCORE by Rick Silva,true,FeralFile,Item,0xe59B7D60d7d7183E09d8ABb6DF8B20EB4CF66632,8520038953287439433536834341059117372268365319568716555346026339118809853397,3,200,BLOOMCORE by Rick Silva,a00f828f-f402-42e6-b382-0d99e7881da7,True,https://raw2.seadn.io/ethereum/0xe59b7d60d7d7183e09d8abb6df8b20eb4cf66632/46613c51a90edd5905756c8f6f1caade.mp4,https://raw2.seadn.io/ethereum/0xe59b7d60d7d7183e09d8abb6df8b20eb4cf66632/ca3d6440def4de00201cccfb322b3597.jpeg,a00f828f-f402-42e6-b382-0d99e7881da7,BLOOMCORE,bloomcore-cyq,Rick Silva,9c519b37-df5c-446f-b1ea-e4d5e2fa6490,BLOOMCORE,ethereum,FeralfileExhibitionV3@0xe59B7D60d7d7183E09d8ABb6DF8B20EB4CF66632,2026-09-03T09:23:54Z,
Decentralized,BOOM TOWN by Peter Burr,24e7d8fd-01b9-4673-9f46-6f69118feda1,explicit:series.metadata.collectionName,explicit:series.metadata.collectionUUID,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmYSzKTPh3TYBjhTy54eVJ7yecPbGXofzCkMBK72mAE6eq,boom-town-by-peter-burr,BOOM TOWN by Peter Burr,true,FeralFile,Item,0x6003994adECA13407E8dbEE808280CC3EF2ab820,57129125216325247059066131395135709425197979245094347477997960213448800830594,3,200,BOOM TOWN by Peter Burr,24e7d8fd-01b9-4673-9f46-6f69118feda1,True,https://cdn.feralfileassets.com/previews/fa38844a-ecc1-45be-b260-ceab60504697/1670992452/?edition_number=135&blockchain=ethereum&contract=0x6003994adECA13407E8dbEE808280CC3EF2ab820&token_id=57129125216325247059066131395135709425197979245094347477997960213448800830594&token_id_hash=0x8825d5408f029e1ce551eb85c96dd4d7c1ffd43678666ac54505d17b0f7a8f2d,https://raw2.seadn.io/ethereum/0x6003994adeca13407e8dbee808280cc3ef2ab820/6d04fe7a414b69f43ca77f8dedc3f8fe.png,fa38844a-ecc1-45be-b260-ceab60504697,EMPTY LOT,lot-g7q,Peter Burr,24e7d8fd-01b9-4673-9f46-6f69118feda1,BOOM TOWN,ethereum,FeralfileExhibitionV3@0x6003994adECA13407E8dbEE808280CC3EF2ab820,2026-09-03T09:21:37Z,
Decentralized,BOOM TOWN by Peter Burr,24e7d8fd-01b9-4673-9f46-6f69118feda1,explicit:series.metadata.collectionName,explicit:series.metadata.collectionUUID,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmcavQEMd5rG6Xch4ymTtDRCjZU658Vc2NUzxsgBgB4CYk,boom-town-by-peter-burr,BOOM TOWN by Peter Burr,true,FeralFile,Item,0x6003994adECA13407E8dbEE808280CC3EF2ab820,31407201287127526542816856047451791715680458487654720084356565537967265406231,1,200,BOOM TOWN by Peter Burr,24e7d8fd-01b9-4673-9f46-6f69118feda1,True,https://cdn.feralfileassets.com/previews/4c2da678-ac66-4b85-8fd5-75fc26ba0a5b/1670988429/?edition_number=0&blockchain=ethereum&contract=0x6003994adeca13407e8dbee808280cc3ef2ab820&token_id=31407201287127526542816856047451791715680458487654720084356565537967265406231&token_id_hash=0xb80728bb82a1f8145807cf2432c7b60ffb9776e9952c3495d24ab17cec1ee6d8,https://raw2.seadn.io/ethereum/0x6003994adeca13407e8dbee808280cc3ef2ab820/50c144c5cceb805dff53bfea9e19c1b8.png,4c2da678-ac66-4b85-8fd5-75fc26ba0a5b,LUXURY HOME,luxury-home-sfm,Peter Burr,24e7d8fd-01b9-4673-9f46-6f69118feda1,BOOM TOWN,ethereum,FeralfileExhibitionV3@0x6003994adECA13407E8dbEE808280CC3EF2ab820,2026-09-03T09:21:19Z,
Decentralized,MONOPOLY SET by Peter Burr,7b70df63-d20f-44bb-9026-be9e824f0cf8,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmQ7Ly4bTF5YjYvnPmUyXZUZZHAisKPu9jHcr1s3BrXBkY,monopoly-set-by-peter-burr,MONOPOLY SET by Peter Burr,true,FeralFile,Item,0x14a62abFEC0e09159fBE9c050F3B03044fC7ea52,23036679589663440554974536202901764979138118108482058082262678602930902118311,1,200,MONOPOLY SET by Peter Burr,7b70df63-d20f-44bb-9026-be9e824f0cf8,True,,https://raw2.seadn.io/ethereum/0x14a62abfec0e09159fbe9c050f3b03044fc7ea52/449aafe1275114b49cd59585b3424d16.png,7b70df63-d20f-44bb-9026-be9e824f0cf8,MONOPOLY SET,monopoly-set-djt,Peter Burr,05f42322-d74c-4b03-8332-26f62236dd04,BOOM TOWN,ethereum,FeralfileExhibitionV3@0x14a62abFEC0e09159fBE9c050F3B03044fC7ea52,2026-09-03T09:22:13Z,
