contract,tokens,burned,viewable,platform,deployer_created,other_ff_deployer
0xbe0a4e26a156b2a60cf515e86b3df9756dee1952,9049,0,9049,True,True,False
0xf51bfc40c10289246e5bba7afedeb8cf976c3250,1728,0,1728,True,True,False
0x7a15b36cb834aea88553de69077d3777460d73ac,1239,0,1239,True,True,False
0xbb12686c360e9057be3cd031140035a705e19cec,896,0,896,True,False,True
0xe46a41b840176b62983fc71162dc9faeac4d9bcb,664,0,664,True,True,False
0x5d303a17883c442603b8afb54921d1b7dcc0c831,650,0,650,True,False,True
0x2a86c5466f088caebf94e071a77669bae371cd87,584,0,584,True,True,False
0x28b51ba8b990c48cb22cb6ef0ad5415fdba5210c,584,0,584,True,True,False
0xfd9fdfac71bbc7dd5c7176644de7fbfd1a6825ee,566,0,566,True,True,False
0xaa02cc02f4531ee75d1b78cb5a155d4f3b54f830,557,0,557,True,True,False
0xc3ecd59ba5ec8dd2865dffce7bc7c2b60adb62bf,519,0,519,False,True,False
0xc4f0ee96676d3de800b9725eb628de1c5a0cbea1,511,0,511,True,True,False
0x81c882c59799ea442317d020c39174aaaa8d7fc7,478,0,478,True,True,False
0x979316f5b3f3d8db956af519553c853525a5b1af,457,0,457,True,True,False
0x6dba130221a1c39f6623908a136976686050059a,384,0,384,True,True,False
0x1d5bdc75918600541c115b74b81a404c9e4af7d4,355,0,355,True,True,False
0x115c9a6118bc7a3eb0abd30f6bcf1c45bb198aed,351,0,351,True,True,False
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,346,0,346,False,True,False
0x1d9787369b1dcf709f92da1d8743c2a4b6028a83,307,0,307,True,True,False
0x835df7cc88d8bc51fcbb6a7fded0bbe1ec020273,297,0,297,True,True,False
0xb14b42814895fc1b0a528a475f8a5b070eb4c671,274,0,274,True,True,False
0x7e6c132b8cb00899d17750e0fd982ea122c6b0f2,269,0,269,True,True,False
0x63c8282c8705e7873b3302bd623b2bc8ebcdddd3,266,0,266,True,True,False
0x8a20fb6eb7e1d662b157fc6ea0694972584c09bb,208,0,208,True,False,True
0x22e130a4ef1effddafdf0b9825dc03d83747664e,206,0,206,False,True,False
0xd74745721e3b9c3d784f15bfba2802fa2e9955d9,200,0,200,True,True,False
0xd8eed224e1b358fa6f7b167124c2c1afe42275b4,199,0,199,True,True,False
0xadb387798599f5777cd0531c2ecb36007c1d1a51,190,0,190,True,True,False
0x6e906b2e355294a6aecd6b4f75816eda9f703dda,188,0,188,True,True,False
0x29c9e04e05c5d261836e458bc5b779a7de3c58d6,186,0,186,True,True,False
0x6003994adeca13407e8dbee808280cc3ef2ab820,182,0,182,True,True,False
0xacd3392e9ec2c4d876d09dc38cb52f842ea58096,180,0,180,True,False,True
0xdb5f1adcffa1869b9711cbfbe3bf46cc5d5319e5,175,0,175,True,True,False
0x377d8e26d145c9ba0db766a0a577baba9de9ec17,175,0,175,True,True,False
0x772a3c476461c041feac146a86113d7b14712653,172,0,172,True,True,False
0x614d5475fe81ef4b6dd8093b5c73efeee03167e0,165,0,165,True,True,False
0x6e82e4b398ca4137007ba69ddd6ff699334d13b5,158,0,158,True,True,False
0xe5163c74ffe6563d75d750e5d767122500a1c337,113,0,113,True,True,False
0x67e3ad1902a55074aadd84d9b335105b2d52b813,111,0,111,True,True,False
0x559fe9fe5e2dae7a7ae5766457096e6d7c647a46,110,0,110,True,True,False
0x9d6c8e4b348999a69ee24285cd81226f4628e8f8,100,0,100,True,True,False
0x7acc33c09beec2c2636ec7d161e59b0582d78854,66,0,66,False,True,False
0xc490888997d65df70fe69f33ba3bf7c8d12989cf,65,0,65,True,True,False
0x513ac47320798fb6d74543242a9c0f686682998d,56,0,56,True,True,False
0xe59b7d60d7d7183e09d8abb6df8b20eb4cf66632,55,0,55,True,True,False
0x4ce2b581d96d264294d79d7c25f86b18d3a24d4a,53,0,53,False,True,False
0xd156b0297f33ddd706ddeb018371ffdf02868e79,50,0,50,True,True,False
0x7a9ea7c036f6aab113e2563096ef1e0e56375a39,40,0,40,True,True,False
0x9294c5787f5bc7462e991fe8b6feac75f433ac39,33,0,33,True,True,False
0x8f30722dd16bd63cf2665c383c1aef5e307b0046,29,0,29,True,True,False
0x0a5c44da5f71b884c16a195cec304f47ac0233cf,24,0,24,True,True,False
0xffe213c3faa18b4b80ac1658c363d471dc745886,23,0,23,True,False,True
0xa29a5824e2a52d15836f1780277d7218b0ca244b,20,0,20,True,False,True
0x32c07ade321b90813220f5064842b1f34a59f322,5,0,5,True,True,False
0xdb8acab6e01a9a217f9cbb377510231045a24d5c,4,0,4,False,True,False
0xbcb540b58e4e2b0e41e68b26b9dceab4e3b4c993,2,0,2,False,True,False
0x60d0e7d2ce6558d0a993693c4612ff9a642c5433,2,0,2,True,False,True
0x6b7f2e36f2c4044d8a87b66beac7aff59460030c,1,0,1,False,True,False
0xb1676ce832c0d47a39f79db7ad8698fcbd38cbb4,1,0,1,False,True,False
0x051e50d8465417e58899fd48c3b0fc0ca3dd4b6a,1,0,1,True,True,False
