id,vendor_release_id,vendor_release_slug,name,total_mints
7,00f8e853-e20e-49bb-9f2f-8190507b8066,scrampled-auw,Scrampled,75
9,a7d428ec-48e2-492b-a6f1-36d7cadf3da7,the-future-of-your-digital-space-zhb,The Future of Your Digital Space,100
11,f5d3ffb6-99fb-4c50-ac82-d9db3cfd3963,s-friend-rpw,"Evolutionary Games and Spatial Chaos, Letters to Nature, 1992",1
12,07c766f0-edc4-45fd-be50-83f89228b08c,dada-data-vhd,dada data,75
13,c35a9579-e93c-4c57-9b02-7a923d8fd66a,malade-imaginaire-r38,Malade Imaginaire,100
14,429a6406-c083-48c5-af5f-ff37b6302fce,interplanetary-liq,Interplanetary,150
34,f2cabb51-5eae-48a7-ba16-fc847c23e0fe,8-artworks-video-loops-8-pqd,Material World Knight: Poster,88
43,5af4af6f-1e6b-4e45-95db-7b4de60fe0ca,enchanting-luxuriance-u6z,enchanting luxuriance,75
55,2a727b17-7890-4464-913d-3fe5ad2af4ae,transparent-grit-gsl,Transparent Grit,75
56,ce3a3a9a-e894-40a1-b531-95027b1328eb,mh-tl-t-moon-faced-k2v,ماه طلعت، Moon-faced,115
57,4e7c1eba-7c17-4c38-9454-36c72ae98249,crystalline-work-sdk,crystalline work (arctic),9048
60,1d39c523-9da9-406d-8feb-31e1d2704310,inter-sections-iez,inter/sections,128
63,094b8bd3-a89b-4127-937f-faef6c6eee96,one-million-manga-pages-lht,One Million Manga Pages,115
64,c4c9bfde-13bc-4cf5-bc4d-817280673ec3,unsupervised-machine-hallucinations-moma-dreams-e-25d,Unsupervised — Machine Hallucinations — MoMA Dreams — E,100
65,71b22ba1-02b9-4994-a903-27bda5073fda,botto-3fb,Cluster: #069,100
67,72b1a11a-16da-4550-aa2c-7f197a219ae8,unsupervised-burned-machine-hallucinations-moma-dreams-qhh,Unsupervised — Burned — Machine Hallucinations — MoMA Dreams,100
69,ea510926-e95c-43ad-b284-e2a9286ff3f2,simon-denny-ihd,"Metaverse Landscape 1: Decentraland Parcel -81, -17",
72,6bf16a3e-74ce-4cb8-88dd-5d759649fbc5,e-volved-formula-09-ilg,E-volved Formula #09,1
104,e97db658-5ee9-4ddb-91ac-cdaa1e5b1363,a-broken-symmetry-the-cats-parabola-npu,A broken symmetry — the cat's parabola,128
110,885f3cca-2d91-4a7f-919d-580876035f73,cunieform-dtq,Cuneiform,128
114,e7252d16-c248-4de0-aade-433e9e7d2484,chaos-blocks-g7a,Chaos Blocks,30
144,82dcf3d9-56ba-40bf-b57d-3a631bbdb7d5,crawl-svb,CRAWL,512
145,fa38844a-ecc1-45be-b260-ceab60504697,lot-g7q,EMPTY LOT,
146,c974b77f-3734-4952-9cea-1dcd591cc48d,blue-veil-ckd,Blue Veil,77
147,89c348c1-6e78-4e00-ac3f-f58c9e732731,mutant-bagua-8hv,Mutant Bagua,77
150,685f39aa-f9ca-4bfd-84af-d69ad3f8b2c3,plants-are-everywhere-you-cant-see-them-qpa,Plants are everywhere you can’t see them,77
152,ca471793-baf8-43db-bf1a-b811f4608297,floralia-ii-yrn,Floralia II,77
153,a8a5d95b-f68d-4802-9f5f-2767c365474c,da-nang-lanscape-n2v,Da Nang Lanscape,10
155,50aa02eb-dccf-4003-99a2-69a1f62cb337,caylx-0x7,Caylx,77
156,c40d0e81-c8dd-44a3-9fc8-2caa36101516,d-flagellum-5yq,D. Flagellum,77
163,0c3fa80b-712a-4688-b01a-fb904c658b76,the-interfered-microscopy-plot-dxl,The Interfered Microscopy Plot,100
165,e601569d-5611-4a82-93ba-a7f55b260001,unsupervised-data-universe-moma-jkn,Unsupervised — Data Universe — MoMA,5000
166,e885a572-1acc-4b0c-9c63-c3f8e49bd302,aufgezeichnete-luft-8qd,Aufgezeichnete Luft,90
167,707b6615-585d-4705-8dc1-36ce89b629ca,tessellate-cjs,Tessellate,144
168,42ebab42-b930-43f9-8133-261dd30367f6,balls-to-the-walls-zdn,Balls to the Walls,144
170,87739d13-4997-4d0a-95b7-f1b03c603914,wav-ves-fcq,wavʌves,144
171,14224a4b-321b-4326-af6c-4488d9450de2,aliqua-xi9,Aliqua,10
174,94fdff68-0e4f-41a6-bd17-3c848cb6ed76,portland-vase-nft-p7j,Portland Vase NFT,300
175,d0b8d299-3787-4da9-8eff-9a7654d7e2cb,blossom-font-gez,💮 ɃŁØSSØM (FØNŦ) 💮,10
178,ce7c5624-af01-4a1d-ad77-eee51cb54327,temple-lily-26s,Temple Lily,77
182,1b6bd73c-b612-4c24-a837-e5afe08616f7,infinite-entropy-8-xpe,Infinite Entropy 8,1
183,f548cb77-a829-42ea-b097-3b54603a0d8f,picnic-001-eep,Picnic 001,30
188,63a3a1a6-ae51-4554-85ae-4ee50df1b72a,emergence-nji,Emergence,144
189,2a57c29f-fa5b-440d-8dee-2d58cdb9238c,the-mystery-v5-dv1-hgf,The Mystery [v5-dv1],200
193,33e55482-5dac-40b8-972e-750c374d69bb,lamia-9a7,Lamia,75
201,dce8e5ee-869d-41f6-8c0b-de98a4a0a98f,flows-of-pattern-4w1,Flows of Pattern,65
210,0698273e-13fc-43e9-910e-0f6d81827a01,entity-wfi,Entity,100
229,0a954c31-d336-4e37-af0f-ec336c064879,crawl-multi-level-smf,CRAWL MULTI LEVEL,256
239,c6b9fe72-76f2-4c2e-93b5-5251a5b222f6,environment-qer,Environment,100
247,a5a224a5-afbb-49b7-b399-e3c79ce1f2e9,thunder-words-twq,Thunder Words,10
289,ad7c970e-e07e-4f2c-90a2-195165928bcc,minarea-rfu,MINAREA,1
312,d37dca13-3966-4801-8779-04cbac4a0ca1,lamosea-4sg,LAMOSEA,1
317,6053b698-2016-4c05-9353-6941635c1609,the-shredded-hologram-rose-nim,The Shredded Hologram Rose,77
343,81a059ef-0268-416e-9ec4-86857cc48a38,kick-neline-bmy,KICK-NELINE,1
345,9b7bc96c-4805-4018-a51e-de46577ba695,dagaremoto-pnt,DAGAREMOTO,1
357,1143e5a1-dca3-443e-bee6-944a697aedad,sitedchlo-rta,SITEDCHLO,1
358,49fc6bfe-fae5-4c41-9318-0c0791c610b2,hyphadev-96f,HYPHADEV,1
361,b3dacae7-dcc3-40e1-9dd4-9e2047398c01,rose-jey,Rose,77
364,7dc28901-7e2e-40ac-bc03-fb82718a223c,cojarette-u22,COJARETTE,1
368,3e8f638a-c7e2-403a-98d8-c185411825bd,acrylic-interval-r8h,Acrylic Interval,90
373,5472181b-3d22-436b-88fb-bb3e07fa073d,satellite-emb,Satellite,75
377,6168b2a7-8700-4b76-87f3-70c7edbe2a85,songknotlira-x0s,SONGKNOTLIRA,1
380,29cd44b3-2ed9-4d8b-beb5-073d248a1a00,unsupervised-machine-hallucinations-moma-dreams-i-fxe,Unsupervised — Machine Hallucinations — MoMA Dreams — I,100
388,31eb3d1f-9bf5-4f87-b1ea-b9a4a98a348b,smoking-vase-1-pp3,smoking-vase-1,115
389,412f980a-0fbc-4458-983a-85a1d81b6371,hypothetically-micro-x9l,Hypothetically Micro,100
400,d42c5a19-de37-4e59-b355-6d7395d32c52,becoming-illegible-mirror-studies-1-6nz,Becoming Illegible (Mirror Studies #1),150
401,2b75da9b-c605-4842-bf59-8e2e1fe04be6,memento-6-unsupervised-installation-poster-ymg,Memento 6 - Unsupervised Installation Poster,
