deployer,contract,created,name,token_type,token_name,total_supply
0x8f3db771cf012e2a81b1a8915c287a5e7a30056b,0x60d0e7d2ce6558d0a993693c4612ff9a642c5433,2023-07-20,FeralfileExhibitionV4,ERC-721,TestExhibition001,20
0x4f269268d46917f502f01018dc76c24636a067f7,0xbb12686c360e9057be3cd031140035a705e19cec,2023-10-17,FeralfileExhibitionV4,ERC-721,Truth,896
0x4f269268d46917f502f01018dc76c24636a067f7,0x87355eb83c0772e1d96c1bbfd03c5e05a872197e,2023-11-15,FeralfileExhibitionV4,ERC-721,Feral File Internal - English Auction,16
0x4f269268d46917f502f01018dc76c24636a067f7,0xacd3392e9ec2c4d876d09dc38cb52f842ea58096,2023-11-16,FeralfileExhibitionV4,ERC-721,+GRAPH,180
0x4f269268d46917f502f01018dc76c24636a067f7,0x8a20fb6eb7e1d662b157fc6ea0694972584c09bb,2024-04-24,One to Zero,ERC-721,One to Zero,208
0x4f269268d46917f502f01018dc76c24636a067f7,0x5d303a17883c442603b8afb54921d1b7dcc0c831,2024-09-24,FeralfileExhibitionV4_1,ERC-721,流れのパターン / Patterns of Flow,650
0x4f269268d46917f502f01018dc76c24636a067f7,0xffe213c3faa18b4b80ac1658c363d471dc745886,2024-11-30,E-volved Formulae,ERC-721,E-volved Formulae,23
0x2033606be146405870f92ea3144ef5057b9dea48,0xa29a5824e2a52d15836f1780277d7218b0ca244b,2022-11-07,FeralfileExhibitionV3,ERC-721,FFV3 - Test 1,31
0x2033606be146405870f92ea3144ef5057b9dea48,0x66a9c4873b21befb359a939e60f22a66025cb337,2022-11-24,FeralfileExhibitionV3_3,ERC-721,FFV3_3 - Test 1,44
0x2033606be146405870f92ea3144ef5057b9dea48,0xa6af782ce0733c370c57f9aa80044b3fa3525db1,2023-01-27,TokenBatchTransfer,,,
0x2033606be146405870f92ea3144ef5057b9dea48,0xd6e4739bc1e2dede16c05aa694e0d7880d16c8f9,2023-10-24,AU,ERC-721,Test Activation,
