cid,class,refs,pin_type,block_present
QmZ4eoZHXpnmuE5XH9oJZCYUuWZSrEao8GJT49gBAQdFys,indexed-8,66,none,True
QmPnBFt6BLciPKmEyHshiZ69ABhTqK3Y9cwBjv2tQpeiuL,indexed-8,66,none,True
QmPiYf5tM2izo5r65hgozRQkWtjV6rPVWr3RkoMj9Gadsv,indexed-8,13,none,True
QmWYTnAnivU4mjj1hkSyRpj2SH43SSi9ZqiyuV8VD4FpJH,indexed-8,13,none,True
QmVqGkAtF76n4eaL89tzdhmGxf73quk1Pvk3QFvHURbRQq,indexed-8,11,none,True
QmUqcZjFJz2RHPzLErKsttN9wEtdbwy9pPtSiNz1gJB7aS,indexed-8,11,none,True
QmTghvrfoSuwEsZNbCUiFzVmSQKSTmzgrfzxwUJHrmHDvr,indexed-8,11,none,True
QmUmKErAQXyvcE4GoXyK6nAa4Fiy3rqxSVD3VzH3ZJh66D,indexed-8,11,none,True
QmVDAkNEMkv2mQckbZQRGvRyGQMzUeMjnDPyHSh82ZzPQA,indexed-8,11,none,True
QmRtEW1oVLbopVtDGPD1fGArFfyP89nq2wjsqa5SgvM2Mm,indexed-8,11,none,True
QmNaRLfuD9b4mrVtN1TVEeioNGCodeD4fVV81MHBnCJShN,indexed-8,11,none,True
QmXbNcwC83X1HWy9rth9XDGefXMpAefFsG9EkhKEUWhEXs,indexed-8,11,none,True
QmNgHrU8n1QqSowx33F3YVY9rX9R6Xm2zfFSDbFr3nNJry,indexed-8,10,none,True
QmNzrqJGjh1Kjt5CAuuRg6z6T4o7feVZ3X6rUpK93RSzTB,indexed-8,10,none,True
Qmcy8wH2NPX8XpM2WYpEX5kkM4fp4wnVzf2RVwXkYQaXWw,indexed-8,10,none,True
QmUfwzutP6t2gfndj3urpDrZcquU2UdWRCQk2gEdbBBJsH,indexed-8,10,none,True
QmWJ32MqegdfxcgZFSJqMShsg1QRjC6VZeNM1Asb5PSa4C,indexed-8,10,none,True
QmUfeSAUv91KZry7hqVpX1G3HCSkJtJPwX6fboFjqTVFrM,indexed-8,10,none,True
QmeY3UzevuhJDMj2Rs4ywJFyQbX3xt3yJHsuCzAhzazSee,indexed-8,10,none,True
QmZygSnqh6Q8qWRbo6aVbezEd519JFtWaV5621s4sC1chW,indexed-8,10,none,True
QmZx5dTkJvwJz9xK97wKx1HVYrZKBaoSSTsCMavevT4MTN,indexed-8,10,none,True
QmVvoFrGYsELato8TqsHVEs6ebu2AnWXbdpkRRDhXEGLFi,indexed-8,10,none,True
QmVwc4cV9NiXL9DjXv9AftxLv8sEDK8JoefHkRWyLnMRJb,indexed-8,10,none,True
QmYQGSKeTtE1K9NRanuVwZ5KV4UzUCUfBPFhv4UV1aaTQ2,indexed-8,10,none,True
