contract,token_name,created,supply_blockscout,instances,no_metadata,all_ipfs,depends_ff_cdn,depends_third_party,classes,hosts,collection_names
0xc764a826285a75715db602108d706f72418586c2,Feral File 007,2021-10-26,2,2,0,0,2,0,ff-cdn/ff-cdn:2,cdn.feralfileassets.com:4,'':2
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,2022-11-21,251,251,0,53,198,0,ff-cdn/ff-cdn:103; relative/ff-cdn:73; ipfs/inline:53; ff-cdn/none:22,cdn.feralfileassets.com:301; ipfs.bitmark.com:53,'':251
0xd99b40c0a6d12463877839e88d7bf43c779ffe2f,Aorist Art,2024-01-25,1,1,0,1,0,0,ipfs/ipfs:1,,'Machine Hallucinations: Coral Dreams by Refik Anadol':1
0x2f4acb48bb2aa86d7b25e9181fa83b68b4cb8368,The Smell of Pink by Andrés Reisinger,2024-02-01,1,1,0,1,0,0,ipfs/ipfs:1,,'The Smell of Pink by Andrés Reisinger':1
0xb986e7f84f20db1cbf2f96c54f58e7c2dfaac9e5,The Wither by Andrés Reisinger,2024-02-01,1,1,0,1,0,0,ipfs/ipfs:1,,'The Wither by Andrés Reisinger':1
0x9d611547e79653c008f31462780fa2aa8838ce8a,Breathing Language by Andrés Reisinger,2024-02-01,2,2,0,2,0,0,ipfs/ipfs:2,,'Breathing Language by Andrés Reisinger':2
0x98beb1dc755571fd24408170b0cc26ac98137ecc,The Smell of Pink by Andrés Reisinger,2024-02-02,12,12,5,7,0,0,ipfs/ipfs:7; none/none:5,,'The Smell of Pink by Andrés Reisinger':7; '':5
0x86f66c89aab96cc08c5e360974f2a33e8521b88e,"Coral Arena by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Preaud",2024-03-05,6,6,4,2,0,0,none/none:4; ipfs/ipfs:2,,"'':4; 'Coral Arena by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Préaud':2"
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,2024-03-05,158,158,129,29,0,0,none/none:129; ipfs/ipfs:29,,'':129; 'Hall of Visions by Pilar Zeta':29
0x1080af531dacedc66a1911651e2b29506becfe33,Mushroom Cloud by Nancy Baker Cahill,2024-03-05,104,104,101,3,0,0,none/none:101; ipfs/ipfs:3,,'':101; 'Mushroom Cloud by Nancy Baker Cahill':3
0xcc063e7e05a7fef0fd9fa09e140c7899aa7120fc,Jardins d’Été by Quayola,2024-03-05,3,3,0,3,0,0,ipfs/ipfs:3,,'Jardins d’Été by Quayola':3
0x5ca5789de0e9aac2a5de5689064727c4d1cd5e6f,What Lies Beneath: Tipping Point by Carlos Betancourt & Studio Brasch,2024-03-06,1,1,1,0,0,0,none/none:1,,'':1
0x3bcca9ea3836456a9a2eb27b051b0fa28614667a,Arcadia by Arcadia,2024-03-06,1,1,0,1,0,0,ipfs/ipfs:1,,'Arcadia by Andrés Reisinger':1
0x78c08a730d63a14305c1b0cde46a9d6233f4d458,STONE SPEAKS by Nancy Baker Cahill,2024-03-06,1,1,0,1,0,0,ipfs/ipfs:1,,'STONE SPEAKS by Nancy Baker Cahill':1
0x2ae96770e163b048eee28e73efb374b1303b207f,Effets de Soir by Quayola,2024-03-06,8,8,5,3,0,0,none/none:5; ipfs/ipfs:3,,'':5; 'Effets de Soir by Quayola':3
0x69a7f2671598102331ccb44240f88f4b5f85e7e3,"MVP (Generation 1, 32 versions) by Jonas Lund",2024-03-06,1,1,0,1,0,0,ipfs/ipfs:1,,"'MVP (Generation 1, 32 versions) by Jonas Lund':1"
0xe96ae79a97fc839a1ab7c6382cc8f547c43d1d71,Sphere in Open Platonic Solids by Joanie Lemercier,2024-03-06,6,6,0,6,0,0,ipfs/ipfs:6,,'Sphere in Open Platonic Solids by Joanie Lemercier':6
