contract,created,is_contract,name,is_verified,token_type,token_name,token_symbol,holders,total_supply,tx_count
0xc764a826285a75715db602108d706f72418586c2,2021-10-26,True,FeralfileExhibition,True,ERC-721,Feral File 007,FF007,,2,18
0x43e808e2e9dc5ff2f23d6ba15a6abf995b34b737,2021-12-03,True,,False,,,,,,0
0xf1a843a2fcc17af50c1b0667d7a96273cce37048,2021-12-03,True,,False,,,,,,1
0x22e130a4ef1effddafdf0b9825dc03d83747664e,2022-11-21,True,Feral File — Peer to Peer,False,ERC-721,Feral File — Peer to Peer,FF024,,251,43
0x803ddb7184707e2e1b9757987287e9915f645ac9,2023-02-01,True,TokenBatchTransfer,True,,,,,,358
0x3b49b4b69c85c176f7b94a82ee5812ae068e161f,2023-05-16,True,FeralfileExhibitionV3_2,True,,,,,,2
0x700d9fd5b66a82b587f2afdd90832b2e1b8bf281,2023-05-18,True,,False,,,,,,280
0x864acd083aee4af4047c6b541684ef6e0bbb96f6,2023-05-18,True,,False,,,,,,0
0x455464f0d369dac13002e81e9fab857f6ad21795,2023-07-20,True,FeralfileVault,True,,,,,,0
0x80104ab2486bfed5ff8de5df930d37d3888e330c,2023-07-20,True,,False,,,,,,0
0xce85fa385a6d6f6c3b709cd7aa2db116d3e1ac6d,2023-11-15,True,FeralfileEnglishAuction,True,,,,,,103
0xd99b40c0a6d12463877839e88d7bf43c779ffe2f,2024-01-25,True,AoristArt,True,ERC-721,Aorist Art,AORIST,,1,0
0x2f4acb48bb2aa86d7b25e9181fa83b68b4cb8368,2024-02-01,True,AoristArt,True,ERC-721,The Smell of Pink by Andrés Reisinger,AORIST,,1,0
0xb986e7f84f20db1cbf2f96c54f58e7c2dfaac9e5,2024-02-01,True,AoristArt,True,ERC-721,The Wither by Andrés Reisinger,AORIST,,1,0
0x8ac67db7a4eebd437aef868180521b78a9e08911,2024-02-01,True,AoristArt,True,,,,,,0
0x9d611547e79653c008f31462780fa2aa8838ce8a,2024-02-01,True,AoristArt,True,ERC-721,Breathing Language by Andrés Reisinger,AORIST,,2,0
0x98beb1dc755571fd24408170b0cc26ac98137ecc,2024-02-02,True,AoristArt,True,ERC-721,The Smell of Pink by Andrés Reisinger,AORIST,,12,0
0x86f66c89aab96cc08c5e360974f2a33e8521b88e,2024-03-05,True,"Coral Arena by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Preaud",False,ERC-721,"Coral Arena by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Preaud",AORIST,,6,0
0x22fd0c0c719745742ee4c822bf16e03bbb421305,2024-03-05,True,AoristArt,True,ERC-721,Hall of Visions by Pilar Zeta,AORIST,,158,0
