category,opensea_slug,contract,contract_mentions,other_addrs,http
2_v5_special_project_awaiting_freeze,arcadia-by-andres-reisinger,0x4200000000000000000000000000000000000006,27,0x3bcca9ea3836456a9a2eb27b051b0fa28614667a:13;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
2_v5_special_project_awaiting_freeze,chromatophores-1,0x4200000000000000000000000000000000000006,27,0x393f21c615314a346c383cce4d708a8ee270a312:13;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
2_v5_special_project_awaiting_freeze,coral-arena-by-oma-shohei-shigematsu-charlotte-t-1,0x86f66c89aab96cc08c5e360974f2a33e8521b88e,79,0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x552076b9202570cbb461cb2aa232efc12b2b160a:6,200
2_v5_special_project_awaiting_freeze,coral-arena-by-oma-shohei-shigematsu-charlotte-tay,0xcc08d6a573d05e34b34a0440982798db20b3df98,37,0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x3025430ae8a81cd13e3d0969b1093f8d82bbbd7d:4,200
2_v5_special_project_awaiting_freeze,coral-rd-by-leandro-erlich,0x4200000000000000000000000000000000000006,27,0xa507077d630665334cd8dc62a5fa3614000e099e:14;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
2_v5_special_project_awaiting_freeze,effets-de-soir-by-quayola,0x2ae96770e163b048eee28e73efb374b1303b207f,101,0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x552076b9202570cbb461cb2aa232efc12b2b160a:6,200
2_v5_special_project_awaiting_freeze,hall-of-visions-by-pilar-zeta,0x22fd0c0c719745742ee4c822bf16e03bbb421305,489,0x552076b9202570cbb461cb2aa232efc12b2b160a:40;0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
2_v5_special_project_awaiting_freeze,jardins-dete-by-quayola,0xcc063e7e05a7fef0fd9fa09e140c7899aa7120fc,37,0x6906f2f1591e22ca320330712af68288efc2426d:36;0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
2_v5_special_project_awaiting_freeze,mushroom-cloud-by-nancy-baker-cahill,0x1080af531dacedc66a1911651e2b29506becfe33,489,0x552076b9202570cbb461cb2aa232efc12b2b160a:43;0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
2_v5_special_project_awaiting_freeze,mvp-generation-1-32-versions-by-jonas-lund,0x4200000000000000000000000000000000000006,27,0x69a7f2671598102331ccb44240f88f4b5f85e7e3:14;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
2_v5_special_project_awaiting_freeze,odyssey-by-andres-reisinger,0xfd79fb1749b72f04a5a956d93182cf75c6667dcd,85,0x4200000000000000000000000000000000000006:27;0x82d12d3d77d32fef87fb3b7de3c93fe3bb0a0a6e:14;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
2_v5_special_project_awaiting_freeze,social-sacrifice-by-drift,0xb1676ce832c0d47a39f79db7ad8698fcbd38cbb4,488,0x552076b9202570cbb461cb2aa232efc12b2b160a:45;0x4200000000000000000000000000000000000006:27;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
2_v5_special_project_awaiting_freeze,sphere-in-open-platonic-solids-by-joanie-lemercier,0xe96ae79a97fc839a1ab7c6382cc8f547c43d1d71,73,0x4200000000000000000000000000000000000006:27;0xfebc1c8ba6e737196ac1d744153a6b76b0c16333:12;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
2_v5_special_project_awaiting_freeze,stone-speaks-by-nancy-baker-cahill,0x4200000000000000000000000000000000000006,27,0x78c08a730d63a14305c1b0cde46a9d6233f4d458:14;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
2_v5_special_project_awaiting_freeze,the-adventures-of-minoriea-by-auriea-harvey,0xdb8acab6e01a9a217f9cbb377510231045a24d5c,193,0x4200000000000000000000000000000000000006:27;0x552076b9202570cbb461cb2aa232efc12b2b160a:8;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6,200
2_v5_special_project_awaiting_freeze,the-wither-by-andres-reisinger,0x4200000000000000000000000000000000000006,27,0xb986e7f84f20db1cbf2f96c54f58e7c2dfaac9e5:13;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
2_v5_special_project_awaiting_freeze,what-lies-beneath-tipping-point-by-carlos-betancou,0x4200000000000000000000000000000000000006,27,0x5ca5789de0e9aac2a5de5689064727c4d1cd5e6f:14;0x265bb2dbfc0a8165c9a1941eb1372f349bad2cf1:6;0x82af49447d8a07e3bd95bd0d56f35241523fbab1:3,200
