contract,opensea_slug,token_number,burned,viewable,name,mime_type,enrichment,image,image_class,animation_url,animation_class,collection_name,doc_keys
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,36655034265919461069793761731602108526049373605887911920838255985583493150415,False,True,"Seatbelts: YouTubers Vlogging in Their Cars, Generated by Robot #3",,none,ipfs://QmQNN5pMK3ja3eqcDxua99fZGzxPHqkBeucRa3TVcKH6py,ipfs,,none,a2p-v1,artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,38445646098599570027414249852672130489221020407667218914484846685409391514162,False,True,Politically Correct #4,,none,ipfs://QmNgHrU8n1QqSowx33F3YVY9rX9R6Xm2zfFSDbFr3nNJry,ipfs,,none,a2p-v1,artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,38445646098599570027414249852672130489221020407667218914484846685409391514160,False,True,Politically Correct #2,,none,ipfs://QmNgHrU8n1QqSowx33F3YVY9rX9R6Xm2zfFSDbFr3nNJry,ipfs,,none,a2p-v1,artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,50577766449959100067007050893478132162312536005302790993770229378506906488652,False,True,Rocky on Ice #1,,none,ipfs://QmVMgaFSb8WEMjtKR1P9NN7wkLN5AqQdZDA3d7A3zMWD7K,ipfs,ipfs://QmYazWEnnuDZ2SpB5dvKNwwuSq3V8Gnek4BsJZxKYV9x7K,ipfs,a2p-v1,animation_url artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,50577766449959100067007050893478132162312536005302790993770229378506906488653,False,True,Rocky on Ice #2,,none,ipfs://QmVMgaFSb8WEMjtKR1P9NN7wkLN5AqQdZDA3d7A3zMWD7K,ipfs,ipfs://QmYazWEnnuDZ2SpB5dvKNwwuSq3V8Gnek4BsJZxKYV9x7K,ipfs,a2p-v1,animation_url artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,50577766449959100067007050893478132162312536005302790993770229378506906488651,False,True,Rocky on Ice AP,,none,ipfs://QmVMgaFSb8WEMjtKR1P9NN7wkLN5AqQdZDA3d7A3zMWD7K,ipfs,ipfs://QmYazWEnnuDZ2SpB5dvKNwwuSq3V8Gnek4BsJZxKYV9x7K,ipfs,a2p-v1,animation_url artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,50577766449959100067007050893478132162312536005302790993770229378506906488654,False,True,Rocky on Ice #3,,none,ipfs://QmVMgaFSb8WEMjtKR1P9NN7wkLN5AqQdZDA3d7A3zMWD7K,ipfs,ipfs://QmYazWEnnuDZ2SpB5dvKNwwuSq3V8Gnek4BsJZxKYV9x7K,ipfs,a2p-v1,animation_url artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,50577766449959100067007050893478132162312536005302790993770229378506906488658,False,True,Rocky on Ice #7,,none,ipfs://QmVMgaFSb8WEMjtKR1P9NN7wkLN5AqQdZDA3d7A3zMWD7K,ipfs,ipfs://QmYazWEnnuDZ2SpB5dvKNwwuSq3V8Gnek4BsJZxKYV9x7K,ipfs,a2p-v1,animation_url artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,50577766449959100067007050893478132162312536005302790993770229378506906488657,False,True,Rocky on Ice #6,,none,ipfs://QmVMgaFSb8WEMjtKR1P9NN7wkLN5AqQdZDA3d7A3zMWD7K,ipfs,ipfs://QmYazWEnnuDZ2SpB5dvKNwwuSq3V8Gnek4BsJZxKYV9x7K,ipfs,a2p-v1,animation_url artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,a2p-v1,50577766449959100067007050893478132162312536005302790993770229378506906488660,False,True,Rocky on Ice #9,,none,ipfs://QmVMgaFSb8WEMjtKR1P9NN7wkLN5AqQdZDA3d7A3zMWD7K,ipfs,ipfs://QmYazWEnnuDZ2SpB5dvKNwwuSq3V8Gnek4BsJZxKYV9x7K,ipfs,a2p-v1,animation_url artist artwork_id attributes bitmark_id collection_name creator description edition_index edition_number external_url image medium metadata_version name prev_provenance timestamp
